"source","SID","views2","pv_op","pv_cv","ov_cv","interpret"
"Exam_2C_scores.csv",922638835,0,7.5,18,5.5,0
"Exam_2C_scores.csv",920085435,11,7,18,20,0
"Exam_2C_scores.csv",920966884,2,0,8,3,5
"Exam_2C_scores.csv",922712984,0,7.5,20,15,5
"Exam_2C_scores.csv",920460131,1,4,14,3,5
"Exam_2C_scores.csv",921246273,4,8.5,14,12.5,5
"Exam_2C_scores.csv",921101910,3,5,16,12.5,5
"Exam_2C_scores.csv",922596401,6,5,14,10,5
"Exam_2C_scores.csv",921887234,3,8,18,12.5,5
"Exam_2C_scores.csv",921079903,0,8.5,14,20,5
"Exam_2C_scores.csv",922091906,1,4,18,17.5,5
"Exam_2C_scores.csv",922315394,1,8,20,17.5,5
"Exam_2C_scores.csv",920440054,3,7,18,17.5,5
"Exam_2C_scores.csv",919235636,2,9.5,16,3,0
"Exam_2C_scores.csv",920724178,0,3,14,17.5,5
"Exam_2C_scores.csv",918499774,1,4,20,15,5
"Exam_2C_scores.csv",920621886,1,6.5,14,17.5,5
"Exam_2C_scores.csv",921887629,5,6,18,20,5
"Exam_2C_scores.csv",922703537,1,7.5,20,20,0
"Exam_2C_scores.csv",922219047,0,2,14,3,5
"Exam_2C_scores.csv",921813729,4,9.5,18,17.5,5
"Exam_2C_scores.csv",918058788,3,4,12,0,5
"Exam_2C_scores.csv",922612893,2,2,14,17.5,5
"Exam_2C_scores.csv",922549270,0,6,14,12,2.5
"Exam_2C_scores.csv",921085861,0,7,20,8,2.5
"Exam_2C_scores.csv",920968798,0,6,18,15,5
"Exam_2C_scores.csv",921147929,2,7,20,5.5,5
"Exam_2C_scores.csv",919527577,3,9,10,20,5
"Exam_2C_scores.csv",920816950,2,5,9,12.5,5
"Exam_2C_scores.csv",919716168,4,7,18,17.5,5
"Exam_2C_scores.csv",921791456,5,6.5,18,17.5,5
"Exam_2C_scores.csv",921650555,3,5,10,1,2.5
"Exam_2C_scores.csv",920767559,2,4,16,17.5,5
"Exam_2C_scores.csv",921160650,3,6.5,18,20,5
"Exam_2C_scores.csv",921149396,3,2,12,3,5
"Exam_2C_scores.csv",922437175,5,7,14,17.5,2.5
"Exam_2C_scores.csv",919279948,1,6,18,5.5,5
"Exam_2C_scores.csv",919943928,1,8,18,15,0
"Exam_2C_scores.csv",920964637,1,9,18,20,5
"Exam_2C_scores.csv",920596717,2,5,16,20,5
"Exam_2C_scores.csv",919663253,3,7,18,5.5,5
"Exam_2C_scores.csv",920499610,0,6,12,17.5,5
"Exam_2C_scores.csv",920501430,1,7,14,12.5,5
"Exam_2C_scores.csv",921284112,2,9,20,12.5,5
"Exam_2C_scores.csv",919427114,4,9.5,18,7.5,5
"Exam_2C_scores.csv",919953950,3,8.5,20,12.5,5
"Exam_2C_scores.csv",919702101,0,1,8,3,5
"Exam_2C_scores.csv",920960385,1,1,14,3,5
"Exam_2C_scores.csv",919399019,0,5,14,3,5
"Exam_2C_scores.csv",919563353,0,1,4,0,5
"Exam_2C_scores.csv",922360792,0,3,0,1,5
"Exam_2C_scores.csv",920645176,2,9,20,17.5,5
"Exam_2C_scores.csv",920858905,6,2.5,18,17.5,5
"Exam_2C_scores.csv",921180009,2,6,16,8,5
"Exam_2C_scores.csv",920725973,0,5.5,20,9.5,5
"Exam_2C_scores.csv",920624948,2,5.5,18,17.5,5
"Exam_2C_scores.csv",919229969,2,4.5,16,17.5,5
"Exam_2C_scores.csv",922396711,12,5.5,18,5.5,5
"Exam_2C_scores.csv",919768349,0,3,10,5,5
"Exam_2C_scores.csv",921923677,1,0,12,12.5,2.5
"Exam_2C_scores.csv",922017317,2,5,0,7.5,5
"Exam_2C_scores.csv",922386080,3,4,7,3,5
"Exam_2C_scores.csv",922381182,1,3.5,12,17.5,2.5
"Exam_2C_scores.csv",920076936,2,6,16,10,5
"Exam_2C_scores.csv",922513976,2,6,0,3,5
"Exam_2C_scores.csv",920775787,3,1.5,16,5.5,5
"Exam_2C_scores.csv",922607471,0,3,3,1,2.5
"Exam_2C_scores.csv",919509935,4,4.5,10,17.5,2.5
"Exam_2C_scores.csv",922697517,0,3,9,17.5,2.5
"Exam_2C_scores.csv",921881450,0,6,6,12.5,5
"Exam_2C_scores.csv",919552746,4,0,0,3,2.5
"Exam_2C_scores.csv",922567870,4,10,20,17.5,5
"Exam_2C_scores.csv",922347139,3,6,14,20,5
"Exam_2C_scores.csv",917159468,3,8.5,20,12.5,5
"Exam_2C_scores.csv",919872439,3,4,16,1,2.5
"Exam_2C_scores.csv",920223433,0,3,10,20,5
"Exam_2C_scores.csv",920691735,0,6,14,12.5,5
"Exam_2C_scores.csv",922661378,0,6,2,17.5,5
"Exam_2C_scores.csv",919905908,3,4.5,11,3,5
"Exam_2C_scores.csv",921747112,1,5.5,3,17.5,0
"Exam_2C_scores.csv",922014365,2,5,13,3,5
"Exam_2C_scores.csv",921943660,4,6.5,16,3,5
"Exam_2C_scores.csv",921012863,1,3,20,20,5
"Exam_2C_scores.csv",922353796,0,6,17,12.5,5
"Exam_2C_scores.csv",920841433,5,8,7,17.5,0
"Exam_2C_scores.csv",919215850,0,8,18,17.5,5
"Exam_2C_scores.csv",921958710,0,7,16,20,5
"Exam_2C_scores.csv",922041464,0,5.5,5,9.5,5
"Exam_2C_scores.csv",921094234,3,4,20,17.5,5
"Exam_2C_scores.csv",921910017,1,8.5,18,20,5
"Exam_2C_scores.csv",919428171,2,6.5,18,20,5
"Exam_2C_scores.csv",920777808,4,7,2,3,5
"Exam_2C_scores.csv",922049686,1,8,20,20,2.5
"Exam_2C_scores.csv",919653179,4,5.5,9,15,5
"Exam_2C_scores.csv",920770397,0,7,16,20,5
"Exam_2C_scores.csv",920479520,0,3,18,17.5,5
"Exam_2C_scores.csv",921237635,4,9,20,17.5,0
"Exam_2C_scores.csv",922413995,1,7,12,20,5
"Exam_2C_scores.csv",922145399,4,6.5,18,20,5
"Exam_2C_scores.csv",919315323,3,9,20,15,5
"Exam_2C_scores.csv",922264267,3,9.5,20,20,5
"Exam_2C_scores.csv",921911281,0,0,13,1,5
"Exam_2C_scores.csv",922332791,6,3,13,5.5,5
"Exam_2C_scores.csv",920685107,2,7.5,20,17.5,5
"Exam_2C_scores.csv",919898992,2,6.5,2,3,5
"Exam_2C_scores.csv",920803756,1,0,12,17.5,5
"Exam_2C_scores.csv",922342189,2,9.5,16,15.5,5
"Exam_2C_scores.csv",922566538,4,5,16,5.5,5
"Exam_2C_scores.csv",922712421,5,3,11,12.5,5
"Exam_2C_scores.csv",922275803,2,1,13,5.5,5
"Exam_2C_scores.csv",921862767,1,0,10,17.5,5
"Exam_2C_scores.csv",915162415,9,8,16,12.5,0
"Exam_2C_scores.csv",920071999,9,5.5,12,5.5,0
"Exam_2C_scores.csv",921972055,2,6,18,20,5
"Exam_2C_scores.csv",920579132,0,5.5,16,9.5,5
"Exam_2C_scores.csv",921882556,0,7,7,5.5,5
"Exam_2C_scores.csv",922475687,0,8,18,20,5
"Exam_2C_scores.csv",921229054,7,8,13,17.5,5
"Exam_2C_scores.csv",922509692,1,9,18,20,5
"Exam_2C_scores.csv",920795958,2,5,13,9.5,5
"Exam_2C_scores.csv",921677017,0,5.5,18,17.5,5
"Exam_2C_scores.csv",922713970,0,2,14,9.5,5
"Exam_2C_scores.csv",922635388,3,5,16,5.5,5
"Exam_2C_scores.csv",922068696,4,7.5,20,5.5,0
"Exam_2C_scores.csv",922198155,2,8,18,20,5
"Exam_2C_scores.csv",921929710,0,6.5,18,15,5
"Exam_2C_scores.csv",922664922,2,8,14,12.5,5
"Exam_2C_scores.csv",921295981,0,3,0,3,5
"Exam_2C_scores.csv",921931821,5,9,20,19,5
"Exam_2C_scores.csv",922612440,3,9,16,5.5,5
"Exam_2C_scores.csv",922400814,3,6,16,20,5
"Exam_2C_scores.csv",921253541,4,3,0,17.5,5
"Exam_2C_scores.csv",921081425,2,9,16,17.5,5
"Exam_2C_scores.csv",921262561,6,4.5,12,5.5,5
"Exam_2C_scores.csv",921944643,10,3,15,3,2.5
"Exam_2C_scores.csv",920925281,1,6,14,12.5,0
"Exam_2C_scores.csv",920730191,3,7.5,18,5.5,5
"Exam_2C_scores.csv",922304606,0,0,0,1,5
"Exam_2C_scores.csv",920643068,1,7,20,17.5,5
"Exam_2C_scores.csv",918641946,2,1.5,6,1,5
"Exam_2C_scores.csv",922250365,7,7,20,5.5,5
"Exam_2C_scores.csv",922509197,4,6,16,20,5
"Exam_2C_scores.csv",922457443,4,6.5,18,10.5,5
"Exam_2C_scores.csv",922007563,4,10,20,20,5
"Exam_2C_scores.csv",922296963,7,8.5,20,15,5
"Exam_2C_scores.csv",922398489,11,8,16,5.5,2.5
"Exam_2C_scores.csv",921408574,5,8,12,3,2.5
"Exam_2C_scores.csv",921155487,4,3,18,15,5
"Exam_2C_scores.csv",922133754,10,6.5,18,1,0
"Exam_2C_scores.csv",919837924,0,7,16,17.5,5
"Exam_2C_scores.csv",922421437,1,6,20,10.5,5
"Exam_2C_scores.csv",920997895,0,8,20,20,5
"Exam_2C_scores.csv",920082522,0,9,20,20,5
"Exam_2C_scores.csv",921034524,3,5,0,12.5,5
"Exam_2C_scores.csv",921674900,11,4,11,3,5
"Exam_2C_scores.csv",922806191,0,4,16,20,2.5
"Exam_2C_scores.csv",920628957,0,5,16,3,5
"Exam_2C_scores.csv",921803014,2,4,12,12,5
"Exam_2C_scores.csv",919305168,1,6,14,5.5,5
"Exam_2C_scores.csv",922511334,4,6,16,12.5,5
"Exam_2C_scores.csv",922761906,3,0.5,0,8,5
"Exam_2C_scores.csv",922160109,1,6,13,7.5,5
"Exam_2C_scores.csv",922720659,4,8,18,10,5
"Exam_2C_scores.csv",919665879,2,9,16,12.5,5
"Exam_2C_scores.csv",922319235,0,5,7,8,2.5
"Exam_2C_scores.csv",921877613,1,7,11,15,5
"Exam_2C_scores.csv",920581780,6,7,20,12.5,5
"Exam_2C_scores.csv",919883266,4,7,16,17.5,5
"Exam_2C_scores.csv",919060827,0,6,14,8,5
"Exam_2C_scores.csv",922232901,3,5,9,15,5
"Exam_2C_scores.csv",922454763,8,5,9,3,5
"Exam_2C_scores.csv",921982621,0,4,18,10,5
"Exam_2C_scores.csv",921807214,8,1,0,3,5
"Exam_2C_scores.csv",919649109,0,0,0,0,0
"Exam_2F_scores.csv",922217269,0,4,15,16,0
"Exam_2F_scores.csv",920680636,6,7,20,2,0
"Exam_2F_scores.csv",920442395,0,6,20,18,2.5
"Exam_2F_scores.csv",921161345,1,6,20,20,5
"Exam_2F_scores.csv",920904370,1,9,20,6,5
"Exam_2F_scores.csv",921809623,1,4,20,0,0
"Exam_2F_scores.csv",922302718,2,8,20,18,0
"Exam_2F_scores.csv",920926552,1,10,20,20,5
"Exam_2F_scores.csv",918645625,1,8,20,20,0
"Exam_2F_scores.csv",922645611,3,9,20,18,5
"Exam_2F_scores.csv",921079835,1,8,20,20,5
"Exam_2F_scores.csv",921899125,4,7,20,18,5
"Exam_2F_scores.csv",922151383,7,6,10.5,20,5
"Exam_2F_scores.csv",922014022,1,6,20,18,2.5
"Exam_2F_scores.csv",919701319,0,4,13,7,0
"Exam_2F_scores.csv",919647114,1,9,17,13,5
"Exam_2F_scores.csv",922366068,4,5,17,6,5
"Exam_2F_scores.csv",922163290,2,6,20,2,0
"Exam_2F_scores.csv",922217175,1,8.5,20,16,5
"Exam_2F_scores.csv",919987780,0,4,12.5,9,0
"Exam_2F_scores.csv",919233214,5,6,17,0,0
"Exam_2F_scores.csv",920829976,9,10,20,20,2.5
"Exam_2F_scores.csv",919475069,0,0,12.5,0,0
"Exam_2F_scores.csv",920660876,13,3,20,0,0
"Exam_2F_scores.csv",921980131,3,10,20,20,5
"Exam_2F_scores.csv",920453151,3,8,20,20,2.5
"Exam_2F_scores.csv",922090347,11,6,15.5,15,5
"Exam_2F_scores.csv",918820958,1,5,20,18,5
"Exam_2F_scores.csv",921971535,1,9,20,20,5
"Exam_2F_scores.csv",918227292,3,8,17,2,5
"Exam_2F_scores.csv",916566421,0,5,13,16,0
"Exam_2F_scores.csv",919908989,5,8,20,20,0
"Exam_2F_scores.csv",920003572,1,5,17.5,13,5
"Exam_2F_scores.csv",922774171,0,7,20,20,5
"Exam_2F_scores.csv",922547007,4,9,20,20,5
"Exam_2F_scores.csv",919897472,2,5,20,20,5
"Exam_2F_scores.csv",922219416,2,3,20,16,0
"Exam_2F_scores.csv",920584509,8,8,20,20,5
"Exam_2F_scores.csv",919677692,0,6,20,20,5
"Exam_2F_scores.csv",919150397,1,5,20,15,5
"Exam_2F_scores.csv",922008643,6,8,20,20,5
"Exam_2F_scores.csv",920940622,0,5,0,0,2.5
"Exam_2F_scores.csv",922110272,3,7,20,11,5
"Exam_2F_scores.csv",919522996,3,5,20,16,5
"Exam_2F_scores.csv",921942771,5,8,20,16,5
"Exam_2F_scores.csv",918226853,11,9,20,16,5
"Exam_2F_scores.csv",918684424,0,9,20,14,2.5
"Exam_2F_scores.csv",922810941,1,8,20,20,5
"Exam_2F_scores.csv",922484982,3,8,20,18,5
"Exam_2F_scores.csv",922292132,0,8,20,18,5
"Exam_2F_scores.csv",922074952,3,8,20,20,5
"Exam_2F_scores.csv",922748055,0,6,8,19,5
"Exam_2F_scores.csv",922232176,2,6,20,18,5
"Exam_2F_scores.csv",921293365,2,5,17,9,2.5
"Exam_2F_scores.csv",922038040,7,8,13,20,5
"Exam_2F_scores.csv",920924952,0,7,20,16,5
"Exam_2F_scores.csv",922378179,12,5,12.5,15,0
"Exam_2F_scores.csv",922726475,6,4,11,0,0
"Exam_2F_scores.csv",922062016,4,8,20,20,5
"Exam_2F_scores.csv",918553872,0,4,20,11,5
"Exam_2F_scores.csv",922420700,3,8,13,20,0
"Exam_2F_scores.csv",922648621,1,8,20,7,5
"Exam_2F_scores.csv",922906444,0,4,20,11,0
"Exam_2F_scores.csv",918405988,0,6,20,0,5
"Exam_2F_scores.csv",921885676,0,9,20,20,5
"Exam_2F_scores.csv",921779287,3,9,20,13,0
"Exam_2F_scores.csv",922332021,2,3,0,11,0
"Exam_2F_scores.csv",920983540,1,3,12.5,0,0
"Exam_2F_scores.csv",922314890,7,4,12.5,11,0
"Exam_2F_scores.csv",921395179,5,7.5,20,20,0
"Exam_2F_scores.csv",922075317,0,6,12.5,18,5
"Exam_2F_scores.csv",920486513,1,10,17,18,5
"Exam_2F_scores.csv",922582486,7,6,10,13,0
"Exam_2F_scores.csv",921108421,0,3,20,4,0
"Exam_2F_scores.csv",920962888,0,6,20,12,2.5
"Exam_2F_scores.csv",921860594,2,9,20,10,5
"Exam_2F_scores.csv",922000269,7,10,20,9,5
"Exam_2F_scores.csv",922558944,3,8,12,18,5
"Exam_2F_scores.csv",922352959,0,10,20,20,5
"Exam_2F_scores.csv",920919640,1,8,20,20,5
"Exam_2F_scores.csv",922198757,5,8,15,13,5
"Exam_2F_scores.csv",920627893,2,8,20,20,5
"Exam_2F_scores.csv",920587140,5,6,12.5,11,0
"Exam_2F_scores.csv",921992679,4,8,20,20,5
"Exam_2F_scores.csv",922127676,5,6,20,20,5
"Exam_2F_scores.csv",921800318,8,8,20,16,0
"Exam_2F_scores.csv",919606854,7,8,20,5,2.5
"Exam_2F_scores.csv",922452930,4,8,20,13,0
"Exam_2F_scores.csv",919406397,1,6,20,20,0
"Exam_2F_scores.csv",919858000,4,6,20,20,5
"Exam_2F_scores.csv",920544277,0,4,20,9,0
"Exam_2F_scores.csv",922588150,4,8,20,18,5
"Exam_2F_scores.csv",921889452,5,6,17,17,5
"Exam_2F_scores.csv",919505573,1,2,7,0,0
"Exam_2F_scores.csv",922206089,3,3,17,15,0
"Exam_2F_scores.csv",916864262,0,6,10,12,0
"Exam_2F_scores.csv",919265240,0,7,20,20,5
"Exam_2F_scores.csv",919901753,0,6,8,7,0
"Exam_2F_scores.csv",921991201,2,10,20,20,5
"Exam_2F_scores.csv",919933828,4,10,20,20,5
"Exam_2F_scores.csv",921493288,2,6,2.5,16,0
"Exam_2F_scores.csv",921057967,0,6,4.5,15,2.5
"Exam_2F_scores.csv",919284438,7,8,17,20,5
"Exam_2F_scores.csv",922401143,2,8,20,19,0
"Exam_2F_scores.csv",921206268,0,9,10.5,2,5
"Exam_2F_scores.csv",922188657,0,10,20,17,5
"Exam_2F_scores.csv",921788278,3,5,20,13,0
"Exam_2F_scores.csv",921903778,1,4,12.5,9,2.5
"Exam_2F_scores.csv",922330777,4,9,20,13,5
"Exam_2F_scores.csv",918856249,0,9,20,18,0
"Exam_2F_scores.csv",921011217,0,9,20,20,5
"Exam_2F_scores.csv",922496378,2,4,2,6,0
"Exam_2F_scores.csv",922651058,2,8,20,18,0
"Exam_2F_scores.csv",919997453,4,8,20,20,5
"Exam_2F_scores.csv",922133301,0,0,7.5,6,0
"Exam_2F_scores.csv",922711943,0,5,20,20,5
"Exam_2F_scores.csv",920976052,1,5,0,2,5
"Exam_2F_scores.csv",919336360,0,4,3,10,0
"Exam_2F_scores.csv",919562383,9,9,13,14,5
"Exam_2F_scores.csv",920818479,1,6,20,18,5
"Exam_2F_scores.csv",920724592,2,8,20,20,5
"Exam_2F_scores.csv",922201259,2,10,20,17,5
"Exam_2F_scores.csv",921169680,1,8,20,17,5
"Exam_2F_scores.csv",921320717,3,8,20,20,5
"Exam_2F_scores.csv",922075799,2,6,20,8,0
"Exam_2F_scores.csv",921793917,0,5,17,20,5
"Exam_2F_scores.csv",920573769,3,4,20,15,2.5
"Exam_2F_scores.csv",919660023,5,2,0,0,2.5
"Exam_2F_scores.csv",921473321,1,8,17,11,5
"Exam_2F_scores.csv",920866162,1,8,17,9,5
"Exam_2F_scores.csv",922613038,3,6,13,18,2.5
"Exam_2F_scores.csv",922550007,5,8,20,20,5
"Exam_2F_scores.csv",920055106,0,6,20,18,0
"Exam_2F_scores.csv",919215229,4,8.5,20,20,5
"Exam_2F_scores.csv",920894707,1,4,20,10,0
"Exam_2F_scores.csv",922202290,3,9,20,15,0
"Exam_2F_scores.csv",919614370,2,10,17,13,5
"Exam_2F_scores.csv",921353807,0,8,20,12,2.5
"Exam_2F_scores.csv",921014023,9,9,11,18,5
"Exam_2F_scores.csv",922355396,7,8,20,20,0
"Exam_2F_scores.csv",920704981,4,0,8,0,0
"Exam_2F_scores.csv",920432473,2,7,17,11,2.5
"Exam_2F_scores.csv",919393060,1,4,0,0,0
"Exam_2F_scores.csv",921186058,1,8,20,20,5
"Exam_2F_scores.csv",922590821,1,10,20,18,5
"Exam_2F_scores.csv",919378687,2,4,13,20,5
"Exam_2F_scores.csv",920727340,6,8,14,20,5
"Exam_2F_scores.csv",920931877,0,6,20,18,5
"Exam_2F_scores.csv",922380248,1,10,20,20,5
"Exam_2F_scores.csv",922418424,3,9,20,18,0
"Exam_2F_scores.csv",918732101,3,7,20,18,0
"Exam_2F_scores.csv",920516140,2,10,20,15,5
"Exam_2F_scores.csv",920417799,4,8,10,0,5
"Exam_2F_scores.csv",919896541,2,8,9.5,17,0
"Exam_2F_scores.csv",922513413,2,7,20,6,2.5
"Exam_2F_scores.csv",922143281,1,8,20,13,2.5
"Exam_2F_scores.csv",921305855,1,4,20,20,5
"Exam_2F_scores.csv",922503151,0,6,3.5,0,0
"Exam_2F_scores.csv",919875669,1,4,6,0,0
"Exam_2F_scores.csv",921890946,1,6,15,16,0
"Exam_2F_scores.csv",919195255,3,2,17,5,0
"Exam_2F_scores.csv",920866780,5,8.5,17,16,0
"Exam_2F_scores.csv",921939195,5,10,20,18,5
"Exam_2F_scores.csv",918652647,0,6,20,0,0
"Exam_2F_scores.csv",922017427,2,6,20,20,5
"Exam_2F_scores.csv",921673176,1,8,10.5,2,0
"Exam_2F_scores.csv",919246874,5,2,13,14,0
"Exam_2F_scores.csv",921121657,4,9,20,20,5
"Exam_2F_scores.csv",920595190,2,9,20,20,5
"Exam_2F_scores.csv",921452533,2,6,10.5,0,0
"Exam_2F_scores.csv",921759074,1,8,15,20,5
"Exam_2F_scores.csv",922437751,4,9,20,20,5
"Exam_2F_scores.csv",922225358,2,8,20,16,2.5
"Exam_2F_scores.csv",917993611,2,6,20,18,5
"Exam_2F_scores.csv",921103769,2,6,20,18,5
"Exam_2F_scores.csv",921920861,2,8,15,20,5
"Exam_2F_scores.csv",922640483,8,10,20,6,0
"Exam_2F_scores.csv",922658048,5,9,17,20,5
"Exam_2F_scores.csv",921322799,7,5,14,18,2.5
"Exam_2F_scores.csv",920526347,0,6,20,20,0
"Exam_2F_scores.csv",922119435,2,6,20,15,5
"Exam_2F_scores.csv",920638853,3,8,20,15,5
"Exam_2F_scores.csv",919241617,3,8,20,0,5
"Exam_2F_scores.csv",921427173,0,3,20,12,0
"Exam_2F_scores.csv",921111557,1,6,15,19,5
"Exam_2F_scores.csv",921376017,2,7,17,12,0
"Exam_2F_scores.csv",919182116,0,7,15,14,5
"Exam_2F_scores.csv",919864256,2,9.5,20,15,0
"Exam_2F_scores.csv",922277733,1,8,15,14,5
"Exam_2F_scores.csv",921041258,1,5,0,16,0
"Exam_2F_scores.csv",922389278,1,8,15,20,5
"Exam_2F_scores.csv",920716115,3,8.5,20,11,0
"Exam_2F_scores.csv",922760677,2,8,13,13,0
"Exam_2F_scores.csv",922477216,4,9.5,20,16,5
"Exam_2F_scores.csv",921881984,3,6,20,19,5
"Exam_2F_scores.csv",921088392,4,6,10,13,2.5
"Exam_2F_scores.csv",920581764,4,9,15,20,5
"Exam_2F_scores.csv",921133412,6,6,17,19,0
"Exam_2F_scores.csv",920707823,2,8,15,20,5
"Exam_2F_scores.csv",921313371,0,6,13,18,5
"Exam_2F_scores.csv",921870241,0,8,20,11,2.5
"Exam_2F_scores.csv",920787869,0,6,20,10,5
"Exam_2F_scores.csv",922048056,1,9,20,20,5
"Exam_2F_scores.csv",921226002,3,9,20,16,5
"Exam_2F_scores.csv",922374241,2,7,20,13,5
"Exam_2F_scores.csv",919458701,3,6,20,13,5
"Exam_2F_scores.csv",922224168,0,8,5.5,20,5
"Exam_2F_scores.csv",921096850,0,5,3.5,13,0
"Exam_2F_scores.csv",919216969,3,8,20,20,5
"Exam_2F_scores.csv",922557110,3,8,20,20,5
"Exam_2F_scores.csv",920779686,3,8,20,16,5
"Exam_2F_scores.csv",921451602,3,7,20,14,5
"Exam_2F_scores.csv",920542619,0,6,20,20,5
"Exam_2F_scores.csv",920899731,4,7,20,11,2.5
"Exam_2F_scores.csv",920645354,1,7,17,14,0
"Exam_2F_scores.csv",921850957,4,10,20,12,5
"Exam_2F_scores.csv",921678058,1,9,20,19,5
"Exam_2F_scores.csv",921356817,3,8,15,19,0
"Exam_2F_scores.csv",922184677,2,6,15,12,0
"Exam_2F_scores.csv",922010628,5,6,17,13,5
"Exam_2F_scores.csv",922465011,1,8,20,20,5
"Exam_2F_scores.csv",920548998,0,9,12.5,20,5
"Exam_2F_scores.csv",922371367,3,5,20,3,0
"Exam_2F_scores.csv",921494083,3,8,20,10,0
"Exam_2F_scores.csv",922206296,2,10,20,2,5
"Exam_2F_scores.csv",922758252,2,8.5,20,20,5
"Exam_2F_scores.csv",919161247,7,9,20,20,5
"Exam_2F_scores.csv",922542581,1,7,15,19,5
"Exam_2F_scores.csv",921286916,1,7,20,17,5
"Exam_2F_scores.csv",922390270,0,5,2,2,0
"Exam_2F_scores.csv",922254183,8,6,20,19,5
