"SID","views1","pv_def","pv_cv","internal2","interpret"
921980131,2,9,12,15,4
922737671,6,2,0,0,2
919233214,7,8,3,7.5,3
920829976,3,10,20,12.5,5
922209073,2,10,20,10,5
919226768,3,10,20,15,5
920453151,2,10,20,7.5,4
921073844,4,9,18,5,3
921936318,2,5,8,15,3
919908989,4,10,20,15,2
920003572,0,9,16,0,4
922314890,4,0,0,0,3
922075317,0,10,14,7.5,3
922159592,4,10,18,15,5
922086160,7,8,8,15,3
922270620,1,9,16,0,2
921108421,0,10,18,10,3
920962888,1,10,18,15,3
922558944,8,10,20,0,3
922352959,0,10,12,15,5
922198757,6,9,8,15,3
919695454,9,9,16,7.5,2
920876534,3,6,8,2.5,3
920587140,5,9,0,0,2
919837924,0,10,8,5,2
922133754,7,4,16,10,3
921155487,2,10,18,0,2
918684424,0,9,16,2.5,2
921942771,2,9,18,10,1
922232901,1,8,12,10,5
922454763,5,8,10,0,4
922457443,3,8,16,5,3
922007563,3,9,20,15,5
922250365,1,7,16,15,5
922224168,6,8,14,12.5,3
920643068,1,10,8,15,3
920925281,0,10,8,12.5,4
920432473,3,8,16,7.5,4
921807214,5,10,16,5,1
922275803,3,10,0,0,3
920542619,0,7,20,12.5,3
922712421,13,7,5,15,4
921870241,0,10,16,5,3
921088392,2,10,6,15,3
920707823,2,10,20,15,3
921313371,0,4,16,5,5
922566538,1,8,8,7.5,0
922389278,0,10,20,2.5,5
922760677,1,8,6,5,0
922342189,3,10,18,15,3
922477216,1,7,8,15,4
921041258,0,10,12,7.5,2
922277733,1,9,20,15,4
922386080,11,6,8,5,4
919768349,0,4,0,0,1
919229969,3,10,20,15,3
919182116,0,7,10,15,3
921427173,0,4,8,0,2
920460131,3,10,8,5,2
921111557,1,10,18,15,5
920638853,2,6,12,5,4
920645176,3,10,20,15,4
919896541,2,2,10,7.5,3
920573769,1,10,12,5,2
919563353,0,7,2,10,3
920526347,1,8,18,15,0
921180009,1,9,16,12.5,3
921322799,11,8,10,0,3
922264267,3,10,18,15,3
921237635,2,10,8,15,3
920685107,5,8,8,2.5,4
921920861,0,8,18,5,5
921793917,1,10,12,15,3
921673176,1,8,18,2.5,2
920770397,1,10,18,15,4
919653179,5,8,0,12.5,3
919428171,1,10,18,0,2
920724592,5,10,18,15,4
921169680,1,8,18,15,5
919562383,2,10,18,12.5,4
922041464,0,9,18,2.5,3
919336360,0,3,14,2.5,3
922496378,5,9,0,12.5,2
921094234,0,9,15,15,0
921923677,0,10,8,0,2
920976052,0,10,2,10,2
922651058,2,8,6,0,2
919215850,1,9,16,12.5,5
918856249,0,10,10,12.5,3
919649675,2,9,20,15,5
920841433,4,8,16,15,4
919393060,2,1,16,0,3
921014023,5,9,10,15,3
921253541,2,4,16,7.5,2
922353796,0,10,8,2.5,3
922202290,3,4,18,10,4
922550007,2,1,8,7.5,2
922014365,2,8,8,5,4
922612440,4,10,5,7.5,4
920894707,1,7,14,5,2
920004937,4,8,16,12.5,3
921747112,0,10,16,12.5,3
920866162,2,7,17,0,4
920223433,0,10,18,15,3
922661378,0,8,6,2.5,2
922437751,13,8,8,15,5
922567870,5,10,18,15,5
921057967,0,9,10,5,2
922347139,1,10,18,15,2
919509935,2,10,16,15,5
922206089,4,6,12,15,3
918652647,0,10,0,0,2
919427114,5,2,8,5,3
919953950,2,10,16,10,4
921284112,5,10,16,7.5,2
920499610,0,4,14,10,2
920501430,0,8,14,15,4
920964637,1,10,18,15,5
920596717,3,6,18,12.5,3
921305855,4,7,6,2.5,4
922143281,2,5,8,10,2
922513413,3,8,14,2.5,3
921160650,2,7,8,15,3
921993270,3,10,20,15,5
920767559,1,7,12,2.5,4
922380248,2,8,12,12.5,4
921931821,2,8,20,15,5
921295981,0,2,7,2.5,2
922390270,1,9,16,7.5,2
921929710,0,4,8,0,3
921286916,3,10,18,0,3
922206296,5,8,18,12.5,0
922068696,2,10,18,7.5,5
919161247,3,5,8,2.5,3
922198155,9,10,20,12.5,5
921229054,7,10,6,15,0
921678058,0,8,20,15,3
922184677,2,9,18,10,2
920579132,2,10,6,2.5,2
922475687,0,10,8,15,4
921356817,2,10,16,5,2
921972055,1,10,8,7.5,2
920660876,3,9,10,2.5,2
920645354,1,9,12,0,2
915162415,5,0,8,15,3
921943660,2,10,16,12.5,3
919399019,0,4,6,2.5,3
