"SID","views1","ov_op","ov_cv","internal","interpretation"
922010628,3,9,10,10,10
922475687,0,9,8,10,3
921229054,3,8,10,10,6
919665879,2,9,10,10,7
922906444,0,8,10,10,5
921133412,1,9,10,10,9
920082522,0,8,10,10,9
921034524,11,8,10,10,4
919653179,2,8,5,10,7
918405988,0,8,10,10,8
920628957,0,7,10,10,9
919305168,0,9,10,10,8
922160109,0,7,10,10,4
921803014,0,9,10,10,5
922511334,1,9,10,10,8
922720659,0,9,10,10,5
921452533,1,8,10,10,8
922761906,0,6,10,10,6
921903778,0,6,10,10,0
922421437,1,9,10,10,10
921494083,3,9,10,10,6
921769938,2,8,10,10,9
921674900,2,9,10,10,9
920997895,0,9,10,10,8
920581780,1,8,10,10,7
919883266,0,9,10,10,10
