"SID","views1","pv_op","pv_cv","interpret"
920724178,0,3,14,5
918499774,1,4,20,5
920621886,1,6.5,14,5
921887629,5,6,18,5
922703537,1,7.5,20,0
922219047,0,2,14,5
921813729,4,9.5,18,5
918058788,3,4,12,5
922612893,2,2,14,5
922549270,0,6,14,2.5
921085861,0,7,20,2.5
920968798,0,6,18,5
921147929,2,7,20,5
919527577,3,9,10,5
920816950,2,5,9,5
919716168,4,7,18,5
921791456,5,6.5,18,5
921650555,3,5,10,2.5
920767559,2,4,16,5
921160650,3,6.5,18,5
921149396,3,2,12,5
922437175,5,7,14,2.5
919279948,1,6,18,5
919943928,1,8,18,0
920964637,1,9,18,5
920596717,2,5,16,5
919663253,3,7,18,5
920499610,0,6,12,5
920501430,1,7,14,5
921284112,2,9,20,5
919427114,4,9.5,18,5
919953950,3,8.5,20,5
919702101,0,1,8,5
920960385,1,1,14,5
919399019,0,5,14,5
919563353,0,1,4,5
922360792,0,3,0,5
920645176,2,9,20,5
920858905,6,2.5,18,5
921180009,2,6,16,5
920725973,0,5.5,20,5
920624948,2,5.5,18,5
919229969,2,4.5,16,5
922396711,12,5.5,18,5
919768349,0,3,10,5
921923677,1,0,12,2.5
922017317,2,5,0,5
922386080,3,4,7,5
922381182,1,3.5,12,2.5
920076936,2,6,16,5
922513976,2,6,0,5
920775787,3,1.5,16,5
922607471,0,3,3,2.5
919509935,4,4.5,10,2.5
922697517,0,3,9,2.5
921881450,0,6,6,5
919552746,4,0,0,2.5
922567870,4,10,20,5
922347139,3,6,14,5
917159468,3,8.5,20,5
919872439,3,4,16,2.5
920223433,0,3,10,5
920691735,0,6,14,5
922661378,0,6,2,5
919905908,3,4.5,11,5
921747112,1,5.5,3,0
922014365,2,5,13,5
921943660,4,6.5,16,5
921012863,1,3,20,5
922353796,0,6,17,5
920841433,5,8,7,0
919215850,0,8,18,5
921958710,0,7,16,5
922041464,0,5.5,5,5
921094234,3,4,20,5
921910017,1,8.5,18,5
919428171,2,6.5,18,5
920777808,4,7,2,5
922049686,1,8,20,2.5
919653179,4,5.5,9,5
920770397,0,7,16,5
920479520,0,3,18,5
921237635,4,9,20,0
922413995,1,7,12,5
922145399,4,6.5,18,5
919315323,3,9,20,5
922264267,3,9.5,20,5
921911281,0,0,13,5
922332791,6,3,13,5
920685107,2,7.5,20,5
919898992,2,6.5,2,5
920803756,1,0,12,5
922342189,2,9.5,16,5
922566538,4,5,16,5
922712421,5,3,11,5
922275803,2,1,13,5
921862767,1,0,10,5
915162415,9,8,16,0
920071999,9,5.5,12,0
921972055,2,6,18,5
920579132,0,5.5,16,5
921882556,0,7,7,5
922475687,0,8,18,5
921229054,7,8,13,5
922509692,1,9,18,5
920795958,2,5,13,5
921677017,0,5.5,18,5
922713970,0,2,14,5
922635388,3,5,16,5
922068696,4,7.5,20,0
922198155,2,8,18,5
921929710,0,6.5,18,5
922664922,2,8,14,5
921295981,0,3,0,5
921931821,5,9,20,5
922612440,3,9,16,5
922400814,3,6,16,5
921253541,4,3,0,5
921081425,2,9,16,5
921262561,6,4.5,12,5
921944643,10,3,15,2.5
920925281,1,6,14,0
920730191,3,7.5,18,5
922304606,0,0,0,5
920643068,1,7,20,5
918641946,2,1.5,6,5
922250365,7,7,20,5
922509197,4,6,16,5
922457443,4,6.5,18,5
922007563,4,10,20,5
922296963,7,8.5,20,5
922398489,11,8,16,2.5
921408574,5,8,12,2.5
921155487,4,3,18,5
922133754,10,6.5,18,0
919837924,0,7,16,5
922421437,1,6,20,5
920997895,0,8,20,5
920082522,0,9,20,5
921034524,3,5,0,5
921674900,11,4,11,5
922806191,0,4,16,2.5
920628957,0,5,16,5
921803014,2,4,12,5
919305168,1,6,14,5
922511334,4,6,16,5
922761906,3,0.5,0,5
922160109,1,6,13,5
922720659,4,8,18,5
919665879,2,9,16,5
922319235,0,5,7,2.5
921877613,1,7,11,5
920581780,6,7,20,5
919883266,4,7,16,5
919060827,0,6,14,5
922232901,3,5,9,5
922454763,8,5,9,5
921982621,0,4,18,5
921807214,8,1,0,5
919649109,0,0,0,0
