"SID","views1","ov_op","ov_cv","internal","cofound","external"
922390270,0,9,4.5,3,1,5
920727340,2,9,10,5,10,10
922713970,0,10,2.5,0,10,9
918732101,4,9,10,10,10,10
922380248,0,9,7.5,10,10,10
921160650,2,10,9,5,10,10
920417799,0,7,7.5,6,0,6
921149396,2,0,0,7,3,0
919896541,1,10,6.5,8,10,9
922513413,2,10,6,8,1,9
921305855,7,7,7.5,3,3,9
922503151,0,4,0,5,6,10
920499610,0,9,0,5,1,10
919953950,2,10,10,4,4,6
919427114,2,10,7,4,10,10
922389278,0,10,10,3,0,10
922477216,2,7,10,8,10,10
920707823,2,9,10,6,1,10
921313371,0,9,10,2,10,10
920787869,0,7,9,9,8,10
921870241,0,5,10,6,1,6
922275803,1,8,6,3,10,10
920899731,3,10,0,3,10,4
921807214,4,9,2.5,4,9,2
915162415,2,2,4.5,2,1,2
921972055,1,10,9,10,10,10
920660876,4,6,9,3,8,10
921229054,3,9,9,4,1,10
922184677,1,10,10,10,10,10
921677017,1,10,9,10,10,10
922010628,5,10,10,5,10,10
922068696,2,10,8,9,10,10
922664922,3,10,10,8,10,10
919378687,2,10,10,5,10,10
921284112,5,9,8,10,1,10
922017427,2,1,6.5,3,10,8
919246874,2,7,7.5,3,10,8
918652647,0,10,10,0,10,10
920595190,1,10,10,10,10,10
921121657,3,9,10,10,10,10
922607471,0,8,0,0,10,10
919552746,1,7,1,0,0,0
922697517,0,8,5,2,10,10
921759074,0,10,9,10,10,10
919872439,6,0,5.5,3,0,0
917159468,2,9,10,10,10,10
922661378,0,6,7,10,10,10
922550007,3,10,10,10,10,10
919215229,8,10,9,10,10,10
920894707,3,3.5,2.5,6,10,8
922014365,2,9,8.5,6,6,4
922202290,7,10,7.5,10,10,10
919614370,0,10,9,10,10,10
922355396,5,8,9,10,10,9
922400814,4,5,0,4,1,10
920704981,0,9,6.5,10,1,4
922806191,0,9,10,0,10,10
921944643,17,9,7,10,10,10
922680906,2,9.5,0,5,1,5
921226002,3,9,9,10,10,7
920925281,1,10,9,2,10,10
922590821,2,7.5,7.5,10,10,10
921262561,2,7,8,6,1,10
922304606,0,0,1.5,5,1,0
922250365,3,5.5,9,10,10,10
922457443,1,7,9,4,10,10
922007563,4,10,6,10,10,10
922296963,2,10,10,10,10,10
919458701,7,7,10,10,10,10
922398489,7,5,10,10,10,10
922133754,5,10,8,10,10,10
921155487,2,8,3.5,6,1,10
922292132,0,9.5,10,10,1,10
921408574,4,9,10,2,8,9
919837924,0,6,9,4,0,10
921096850,4,8,9,0,5,10
922557110,1,10,9,10,10,10
922145399,6,7,8,10,10,5
922413995,1,10,10,5,10,10
920526347,1,10,3.5,5,10,10
920960385,1,10,0,0,10,10
922332791,0,5,0,6,3,0
921180009,2,10,9,6,10,10
921322799,2,8,8,5,10,10
922360792,0,0,1.5,0,0,0
919943928,1,10,10,6,7,10
919182116,0,8,8,6,10,10
921111557,1,9,10,10,10,10
919241617,1,8,10,2,10,9.5
920858905,1,10,9.5,10,10,10
922420700,2,9,10,10,10,5
919864256,0,10,4.5,10,10,10
922396711,2,10,10,10,1,10
921923677,1,4,5.5,10,10,10
922017317,2,9,0,6,3,10
920076936,2,10,10,6,1,10
922386080,4,6,9,2,3,10
920775787,4,7,4.5,6,1,8
920803756,0,9,8,0,1,5
921088392,1,9,3.5,2,10,10
922342189,3,10,9,10,10,10
921133412,3,10,8,10,10,10
922760677,1,10,5.5,5,10,3
922421437,1,9.5,9,10,10,10
921903778,0,9,8,0,3,0
921452533,4,5,9,2,9,2
920997895,0,10,5.5,6,1,10
920082522,0,10,10,6,10,10
921674900,9,9,10,10,8,10
921034524,6,10,7.5,3,1,3
920628957,0,9,8,3,10,10
921803014,2,9.5,4.5,0,10,10
919305168,2,10,10,6,10,10
922511334,2,10,7.5,10,1,10
922761906,2,6,9,1,10,0
921769938,2,9.5,8,6,3,10
922160109,1,8,8,3,10,10
922720659,4,8,7,4,3,10
919665879,1,10,9,3,10,9
921494083,7,9,8,6,10,6
922319235,1,6,0,0,1,10
920581780,4,10,10,7,10,10
919883266,4,10,10,10,10,10
921877613,1,5,2.5,6,3,10
922906444,0,5,7.5,0,1,0
921173760,1,4,1,4,0,6
