"source","SID","views4","ov_op","ov_cv","internal","confound","external"
"Exam_4A_scores.csv",922198155,4,9,10,7,10,10
"Exam_4A_scores.csv",922206296,2,10,9,7,10,10
"Exam_4A_scores.csv",919161247,2,10,10,4,10,10
"Exam_4A_scores.csv",922542581,2,9,10,7,7,10
"Exam_4A_scores.csv",921295981,0,7,7.5,3,6,10
"Exam_4A_scores.csv",921929710,0,8,6.5,3,10,10
"Exam_4A_scores.csv",922758252,2,7,7.5,5,5,10
"Exam_4A_scores.csv",920931877,0,10,3.5,7,6,10
"Exam_4A_scores.csv",921931821,1,10,10,10,10,10
"Exam_4A_scores.csv",922418424,4,10,10,9,10,10
"Exam_4A_scores.csv",921650555,1,7,8.5,7,7,10
"Exam_4A_scores.csv",920767559,1,9,10,7,7,10
"Exam_4A_scores.csv",920516140,0,9,8.5,5,8,10
"Exam_4A_scores.csv",922437175,1,8,5.5,0,3,10
"Exam_4A_scores.csv",922143281,1,10,0,3,0,10
"Exam_4A_scores.csv",919279948,0,7,0,0,6,10
"Exam_4A_scores.csv",919875669,1,8,3,7,7,10
"Exam_4A_scores.csv",920596717,3,10,10,5,10,10
"Exam_4A_scores.csv",919195255,2,10,6.5,5,10,10
"Exam_4A_scores.csv",919663253,7,8,10,5,4,10
"Exam_4A_scores.csv",920866780,0,10,6.5,10,10,10
"Exam_4A_scores.csv",921939195,5,10,10,10,8,10
"Exam_4A_scores.csv",920501430,0,2,8.5,7,6,10
"Exam_4A_scores.csv",922206089,3,7,7.5,5,5,10
"Exam_4A_scores.csv",921890946,0,9,8.5,3,3,10
"Exam_4A_scores.csv",919509935,6,10,10,10,8,10
"Exam_4A_scores.csv",921473321,2,10,8.5,5,4,10
"Exam_4A_scores.csv",922075317,0,10,5.5,3,3,10
"Exam_4B_scores.csv",922378179,2,10,9,10,10,10
"Exam_4B_scores.csv",922726475,7,3,5.5,10,0,10
"Exam_4B_scores.csv",922648621,2,7,7,5,10,7
"Exam_4B_scores.csv",918405988,0,5,0,5,1,9
"Exam_4B_scores.csv",922596401,9,10,6,4,0,10
"Exam_4B_scores.csv",922091906,2,9,7.5,5,10,10
"Exam_4B_scores.csv",922315394,1,10,10,10,10,10
"Exam_4B_scores.csv",918510297,3,6,1.5,10,0,6
"Exam_4B_scores.csv",921779287,2,9,10,3,6,10
"Exam_4B_scores.csv",920724178,1,9,9,3,6,6
"Exam_4B_scores.csv",921395179,2,9,9,6,1,5
"Exam_4B_scores.csv",920983540,2,9,6.5,3,1,10
"Exam_4B_scores.csv",919647114,0,10,5.5,10,6,10
"Exam_4B_scores.csv",922582486,5,6,10,2,10,0
"Exam_4B_scores.csv",920621886,2,10,8,10,1,8
"Exam_4B_scores.csv",920486513,0,10,9,9,0,7
"Exam_4B_scores.csv",922703537,1,10,10,10,10,7
"Exam_4B_scores.csv",922163290,1,9,10,10,8,7
"Exam_4B_scores.csv",922774171,0,10,10,10,10,10
"Exam_4B_scores.csv",922217269,0,8,10,2,6,10
"Exam_4B_scores.csv",921096818,0,9,8,5,10,0
"Exam_4B_scores.csv",920442395,1,10,9,0,10,10
"Exam_4B_scores.csv",922527904,7,10,9,10,10,9
"Exam_4B_scores.csv",920825666,0,9,9,6,0,10
"Exam_4B_scores.csv",920926552,1,10,10,10,10,10
"Exam_4B_scores.csv",922053805,2,10,10,2,10,9
"Exam_4B_scores.csv",922645611,2,10,7.5,5,10,10
"Exam_4B_scores.csv",919060827,0,7,3.5,5,8,7
"Exam_4B_scores.csv",921746540,1,4,10,0,10,10
"Exam_4B_scores.csv",919399019,1,0,5.5,5,0,10
"Exam_4B_scores.csv",921899125,1,8,8,5,1,10
"Exam_4B_scores.csv",920587920,1,9,5.5,2,10,10
"Exam_4B_scores.csv",922014022,0,7,10,10,10,10
"Exam_4B_scores.csv",921887234,7,9,10,3,8,8
"Exam_4B_scores.csv",922659717,1,10,9,10,10,10
"Exam_4B_scores.csv",922131905,3,10,10,9,10,10
"Exam_4B_scores.csv",921139555,3,8,10,8,10,10
"Exam_4B_scores.csv",922352959,0,10,9,5,10,10
"Exam_4B_scores.csv",922198757,7,9,9,10,1,9
"Exam_4B_scores.csv",920627893,2,9,8,10,8,9
"Exam_4B_scores.csv",920693827,0,10,8,6,10,7
"Exam_4B_scores.csv",919902765,6,5,5.5,4,10,10
"Exam_4B_scores.csv",922127676,1,9,10,4,10,10
"Exam_4B_scores.csv",922395673,4,10,9,8,10,9
"Exam_4B_scores.csv",919186358,0,10,10,8,8,10
"Exam_4B_scores.csv",921800318,1,5,1,8,8,10
"Exam_4B_scores.csv",919606854,1,9,10,8,8,10
"Exam_4B_scores.csv",920105920,5,10,7,10,10,9
"Exam_4B_scores.csv",922452930,5,9,9,6,10,5
"Exam_4B_scores.csv",919406397,1,9,10,2,10,10
"Exam_4B_scores.csv",920544277,0,3,3.5,7,3,0
"Exam_4B_scores.csv",921079835,1,9,10,3,10,8
"Exam_4B_scores.csv",919858000,3,8,9,10,6,9
"Exam_4B_scores.csv",922199581,3,5,6.5,0,3,8
"Exam_4B_scores.csv",919586945,2,9,9,4,10,10
"Exam_4B_scores.csv",919505573,1,2,0,3,10,9
"Exam_4B_scores.csv",922259793,0,7,3.5,3,8,8
"Exam_4B_scores.csv",919571497,1,5,0,5,0,0
"Exam_4B_scores.csv",922009558,1,9,10,10,10,10
"Exam_4B_scores.csv",919901753,0,3,10,2,3,10
"Exam_4B_scores.csv",922639575,1,10,10,2,8,10
"Exam_4B_scores.csv",919933828,2,10,9,10,10,10
"Exam_4B_scores.csv",921168364,0,5,6.5,6,10,10
"Exam_4B_scores.csv",918614504,1,4,0,2,1,0
"Exam_4B_scores.csv",922219047,0,5,0,2,1,9
"Exam_4B_scores.csv",921096287,1,7,4.5,6,5,0
"Exam_4B_scores.csv",918058788,2,8,0,10,10,6
"Exam_4B_scores.csv",919897472,5,7,7,3,8,10
"Exam_4B_scores.csv",921085861,0,7,10,2,1,9
"Exam_4B_scores.csv",920584509,2,10,10,10,10,10
"Exam_4B_scores.csv",922549270,0,9,10,10,10,10
"Exam_4B_scores.csv",922008643,5,10,10,3,1,10
"Exam_4B_scores.csv",919522996,0,10,9,10,1,10
"Exam_4B_scores.csv",922074952,1,10,10,10,10,10
"Exam_4B_scores.csv",920816950,6,7,8,5,8,8
"Exam_4B_scores.csv",918684424,0,8,7.5,10,1,10
"Exam_4B_scores.csv",918226853,3,10,7.5,6,8,10
"Exam_4B_scores.csv",922810941,1,10,8,6,10,10
"Exam_4B_scores.csv",922484982,2,9,3.5,10,3,10
"Exam_4B_scores.csv",921791456,4,4,5.5,9,3,10
"Exam_4B_scores.csv",920990669,1,8,10,5,1,10
"Exam_4B_scores.csv",920771736,2,10,10,10,7,10
"Exam_4B_scores.csv",922062016,1,10,8,10,1,10
"Exam_4B_scores.csv",922737671,2,7,5.5,2,10,6
"Exam_4B_scores.csv",921850339,2,10,10,8,10,10
"Exam_4B_scores.csv",922209073,1,9,7.5,10,10,10
"Exam_4B_scores.csv",921980131,1,10,4.5,8,10,10
"Exam_4B_scores.csv",919226768,1,10,8,10,10,10
"Exam_4B_scores.csv",919309229,0,9,10,10,10,10
"Exam_4B_scores.csv",920453151,2,10,10,6,10,10
"Exam_4B_scores.csv",921144346,2,10,10,7,10,10
"Exam_4B_scores.csv",919484597,2,10,10,6,1,0
"Exam_4B_scores.csv",918820958,0,9,9,2,10,7
"Exam_4B_scores.csv",918227292,3,10,10,5,10,9
"Exam_4B_scores.csv",922314890,1,9,1,1,8,4
"Exam_4B_scores.csv",922159592,4,9,10,10,10,10
"Exam_4B_scores.csv",922086160,2,9,10,8,5,10
"Exam_4B_scores.csv",922270620,1,9,6.5,8,10,6
"Exam_4B_scores.csv",921681870,0,0,0,0,0,4
"Exam_4B_scores.csv",920962888,0,8,10,3,8,10
"Exam_4B_scores.csv",921860594,0,7,4.5,2,10,9
"Exam_4B_scores.csv",922000269,5,10,9,3,1,8
"Exam_4B_scores.csv",922558944,1,10,10,10,10,9
"Exam_4B_scores.csv",920841433,5,8,2.5,8,1,7
"Exam_4B_scores.csv",918856249,0,9,10,6,10,0
"Exam_4B_scores.csv",922330777,2,10,10,10,10,10
"Exam_4B_scores.csv",922496378,5,7,7.5,0,1,0
"Exam_4B_scores.csv",921958710,0,9,7.5,6,3,8
"Exam_4B_scores.csv",921011217,0,10,10,10,10,10
"Exam_4B_scores.csv",922133301,2,8,7.5,10,10,8
"Exam_4B_scores.csv",922651058,4,10,8,6,6,10
"Exam_4B_scores.csv",919336360,0,10,7.5,6,1,0
"Exam_4B_scores.csv",921376017,4,7.5,7,9,10,10
"Exam_4B_scores.csv",922635388,3,10,10,10,10,10
"Exam_4B_scores.csv",921237635,2,10,10,6,10,10
"Exam_4B_scores.csv",921673176,2,7,6.5,2,10,0
"Exam_4B_scores.csv",920777808,2,6,5.5,1,5,0
"Exam_4B_scores.csv",920770397,0,10,10,10,10,10
"Exam_4B_scores.csv",922049686,1,9,10,10,10,10
"Exam_4B_scores.csv",921793917,1,9,10,6,10,10
"Exam_4B_scores.csv",921103769,1,7,10,4,10,10
"Exam_4B_scores.csv",922640483,10,10,3.5,7,0,0
"Exam_4B_scores.csv",921911281,0,5,0,0,1,6
"Exam_4B_scores.csv",921286916,2,10,8,10,3,10
"Exam_4B_scores.csv",922390270,0,9,4.5,3,1,5
"Exam_4B_scores.csv",920727340,2,9,10,5,10,10
"Exam_4B_scores.csv",922713970,0,10,2.5,0,10,9
"Exam_4B_scores.csv",918732101,4,9,10,10,10,10
"Exam_4B_scores.csv",922380248,0,9,7.5,10,10,10
"Exam_4B_scores.csv",921160650,2,10,9,5,10,10
"Exam_4B_scores.csv",920417799,0,7,7.5,6,0,6
"Exam_4B_scores.csv",921149396,2,0,0,7,3,0
"Exam_4B_scores.csv",919896541,1,10,6.5,8,10,9
"Exam_4B_scores.csv",922513413,2,10,6,8,1,9
"Exam_4B_scores.csv",921305855,7,7,7.5,3,3,9
"Exam_4B_scores.csv",922503151,0,4,0,5,6,10
"Exam_4B_scores.csv",920499610,0,9,0,5,1,10
"Exam_4B_scores.csv",919953950,2,10,10,4,4,6
"Exam_4B_scores.csv",919427114,2,10,7,4,10,10
"Exam_4B_scores.csv",922389278,0,10,10,3,0,10
"Exam_4B_scores.csv",922477216,2,7,10,8,10,10
"Exam_4B_scores.csv",920707823,2,9,10,6,1,10
"Exam_4B_scores.csv",921313371,0,9,10,2,10,10
"Exam_4B_scores.csv",920787869,0,7,9,9,8,10
"Exam_4B_scores.csv",921870241,0,5,10,6,1,6
"Exam_4B_scores.csv",922275803,1,8,6,3,10,10
"Exam_4B_scores.csv",920899731,3,10,0,3,10,4
"Exam_4B_scores.csv",921807214,4,9,2.5,4,9,2
"Exam_4B_scores.csv",915162415,2,2,4.5,2,1,2
"Exam_4B_scores.csv",921972055,1,10,9,10,10,10
"Exam_4B_scores.csv",920660876,4,6,9,3,8,10
"Exam_4B_scores.csv",921229054,3,9,9,4,1,10
"Exam_4B_scores.csv",922184677,1,10,10,10,10,10
"Exam_4B_scores.csv",921677017,1,10,9,10,10,10
"Exam_4B_scores.csv",922010628,5,10,10,5,10,10
"Exam_4B_scores.csv",922068696,2,10,8,9,10,10
"Exam_4B_scores.csv",922664922,3,10,10,8,10,10
"Exam_4B_scores.csv",919378687,2,10,10,5,10,10
"Exam_4B_scores.csv",921284112,5,9,8,10,1,10
"Exam_4B_scores.csv",922017427,2,1,6.5,3,10,8
"Exam_4B_scores.csv",919246874,2,7,7.5,3,10,8
"Exam_4B_scores.csv",918652647,0,10,10,0,10,10
"Exam_4B_scores.csv",920595190,1,10,10,10,10,10
"Exam_4B_scores.csv",921121657,3,9,10,10,10,10
"Exam_4B_scores.csv",922607471,0,8,0,0,10,10
"Exam_4B_scores.csv",919552746,1,7,1,0,0,0
"Exam_4B_scores.csv",922697517,0,8,5,2,10,10
"Exam_4B_scores.csv",921759074,0,10,9,10,10,10
"Exam_4B_scores.csv",919872439,6,0,5.5,3,0,0
"Exam_4B_scores.csv",917159468,2,9,10,10,10,10
"Exam_4B_scores.csv",922661378,0,6,7,10,10,10
"Exam_4B_scores.csv",922550007,3,10,10,10,10,10
"Exam_4B_scores.csv",919215229,8,10,9,10,10,10
"Exam_4B_scores.csv",920894707,3,3.5,2.5,6,10,8
"Exam_4B_scores.csv",922014365,2,9,8.5,6,6,4
"Exam_4B_scores.csv",922202290,7,10,7.5,10,10,10
"Exam_4B_scores.csv",919614370,0,10,9,10,10,10
"Exam_4B_scores.csv",922355396,5,8,9,10,10,9
"Exam_4B_scores.csv",922400814,4,5,0,4,1,10
"Exam_4B_scores.csv",920704981,0,9,6.5,10,1,4
"Exam_4B_scores.csv",922806191,0,9,10,0,10,10
"Exam_4B_scores.csv",921944643,17,9,7,10,10,10
"Exam_4B_scores.csv",922680906,2,9.5,0,5,1,5
"Exam_4B_scores.csv",921226002,3,9,9,10,10,7
"Exam_4B_scores.csv",920925281,1,10,9,2,10,10
"Exam_4B_scores.csv",922590821,2,7.5,7.5,10,10,10
"Exam_4B_scores.csv",921262561,2,7,8,6,1,10
"Exam_4B_scores.csv",922304606,0,0,1.5,5,1,0
"Exam_4B_scores.csv",922250365,3,5.5,9,10,10,10
"Exam_4B_scores.csv",922457443,1,7,9,4,10,10
"Exam_4B_scores.csv",922007563,4,10,6,10,10,10
"Exam_4B_scores.csv",922296963,2,10,10,10,10,10
"Exam_4B_scores.csv",919458701,7,7,10,10,10,10
"Exam_4B_scores.csv",922398489,7,5,10,10,10,10
"Exam_4B_scores.csv",922133754,5,10,8,10,10,10
"Exam_4B_scores.csv",921155487,2,8,3.5,6,1,10
"Exam_4B_scores.csv",922292132,0,9.5,10,10,1,10
"Exam_4B_scores.csv",921408574,4,9,10,2,8,9
"Exam_4B_scores.csv",919837924,0,6,9,4,0,10
"Exam_4B_scores.csv",921096850,4,8,9,0,5,10
"Exam_4B_scores.csv",922557110,1,10,9,10,10,10
"Exam_4B_scores.csv",922145399,6,7,8,10,10,5
"Exam_4B_scores.csv",922413995,1,10,10,5,10,10
"Exam_4B_scores.csv",920526347,1,10,3.5,5,10,10
"Exam_4B_scores.csv",920960385,1,10,0,0,10,10
"Exam_4B_scores.csv",922332791,0,5,0,6,3,0
"Exam_4B_scores.csv",921180009,2,10,9,6,10,10
"Exam_4B_scores.csv",921322799,2,8,8,5,10,10
"Exam_4B_scores.csv",922360792,0,0,1.5,0,0,0
"Exam_4B_scores.csv",919943928,1,10,10,6,7,10
"Exam_4B_scores.csv",919182116,0,8,8,6,10,10
"Exam_4B_scores.csv",921111557,1,9,10,10,10,10
"Exam_4B_scores.csv",919241617,1,8,10,2,10,9.5
"Exam_4B_scores.csv",920858905,1,10,9.5,10,10,10
"Exam_4B_scores.csv",922420700,2,9,10,10,10,5
"Exam_4B_scores.csv",919864256,0,10,4.5,10,10,10
"Exam_4B_scores.csv",922396711,2,10,10,10,1,10
"Exam_4B_scores.csv",921923677,1,4,5.5,10,10,10
"Exam_4B_scores.csv",922017317,2,9,0,6,3,10
"Exam_4B_scores.csv",920076936,2,10,10,6,1,10
"Exam_4B_scores.csv",922386080,4,6,9,2,3,10
"Exam_4B_scores.csv",920775787,4,7,4.5,6,1,8
"Exam_4B_scores.csv",920803756,0,9,8,0,1,5
"Exam_4B_scores.csv",921088392,1,9,3.5,2,10,10
"Exam_4B_scores.csv",922342189,3,10,9,10,10,10
"Exam_4B_scores.csv",921133412,3,10,8,10,10,10
"Exam_4B_scores.csv",922760677,1,10,5.5,5,10,3
"Exam_4B_scores.csv",922421437,1,9.5,9,10,10,10
"Exam_4B_scores.csv",921903778,0,9,8,0,3,0
"Exam_4B_scores.csv",921452533,4,5,9,2,9,2
