"source","SID","views1","h0","h1","pv_op","ov_op","claim_ex","interpret"
"Exam_1A_scores.csv",922009558,4,10,9,9,9,8,10
"Exam_1A_scores.csv",919927766,5,8,10,7.5,5,5,10
"Exam_1A_scores.csv",922206089,3,6,10,10,10,10,10
"Exam_1A_scores.csv",922259793,0,8,10,1,8,3,10
"Exam_1A_scores.csv",919571497,3,8,4,1,0,10,10
"Exam_1A_scores.csv",919265240,2,10,10,10,10,10,10
"Exam_1A_scores.csv",919586945,3,6,8,7.5,10,5,10
"Exam_1A_scores.csv",920978102,4,9,10,10,10,5,10
"Exam_1A_scores.csv",917159468,4,9,10,10,10,5,10
"Exam_1A_scores.csv",922639575,1,10,7,10,10,5,10
"Exam_1A_scores.csv",921057967,1,8,10,10,7.5,3,10
"Exam_1A_scores.csv",921991201,1,10,10,9,9,8,10
"Exam_1A_scores.csv",920004937,7,10,10,10,7,5,10
"Exam_1A_scores.csv",921096287,5,10,10,9.5,4.5,5,10
"Exam_1A_scores.csv",921788278,3,8,10,9,9,5,10
"Exam_1A_scores.csv",922613038,5,8,10,4.5,6,10,10
"Exam_1A_scores.csv",921168364,0,8,10,8,7,5,10
"Exam_1A_scores.csv",918058788,3,8,10,1,7.5,3,8.5
"Exam_1A_scores.csv",922547007,1,6,10,10,9,8,10
"Exam_1A_scores.csv",919897472,2,4,10,7.5,10,0,8.5
"Exam_1A_scores.csv",922219416,3,4,4,2,8,5,8.5
"Exam_1A_scores.csv",919677692,0,9,10,10,9,3,10
"Exam_1A_scores.csv",922008643,3,9,9,10,9,8,10
"Exam_1A_scores.csv",921147929,3,10,10,9.5,8.5,8,10
"Exam_1A_scores.csv",922110272,7,7,10,7,7,5,10
"Exam_1A_scores.csv",918226853,2,10,10,2.5,9,8,3
"Exam_1A_scores.csv",922296963,9,6,10,10,10,10,10
"Exam_1A_scores.csv",920816950,2,6,10,9,9,5,10
"Exam_1A_scores.csv",921791456,8,10,8,2.5,6,10,10
"Exam_1A_scores.csv",922810941,2,10,8,10,10,10,10
"Exam_1A_scores.csv",922292132,1,8,10,9,9.5,10,10
"Exam_1A_scores.csv",919060827,1,4,10,10,8.5,5,8.5
"Exam_1A_scores.csv",922421437,1,10,10,10,9,8,10
"Exam_1A_scores.csv",920997895,1,7,10,10,10,10,10
"Exam_1A_scores.csv",920082522,1,10,10,10,10,10,10
"Exam_1A_scores.csv",921034524,6,8,0,0,0,3,10
"Exam_1A_scores.csv",920559521,0,4,10,10,10,0,7
"Exam_1A_scores.csv",922420700,6,10,10,4.5,8.5,8,10
"Exam_1A_scores.csv",921803014,3,9.5,0,8.5,8,0,10
"Exam_1A_scores.csv",922511334,4,10,10,10,8.5,10,10
"Exam_1A_scores.csv",922725612,0,10,10,10,10,10,10
"Exam_1A_scores.csv",922761906,1,10,9,4,6.5,3,10
"Exam_1A_scores.csv",922160109,4,8,10,5,8,3,10
"Exam_1A_scores.csv",922720659,4,10,10,10,9.5,10,10
"Exam_1A_scores.csv",919665879,2,10,10,8.5,8.5,8,10
"Exam_1A_scores.csv",922319235,2,8,4,6,4,5,10
"Exam_1A_scores.csv",921877613,2,10,10,7.5,8,3,10
"Exam_1A_scores.csv",920581780,6,10,9,9.5,8.5,10,10
"Exam_1A_scores.csv",919883266,5,9,10,10,10,5,10
"Exam_1A_scores.csv",919305168,2,10,10,6,9,5,10
"Exam_1A_scores.csv",921674900,8,8,10,0,0,0,10
"Exam_1B_scores.csv",919649675,7,10,10,10,10,8,5.5
"Exam_1B_scores.csv",922711943,0,10,10,10,10,5,8.5
"Exam_1B_scores.csv",921726531,2,8,7,9,7,0,7
"Exam_1B_scores.csv",921826114,2,10,8,9,10,10,5.5
"Exam_1B_scores.csv",920680636,7,10,10,1,1,10,0
"Exam_1B_scores.csv",921161345,1,10,10,10,10,8,7
"Exam_1B_scores.csv",922217269,2,8,4,4,0,5,7
"Exam_1B_scores.csv",919505117,1,8,6,9.5,9,8,7
"Exam_1B_scores.csv",921096818,1,8,8,0,0,0,5.5
"Exam_1B_scores.csv",920926552,3,10,6,10,10,10,7
"Exam_1B_scores.csv",918645625,0,8,9,10,9.5,5,3
"Exam_1B_scores.csv",922053805,1,10,6,7,3.5,10,5.5
"Exam_1B_scores.csv",921274229,0,10,10,10,10,8,8.5
"Exam_1B_scores.csv",996793395,1,8,6,10,9.5,5,7
"Exam_1B_scores.csv",919487646,5,10,10,8,7.5,5,7
"Exam_1B_scores.csv",921828552,4,9,10,5,0,5,7
"Exam_1B_scores.csv",922302718,2,10,9,9,7,5,7
"Exam_1B_scores.csv",922729566,0,10,8,8.5,9,3,7
"Exam_1B_scores.csv",922659717,0,10,10,10,10,8,8.5
"Exam_1B_scores.csv",922151383,11,10,10,10,7.5,8,5.5
"Exam_1B_scores.csv",921899125,3,10,4,0,8.5,8,5.5
"Exam_1B_scores.csv",921746540,1,8,8,7.5,9.5,5,7
"Exam_1B_scores.csv",922131905,7,10,10,1,9,3,7
"Exam_1B_scores.csv",920587920,3,10,9,8,8,5,7
"Exam_1B_scores.csv",919701319,3,10,10,6,5,0,5.5
"Exam_1B_scores.csv",920672071,2,9,9,3,9,5,7
"Exam_1B_scores.csv",922638835,1,8,9,9,10,8,7
"Exam_1B_scores.csv",922062016,1,8,10,7,9,8,7
"Exam_1B_scores.csv",920460131,0,9,9,9,4.5,5,7
"Exam_1B_scores.csv",918553872,0,9,10,7,8,5,7
"Exam_1B_scores.csv",922906444,0,4,9,10,10,10,7
"Exam_1B_scores.csv",920983540,7,8,10,2.5,0,5,7
"Exam_1B_scores.csv",921395179,6,9,9,8.5,10,5,0
"Exam_1B_scores.csv",918499774,0,8,10,6,3,5,7
"Exam_1B_scores.csv",922091906,1,10,10,10,9,10,7
"Exam_1B_scores.csv",921779287,1,9,6,2,8.5,5,7
"Exam_1B_scores.csv",920621886,4,10,9,7,8,10,7
"Exam_1B_scores.csv",922703537,3,10,10,10,8,3,7
"Exam_1B_scores.csv",921887629,2,9,9,2.5,7.5,3,7
"Exam_1B_scores.csv",921133412,2,10,10,8,6.5,10,5.5
"Exam_1B_scores.csv",922366068,5,8,10,2,8,5,5.5
"Exam_1B_scores.csv",922774171,0,10,10,10,9.5,8,7
"Exam_1B_scores.csv",920771736,2,9,9,6,8,8,7
"Exam_1B_scores.csv",920829976,4,8,9,7,8,9,7
"Exam_1B_scores.csv",919233214,4,10,10,8,1.5,5,5.5
"Exam_1B_scores.csv",919309229,1,10,10,10,10,8,7
"Exam_1B_scores.csv",921859411,3,10,10,0,0,5,5.5
"Exam_1B_scores.csv",921980131,2,10,10,8.5,9.5,10,7
"Exam_1B_scores.csv",920453151,7,10,10,8,8,10,7
"Exam_1B_scores.csv",921850339,1,10,10,8,8.5,3,5.5
"Exam_1B_scores.csv",919475069,0,8,6,10,7.5,0,0
"Exam_1B_scores.csv",919484597,3,9,8,10,6.5,8,7
"Exam_1B_scores.csv",922000269,5,10,10,8.5,8.5,10,7
"Exam_1B_scores.csv",922086160,5,8,10,9,9,8,7
"Exam_1B_scores.csv",919948871,2,2,6,1,0,5,5.5
"Exam_1B_scores.csv",921936318,1,10,10,10,10,10,7
"Exam_1B_scores.csv",922270620,1,10,10,1,2,10,7
"Exam_1B_scores.csv",922314890,3,9,10,4,4,10,5.5
"Exam_1B_scores.csv",921681870,0,8,8,0,0,5,5.5
"Exam_1B_scores.csv",918227292,3,9,10,2,8,10,5.5
"Exam_1B_scores.csv",922159592,8,10,10,6,10,0,5.5
"Exam_1B_scores.csv",922075317,0,10,10,4,8.5,10,8.5
"Exam_1B_scores.csv",921108421,0,10,10,9,9.5,5,7
"Exam_1B_scores.csv",919902765,4,10,10,0,0,5,7
"Exam_1B_scores.csv",919186358,0,10,10,7.5,7,8,7
"Exam_1B_scores.csv",920919640,2,10,10,10,10,3,5.5
"Exam_1B_scores.csv",919695454,6,10,10,6,0,2.5,7
"Exam_1B_scores.csv",921992679,2,10,10,10,8,8,8.5
"Exam_1B_scores.csv",922198757,9,10,10,7.5,8,8,5.5
"Exam_1B_scores.csv",921939852,4,10,10,10,8,3,5.5
"Exam_1B_scores.csv",920105920,2,9,9,10,9,8,7
"Exam_1B_scores.csv",921993270,4,9,9,4.5,4.5,0,7
"Exam_1B_scores.csv",919407752,1,9,6,7.5,2,8,0
"Exam_1B_scores.csv",919870334,2,8,10,9.5,10,0,7
"Exam_1B_scores.csv",919858000,3,10,10,10,9,8,8.5
"Exam_1B_scores.csv",920544277,2,8,8,0,0,8,5.5
"Exam_1B_scores.csv",922588150,5,10,10,8,9.5,3,7
"Exam_1B_scores.csv",921939195,2,10,8,8,9,10,7
"Exam_1B_scores.csv",922199581,1,4,6,10,9,0,7
"Exam_1B_scores.csv",916864262,0,8,8,8,8,5,7
"Exam_1B_scores.csv",922273740,0,10,10,8,9,10,6.5
"Exam_1B_scores.csv",921889452,2,8,10,7,1.5,8,5.5
"Exam_1B_scores.csv",919505573,1,10,10,8,9,3,7
"Exam_1B_scores.csv",919933828,4,10,10,8,10,8,7
"Exam_1B_scores.csv",922567870,7,10,10,10,10,10,7
"Exam_1B_scores.csv",920985849,2,10,10,8,10,8,5.5
"Exam_1B_scores.csv",919284438,5,10,10,8,10,8,5.5
"Exam_1B_scores.csv",922388017,1,8,10,8.5,8,8,7
"Exam_1B_scores.csv",919223651,1,10,10,10,8.5,10,5.5
"Exam_1B_scores.csv",920513813,4,10,10,10,9,10,7
"Exam_1B_scores.csv",918614504,2,8,9,6.5,8,5,0
"Exam_1B_scores.csv",922219047,0,2,7,0,0,5,5.5
"Exam_1B_scores.csv",921206268,1,10,10,4,0.5,0,7
"Exam_1B_scores.csv",921083070,1,10,10,10,9,3,7
"Exam_1B_scores.csv",922188657,0,8,10,9,8,0,8.5
"Exam_1B_scores.csv",922393060,4,8,10,10,7.5,5,7
"Exam_1B_scores.csv",921813729,4,10,10,9,9,8,7
"Exam_1B_scores.csv",922612893,5,9,7,7,8,5,5.5
"Exam_1B_scores.csv",919527577,5,10,10,9,9,8,7
"Exam_1B_scores.csv",920584509,6,10,10,10,9,8,5.5
"Exam_1B_scores.csv",922549270,0,10,10,8,10,8,10
"Exam_1B_scores.csv",919150397,5,9,9,9,8.5,5,7
"Exam_1B_scores.csv",920940622,3,9,8,8.5,7.5,5,7
"Exam_1B_scores.csv",922509197,6,8,10,9,9,0,7
"Exam_1B_scores.csv",921085861,0,9,10,8,9,8,8.5
"Exam_1B_scores.csv",919522996,1,10,9,8,8.5,2.5,7
"Exam_1B_scores.csv",920968798,0,8,10,10,10,5,7
"Exam_1B_scores.csv",922074952,1,10,10,7.5,10,3,5.5
"Exam_1B_scores.csv",922484982,3,10,10,9,7.5,8,7
"Exam_1B_scores.csv",919716168,6,8,10,10,9,10,5.5
"Exam_1B_scores.csv",921408574,2,10,10,10,9,5,0
"Exam_1B_scores.csv",918684424,0,10,10,9,9,5,5.5
"Exam_1C_scores.csv",920976052,0,8,6,4,8,8,10
"Exam_1C_scores.csv",919215850,0,10,10,9,7.25,5,0
"Exam_1C_scores.csv",921958710,0,10,10,7,8,5,10
"Exam_1C_scores.csv",919997453,4,8,10,6,8,5,10
"Exam_1C_scores.csv",922041464,0,10,10,5.5,8,5,10
"Exam_1C_scores.csv",918856249,0,10,10,7,7.5,10,10
"Exam_1C_scores.csv",919336360,0,10,10,4.5,8,8,10
"Exam_1C_scores.csv",919653179,9,8,10,6,8,10,10
"Exam_1C_scores.csv",921320717,1,10,10,10,10,10,10
"Exam_1C_scores.csv",921673176,4,10,10,7,8,5,8.5
"Exam_1C_scores.csv",920479520,0,10,10,8,10,5,10
"Exam_1C_scores.csv",921237635,3,10,10,8,8,10,10
"Exam_1C_scores.csv",922413995,3,8,10,5,8,5,0
"Exam_1C_scores.csv",919562383,2,10,10,8,10,10,10
"Exam_1C_scores.csv",920685107,3,10,10,6,9.25,10,10
"Exam_1C_scores.csv",920526347,2,10,10,6,10,10,10
"Exam_1C_scores.csv",919702101,1,10,10,5,9.25,7.5,10
"Exam_1C_scores.csv",919563353,0,10,6,1,6,5,10
"Exam_1C_scores.csv",921322799,3,10,10,6,7.25,10,10
"Exam_1C_scores.csv",922119435,3,8,8,6.5,6,10,0
"Exam_1C_scores.csv",920645176,3,10,10,6,7.25,10,10
"Exam_1C_scores.csv",919943928,1,10,10,10,9.25,10,10
"Exam_1C_scores.csv",919182116,0,8,10,5,7.25,10,10
"Exam_1C_scores.csv",921111557,3,10,10,6,8,10,10
"Exam_1C_scores.csv",921376017,2,8,10,5,7.25,5,10
"Exam_1C_scores.csv",919241617,9,8,6,6,7.25,10,0
"Exam_1C_scores.csv",919864256,2,10,10,7,6.25,10,10
"Exam_1C_scores.csv",922396711,1,10,10,6,9.25,10,10
"Exam_1C_scores.csv",921923677,0,0,6,5,7.25,5,10
"Exam_1C_scores.csv",919768349,0,10,10,3,5.25,8,10
"Exam_1C_scores.csv",922381182,4,10,10,6,7.25,5,0
"Exam_1C_scores.csv",920775787,3,8,8,4,3,5,0
"Exam_1C_scores.csv",922760677,2,10,10,4,8,10,5
"Exam_1C_scores.csv",922566538,3,8,8,6,0,10,10
"Exam_1C_scores.csv",921088392,5,10,10,2,7,5,10
"Exam_1C_scores.csv",920707823,2,10,10,8,4.25,10,10
"Exam_1C_scores.csv",920581764,4,10,10,8,7.25,10,10
"Exam_1C_scores.csv",921313371,1,10,8,7,7.25,10,10
"Exam_1C_scores.csv",920716115,3,10,6,2,6.25,10,10
"Exam_1C_scores.csv",921451602,2,10,10,7,6.25,5,10
"Exam_1C_scores.csv",920787869,0,10,10,8,7.25,5,10
"Exam_1C_scores.csv",920542619,0,10,10,6,8,5,10
"Exam_1C_scores.csv",920899731,2,10,10,7,9.25,7.5,10
"Exam_1C_scores.csv",920645354,4,10,10,9,7.25,10,10
"Exam_1C_scores.csv",921850957,7,10,10,7,8,10,10
"Exam_1C_scores.csv",920071999,1,10,10,8,8,10,10
"Exam_1C_scores.csv",920660876,4,10,10,6,7,5,10
"Exam_1C_scores.csv",922184677,2,8,10,10,10,10,10
"Exam_1C_scores.csv",921882556,1,10,10,9,10,10,10
"Exam_1C_scores.csv",922010628,3,10,10,4,8,5,10
"Exam_1C_scores.csv",921677017,1,10,10,8,7.25,10,10
"Exam_1C_scores.csv",922465011,7,10,10,3,6.25,10,10
"Exam_1C_scores.csv",922371367,3,10,10,3,2,8,0
"Exam_1C_scores.csv",921494083,5,4,6,4,3,5,10
"Exam_1C_scores.csv",922758252,1,4,10,4,7.25,10,10
"Exam_1C_scores.csv",922664922,6,10,10,9,10,10,10
"Exam_1C_scores.csv",922390270,0,8,10,2,0,5,10
"Exam_1C_scores.csv",922206296,2,10,10,3,7.25,10,3
"Exam_1C_scores.csv",919378687,2,10,10,6,7.25,5,10
"Exam_1C_scores.csv",919161247,2,10,10,5,6.25,5,10
"Exam_1C_scores.csv",920727340,4,8,8,10,10,7.5,6.5
"Exam_1C_scores.csv",921929710,0,10,10,7,4,10,10
"Exam_1C_scores.csv",922542581,0,10,10,4,7.25,5,10
"Exam_1C_scores.csv",920931877,1,8,8,7,6.75,5,10
"Exam_1C_scores.csv",921931821,10,10,10,10,10,10,10
"Exam_1C_scores.csv",922380248,3,10,10,10,6,5,10
"Exam_1C_scores.csv",922418424,4,10,8,3,7.25,5,10
"Exam_1C_scores.csv",920417799,2,8,8,1,3,10,0
"Exam_1C_scores.csv",922437175,3,10,10,4,3,7.5,10
"Exam_1C_scores.csv",922143281,2,10,10,3,7.25,10,10
"Exam_1C_scores.csv",919875669,3,10,8,1,4,5,5
"Exam_1C_scores.csv",919195255,3,10,10,2,4,10,3
"Exam_1C_scores.csv",920499610,0,10,10,3,8,8,10
"Exam_1C_scores.csv",920501430,1,10,8,1,8,5,10
"Exam_1C_scores.csv",918652647,0,0,10,2,6.25,5,10
"Exam_1C_scores.csv",919427114,4,10,10,9,9.25,10,10
"Exam_1C_scores.csv",921121657,8,10,10,8,4,5,10
"Exam_1C_scores.csv",921144511,0,10,10,7,10,10,10
"Exam_1C_scores.csv",921452533,3,10,8,8,7.25,10,10
"Exam_1C_scores.csv",921759074,1,10,10,9,7.25,10,10
"Exam_1C_scores.csv",922697517,0,8,8,1,7.25,10,0
"Exam_1C_scores.csv",919905908,7,10,6,3,0,10,10
"Exam_1C_scores.csv",921747112,1,10,10,5,7.25,10,10
"Exam_1C_scores.csv",920691735,1,10,10,4,5,5,10
"Exam_1C_scores.csv",922014365,1,10,10,7,2,5,10
"Exam_1C_scores.csv",920055106,1,10,10,3,4.25,10,10
"Exam_1C_scores.csv",921943660,5,8,8,8,7.25,10,10
"Exam_1C_scores.csv",920894707,3,10,8,4,7,10,10
"Exam_1C_scores.csv",922550007,3,10,10,5,7.25,10,10
"Exam_1C_scores.csv",919614370,1,10,10,6,6,5,10
"Exam_1C_scores.csv",921014023,3,10,10,9,7.25,10,10
"Exam_1C_scores.csv",922400814,1,10,10,6,7.25,10,3
"Exam_1C_scores.csv",922355396,3,10,10,9,8,5,10
"Exam_1C_scores.csv",921081425,4,10,10,6,7.25,10,10
"Exam_1C_scores.csv",920432473,2,10,10,6,8,10,10
"Exam_1C_scores.csv",921944643,13,10,10,6,7.25,10,10
"Exam_1C_scores.csv",922806191,0,10,10,4,7.25,10,10
"Exam_1C_scores.csv",922590821,1,10,10,7,7.25,10,10
"Exam_1C_scores.csv",920730191,3,10,10,2,6,8,7
"Exam_1C_scores.csv",921262561,10,10,10,8,5,10,10
"Exam_1C_scores.csv",922117796,0,10,8,5,5.25,5,10
"Exam_1C_scores.csv",919766930,0,10,8,2,2,5,5.5
"Exam_1C_scores.csv",922680906,3,10,10,8.5,7.25,10,10
"Exam_1C_scores.csv",922048056,4,10,8,8,10,10,10
"Exam_1C_scores.csv",922374241,2,8,8,5,4,10,3
"Exam_1C_scores.csv",921942771,7,10,6,7,7.25,7.5,10
"Exam_1C_scores.csv",918641946,1,8,10,2,2,5,10
"Exam_1C_scores.csv",919458701,4,10,10,3,7.25,10,10
"Exam_1C_scores.csv",922133754,3,8,6,3,3,5,10
"Exam_1C_scores.csv",921982621,1,10,10,5,3,10,10
"Exam_1C_scores.csv",921155487,6,10,10,4,3,5,10
"Exam_1C_scores.csv",922398489,9,10,10,7,6,5,10
"Exam_1C_scores.csv",919837924,0,8,8,5,4,5,10
"Exam_1C_scores.csv",920779686,4,10,10,8,10,5,10
"Exam_1C_scores.csv",921356817,2,10,6,10,10,5,10
"Exam_1C_scores.csv",921881984,1,10,10,2,7.25,5,10
"Exam_1C_scores.csv",921769938,6,10,10,5,7.25,10,10
"Exam_1D_scores.csv",920841433,6,10,10,9,10,10,10
"Exam_1D_scores.csv",922330777,4,8,10,10,10,10,10
"Exam_1D_scores.csv",922651058,4,10,10,10,8,5,10
"Exam_1D_scores.csv",922496378,3,8,8,6,10,5,10
"Exam_1D_scores.csv",921094234,1,10,10,10,3,10,10
"Exam_1D_scores.csv",921011217,0,8,10,3,6,5,10
"Exam_1D_scores.csv",921169680,2,10,10,10,10,10,10
"Exam_1D_scores.csv",920724592,17,8,8,10,10,8,10
"Exam_1D_scores.csv",921910017,3,10,10,10,10,10,10
"Exam_1D_scores.csv",919428171,4,10,10,10,6,10,10
"Exam_1D_scores.csv",920777808,6,8,8,5,5,10,10
"Exam_1D_scores.csv",922049686,2,10,10,10,10,10,10
"Exam_1D_scores.csv",920770397,0,10,10,10,10,5,10
"Exam_1D_scores.csv",922075799,3,10,10,10,10,10,10
"Exam_1D_scores.csv",921793917,1,10,10,10,7,10,10
"Exam_1D_scores.csv",922640483,10,10,10,0,2,5,10
"Exam_1D_scores.csv",919315323,2,10,10,10,10,10,10
"Exam_1D_scores.csv",922658048,5,8,8,10,10,5,10
"Exam_1D_scores.csv",922264267,7,10,10,10,10,5,10
"Exam_1D_scores.csv",921180009,3,10,8,10,3,5,10
"Exam_1D_scores.csv",921920861,1,10,10,10,5.25,8,10
"Exam_1D_scores.csv",922360792,1,4,7,3,4.25,0,10
"Exam_1D_scores.csv",920960385,1,10,10,10,10,5,10
"Exam_1D_scores.csv",916378839,0,10,10,10,10,10,10
"Exam_1D_scores.csv",921972055,3,10,10,10,10,5,10
"Exam_1D_scores.csv",920579132,2,8,10,9,10,8,10
"Exam_1D_scores.csv",922475687,0,10,10,10,10,5,10
"Exam_1D_scores.csv",920795958,1,10,10,10,10,10,10
"Exam_1D_scores.csv",922509692,4,10,10,4,10,5,10
"Exam_1D_scores.csv",921229054,3,8,10,5,10,10,10
"Exam_1D_scores.csv",920548998,1,10,10,6,6.25,10,10
"Exam_1D_scores.csv",922068696,5,10,10,10,10,10,10
"Exam_1D_scores.csv",922198155,2,10,10,10,10,5,10
"Exam_1D_scores.csv",921286916,0,10,10,10,10,7.5,10
"Exam_1D_scores.csv",922713970,1,10,10,10,10,5,10
"Exam_1D_scores.csv",921295981,1,8,8,3,6,5,3
"Exam_1D_scores.csv",921650555,6,10,10,10,10,5,10
"Exam_1D_scores.csv",920767559,3,8,10,10,10,5,10
"Exam_1D_scores.csv",920516140,2,10,10,10,10,8,10
"Exam_1D_scores.csv",921160650,4,4,10,10,10,10,10
"Exam_1D_scores.csv",921149396,4,10,10,5,10,5,10
"Exam_1D_scores.csv",922513413,4,10,10,3,9,10,10
"Exam_1D_scores.csv",919279948,0,10,10,8,10,10,10
"Exam_1D_scores.csv",921305855,0,10,10,4,4,0,10
"Exam_1D_scores.csv",922503151,0,10,10,4,10,8,10
"Exam_1D_scores.csv",920964637,2,8,10,10,10,5,10
"Exam_1D_scores.csv",920866780,1,10,10,10,10,5,10
"Exam_1D_scores.csv",919663253,4,10,10,10,10,10,10
"Exam_1D_scores.csv",920596717,2,10,10,10,5.25,10,10
"Exam_1D_scores.csv",919953950,1,10,10,10,10,10,10
"Exam_1D_scores.csv",921284112,2,10,10,10,10,10,10
"Exam_1D_scores.csv",922017427,5,8,8,9,10,10,10
"Exam_1D_scores.csv",919246874,10,10,10,7,10,10,0
"Exam_1D_scores.csv",921890946,1,10,10,10,5.25,5,3
"Exam_1D_scores.csv",922607471,0,8,10,10,4.25,10,10
"Exam_1D_scores.csv",920595190,2,10,10,10,10,10,10
"Exam_1D_scores.csv",919509935,4,10,10,10,10,10,10
"Exam_1D_scores.csv",921881450,0,10,10,10,10,10,10
