"SID","attempt","consent","age","year","gender","int","first_language","academic_exp","eng_level","ethnicity","f_edu","m_edu","p_relation","financial","program","pell_grant","minutes","hours","transfer","first_gen"
921881450,1,1,18,1,2,1,0,"100",6,3,4,4,3,7,0,0,"330","24",0,"0"
921759074,1,1,21,3,2,1,0,"100",6,3,1,4,0,3,3,1,"180","24",1,"0"
919901753,1,1,20,3,3,1,0,"100",6,4,5,5,3,7,1,2,"70","3",0,"0"
922377701,1,1,18,1,3,1,0,"92",6,4,4,5,3,6,0,0,"120","8",0,"0"
919393060,1,1,20,3,1,1,0,"100",6,1,1,1,NA,5,1,1,"120","2",1,"1"
922143281,1,1,18,1,1,1,1,"95",6,5,2,1,0,5,3,1,"360","20",0,"1"
922250365,1,1,18,1,2,0,1,"10",2,4,5,5,3,7,0,0,"60","270",0,"0"
920548998,1,1,19,2,2,1,0,"95",6,4,5,4,3,7,0,0,"100","4",0,"0"
918553872,1,1,21,4,2,1,1,"100",5,4,4,4,3,5,1,0,"300","5",0,"0"
921173760,1,1,19,2,2,1,0,"100",6,3,4,5,3,7,0,2,"120","7.3",0,"0"
922511334,1,1,18,1,2,1,1,"38",5,4,4,4,0,7,1,2,"180","21",0,"0"
919716168,1,1,20,3,2,1,1,"98",6,5,2,2,3,3,3,1,"300","30",1,"1"
922549270,1,1,19,1,1,1,0,"90",5,9,5,4,3,6,0,2,"45","25",0,"0"
920504806,1,1,19,2,3,1,0,"97",6,3,3,3,3,7,1,0,"90","20",0,"1"
921944643,1,1,18,1,2,0,1,"5",4,4,3,3,1,7,0,0,"300","30",0,"1"
920704981,1,1,20,2,1,1,1,"100",6,5,3,2,NA,5,3,1,"120","21",0,"1"
922206296,1,1,18,1,2,1,0,"100",5,3,5,5,0,6,0,0,"100","2",0,"0"
922355396,1,1,18,1,2,1,1,"80",6,5,1,3,3,6,3,1,"240","5",0,"1"
922232901,1,1,18,1,2,0,1,"5",5,4,4,4,3,7,1,0,"60","10",0,"0"
919896541,1,1,20,3,2,1,0,"100",4,4,5,4,3,3,3,1,"120","2.33",0,"0"
918614504,1,1,22,4,2,1,1,"95",6,5,2,2,NA,7,3,NA,"180","12",0,"1"
922711943,1,1,18,1,1,1,1,"95",6,3,5,4,3,7,0,0,"60","21",0,"0"
920803756,1,1,19,2,2,1,1,"100",6,5,1,1,0,1,3,1,"120","14",0,"1"
922760677,1,1,20,3,2,1,1,"90",6,5,1,1,3,3,3,1,"240","15",1,"1"
922009558,1,1,18,1,2,1,0,"100",6,0,3,5,NA,5,1,0,"240","14",0,"0"
922014022,1,1,18,1,1,1,0,"100",6,4,3,1,3,7,0,1,"120","6",0,"1"
920542619,1,1,20,2,2,1,0,"90",6,3,1,1,0,2,3,1,"45","8",0,"1"
922729566,1,1,27,3,NA,NA,0,"100",6,3,3,3,0,1,1,1,"60","12",1,"1"
919898992,1,1,21,3,1,1,0,"95",6,4,5,5,3,3,3,1,"80","3",0,"0"
921147929,1,1,21,2,1,0,1,"75",4,4,5,4,3,7,0,1,"150","33",0,"0"
920983540,1,1,19,2,2,1,0,"98",6,5,3,4,0,6,3,0,"20","27",0,"0"
919653179,1,1,20,3,2,1,0,"100",6,3,4,4,3,NA,0,1,"4","41",0,"0"
922437175,1,1,18,1,2,1,1,"80",5,5,2,0,3,1,3,1,"90","5.47",0,"1"
921305855,1,1,19,2,2,1,0,"100",6,4,4,4,3,7,0,0,"360","15",0,"0"
921376017,1,1,19,2,2,1,0,"100",6,3,5,5,3,7,0,0,"60","16",0,"0"
920460131,1,1,19,2,2,1,0,"100",6,3,4,4,3,7,0,2,"60","20",0,"0"
919768349,1,1,20,3,2,1,1,"90",3,5,NA,0,3,2,3,1,"240","7",0,"1"
999365775,1,1,28,2,2,1,1,"100",4,9,2,2,1,NA,2,0,"120","7",1,"1"
920904370,1,1,19,2,2,1,0,"90",6,0,3,3,NA,3,3,1,"30","25",0,"1"
922353796,1,1,18,1,1,1,0,"100",6,3,5,5,3,7,0,0,"90","14",0,"0"
921859411,1,1,19,1,2,1,0,"99.9",6,3,3,3,1,7,2,1,"180","15",0,"1"
922751385,1,1,22,3,2,1,0,"100",6,4,2,2,NA,1,3,1,"240","9",1,"1"
922074952,1,1,19,1,2,0,1,"70",6,4,4,1,3,7,0,0,"180","10",0,"1"
920925281,1,1,20,2,1,1,0,"70",6,3,4,5,3,7,0,0,"120","30",0,"0"
921313371,1,1,19,2,2,1,0,"90",4,3,1,3,3,6,1,0,"80","45",0,"1"
922184677,1,1,18,1,2,1,1,"100",6,4,1,3,3,6,1,0,"300","30",0,"1"
921322799,1,1,20,2,NA,1,0,"100",4,4,4,4,0,NA,0,0,"210","4",0,"0"
919475069,1,1,20,3,1,1,0,"90",6,4,1,4,3,6,3,1,"300","14.5",0,"0"
921011217,1,1,19,2,2,1,0,"99",6,9,5,4,0,6,0,0,"360","35",0,"0"
920055106,1,1,20,3,2,1,0,"95",6,4,NA,NA,3,6,3,2,"60","40",0,NA
919522996,1,1,20,3,1,1,0,"100",6,4,NA,NA,0,2,3,1,"60","10",0,NA
921034524,1,1,20,2,1,1,0,"100",6,9,4,5,3,7,0,0,"240","4",0,"0"
920990669,1,1,19,2,1,1,1,"99",6,5,2,2,NA,3,3,1,"60","15",0,"1"
922400814,1,1,18,1,2,1,0,"100",5,4,3,3,3,6,3,1,"300","15",0,"1"
921085861,1,1,19,1,1,1,1,"100",6,4,5,5,3,7,0,0,"300","40",0,"0"
921079835,1,1,20,2,1,1,0,"100",6,4,5,4,3,6,0,0,"120","4",0,"0"
921803014,1,1,18,1,3,1,0,"95",5,4,1,3,3,7,3,1,"320","16",0,"1"
919265240,1,1,20,3,2,1,0,"90",6,4,3,5,3,7,0,0,"120","30",0,"0"
920931877,1,1,19,2,2,1,0,"100",5,9,5,5,3,5,0,0,"60","120",0,"0"
921899125,1,1,19,1,1,1,0,"100",6,5,2,2,0,3,3,1,"30","12",0,"1"
919883266,1,1,20,3,2,1,1,"98",6,4,2,3,3,7,1,0,"180","28",0,"1"
921111557,1,1,19,2,2,1,0,"90",6,3,4,4,3,6,0,0,"120","15",0,"0"
922680906,1,1,19,1,2,1,0,"95",6,3,1,4,0,3,3,1,"120","16",0,"0"
921887234,1,1,18,1,1,1,1,"90",6,5,2,1,3,2,3,1,"80","35",0,"1"
921991201,1,1,18,1,2,1,0,"100",6,4,5,5,3,7,0,0,"120","2",0,"0"
920513813,1,1,19,2,1,1,0,"100",6,3,NA,5,1,6,0,0,"180","17",0,"0"
922659717,1,1,18,1,2,1,0,"90",6,4,5,5,3,NA,0,0,"180","20",0,"0"
921186058,1,1,19,2,2,0,1,"20",5,4,4,4,3,7,1,0,"60","24",0,"0"
922075317,1,1,18,1,1,1,0,"70",6,4,5,3,3,7,0,0,"130","14",0,"1"
920985849,1,1,19,2,2,1,1,"100",6,9,3,5,3,6,3,0,"120","40",0,"0"
921931821,1,1,18,1,2,1,0,"90",6,4,5,5,3,7,0,0,"300","3",0,"0"
922264267,1,1,19,1,1,0,1,"50",6,4,5,4,3,7,0,0,"180","27",0,"0"
920071999,1,1,20,3,1,0,1,"50",6,9,5,4,0,7,1,2,"10","10",0,"0"
921160650,1,1,18,2,2,1,0,"100",6,4,4,4,3,7,0,0,"240","12",0,"0"
920924952,1,1,19,2,1,1,0,"95",6,3,5,5,0,2,2,1,"10","10",0,"0"
920624948,1,1,20,2,1,1,0,"100",6,4,3,3,3,6,0,0,"180","7",0,"1"
922160109,1,1,18,1,1,1,0,"80",6,3,4,4,3,3,3,1,"300","30",0,"0"
920727340,1,1,19,2,2,1,0,"100",6,4,3,5,3,6,0,0,"60","4.5",0,"0"
919509935,1,1,20,3,2,1,1,"70",6,9,5,5,3,6,0,1,"200","64",0,"0"
921678058,1,1,18,1,2,1,0,"95",6,3,4,4,3,7,0,0,"100","15",0,"0"
921169680,1,1,19,2,1,1,0,"95",5,9,5,5,3,7,0,0,"60","25",0,"0"
918851859,1,1,22,4,1,1,1,"100",6,4,5,5,3,6,0,0,"180","9",0,"0"
919875669,1,1,20,3,1,1,0,"95",4,4,5,4,3,6,0,0,"60","6",0,"0"
922761906,1,1,21,3,2,1,0,"100",4,1,5,4,3,7,1,1,"120","4.33",1,"0"
922509692,1,1,18,1,2,1,0,"100",6,4,5,NA,3,7,0,0,"60","7",0,"0"
921809623,1,1,18,1,2,1,1,"100",4,5,2,2,3,7,3,1,"120","38.5",0,"1"
918227292,1,1,21,4,2,1,0,"90",6,4,1,4,3,5,3,1,"90","10",0,"0"
919647114,1,1,21,3,1,0,1,"40",3,8,5,4,3,7,1,2,"120","20",0,"0"
922219416,1,1,18,1,2,1,1,"100",6,5,3,3,3,4,3,1,"90","2.2",0,"1"
921860594,1,1,19,1,2,1,1,"100",6,5,1,2,3,5,3,2,"90","28",0,"1"
922198155,1,1,18,1,2,1,0,"95",6,9,5,5,3,7,0,0,"100","15",0,"0"
922201259,1,1,18,1,3,1,0,"90",6,0,5,2,NA,6,0,0,"150","21",0,"1"
921923677,1,1,24,1,2,1,1,"90",6,5,3,4,3,6,3,2,"180","13.5",0,"0"
922758252,1,1,22,3,2,1,0,"98",6,3,4,4,0,5,2,1,"120","12",1,"0"
922748055,1,1,20,3,1,1,1,"95",6,5,2,2,3,5,3,1,"120","18",1,"1"
919975585,1,1,20,3,1,1,1,"100",6,5,1,1,3,4,3,2,"5","40",0,"1"
921788278,1,1,18,1,1,1,0,"95",6,3,4,4,3,7,0,0,"60","4",0,"0"
919223651,1,1,20,3,2,1,0,"98",6,3,1,3,0,4,3,1,"240","7",0,"1"
922697517,1,1,18,1,1,1,0,"100",5,4,5,5,3,7,1,2,"80","3",0,"0"
920581764,1,1,20,2,2,1,1,"80",5,4,NA,3,0,7,0,0,"470","4",0,"1"
921320717,1,1,19,2,2,1,0,"100",6,1,4,4,0,7,1,0,"60","3",0,"0"
919246874,1,1,21,3,2,1,0,"100",6,5,0,1,NA,1,3,1,"420","10",0,"1"
922454763,1,1,18,1,1,1,1,"60",6,4,4,4,3,7,0,0,"120","40",0,"0"
919407752,1,1,20,3,2,1,1,"90",6,5,2,2,3,4,2,1,"160","15",0,"1"
921180009,1,1,20,2,1,0,1,"100",4,4,5,5,NA,6,0,0,"180","21",0,"0"
919987780,1,1,20,3,2,1,1,"100",6,9,5,5,3,7,0,0,"120","4",0,"0"
922542581,1,1,18,1,3,1,0,"95",6,5,3,4,NA,6,1,1,"180","24.5",0,"0"
921096818,1,1,18,2,3,1,1,"100",6,9,4,4,3,7,0,0,"420","49",0,"0"
919161247,1,1,20,3,1,1,0,"95",6,3,3,4,3,6,0,0,"90","1",1,"0"
920724592,1,1,21,2,1,0,1,"55",5,4,5,4,3,7,0,0,"240","40",0,"0"
920940622,1,1,20,2,2,0,1,"40",4,4,2,2,3,7,2,2,"300","14",0,"1"
921942771,1,1,20,1,2,0,1,"80",5,4,4,4,3,7,0,0,"180","16",0,"0"
921451602,1,1,23,3,1,1,0,"100",6,3,4,4,3,6,1,0,"60","35",1,"0"
921958710,1,1,19,1,2,1,0,"100",6,5,3,3,0,3,3,1,"120","20",0,"1"
920004937,1,1,21,3,2,1,1,"100",6,4,1,1,3,3,3,1,"120","14",0,"1"
922000269,1,1,18,1,2,1,0,"85",6,4,4,5,3,7,0,0,"120","56",0,"0"
921473321,1,1,21,3,2,1,1,"100",6,4,NA,5,0,6,3,2,"60","35",1,"0"
920894707,1,1,19,2,2,0,1,"90",0,4,NA,NA,0,7,0,0,"240","7",0,NA
922010628,1,1,18,1,2,1,0,"100",6,4,4,3,3,6,2,2,"90","10",0,"1"
919305168,1,1,21,3,2,1,1,"100",6,5,5,4,3,7,0,0,"100","28",0,"0"
921096287,1,1,19,2,2,1,1,"90",5,4,NA,2,1,1,3,1,"90","9",0,"1"
921939195,1,1,19,1,2,0,1,"40",6,4,4,5,3,7,0,0,"3","3",0,"0"
921982621,1,1,20,1,2,0,1,"30",3,4,5,5,3,7,0,1,"60","14",0,"0"
918652647,1,1,21,3,2,1,0,"100",6,5,NA,NA,3,6,0,0,"300","28",0,NA
920680636,1,1,19,2,2,1,1,"100",5,5,NA,NA,3,5,2,1,"120","23",0,NA
921673176,1,1,17,1,2,1,1,"90",6,9,3,3,3,7,2,1,"180","10",0,"1"
920628957,1,1,19,2,1,1,0,"100",6,3,5,5,3,7,1,0,"60","12",0,"0"
919427114,1,1,20,3,2,1,1,"90",6,5,2,2,3,6,3,1,"120","10",1,"1"
921929710,1,1,21,3,1,1,0,"100",6,9,5,5,0,7,1,2,"360","4",1,"0"
921993270,1,1,18,1,1,1,0,"100",6,4,4,3,3,7,0,2,"80","12",0,"1"
919860234,1,1,21,3,2,1,0,"100",6,NA,3,4,0,4,3,1,"60","25",1,"0"
921149396,1,1,19,2,1,1,1,"100",6,4,2,2,3,5,3,1,"600","6",0,"1"
922651058,1,1,18,1,2,1,0,"100",6,5,2,1,3,7,0,0,"180","6",0,"1"
922664922,1,1,19,1,2,1,0,"80",4,4,5,4,3,7,0,0,"90","10",0,"0"
922635388,1,1,18,1,2,1,1,"90",5,4,NA,1,3,7,1,1,"300","8",0,"1"
920725973,1,1,19,2,2,1,NA,"100",6,0,5,5,3,7,1,1,"30","2",0,"0"
922648621,1,1,18,1,1,1,1,"70",5,5,2,1,3,1,3,1,"60","30",0,"1"
922596401,1,1,18,1,2,1,1,"85",5,5,0,0,3,3,3,1,"150","6",0,"1"
918226853,1,1,23,4,2,0,1,"26",4,8,3,3,3,7,0,0,"180","8",0,"1"
922068696,1,1,19,1,1,0,1,"30",4,4,4,4,NA,7,1,2,"60","20",0,"0"
921041258,1,1,19,2,2,1,0,"90",6,5,3,1,0,7,3,1,"180","19",0,"1"
918856249,1,1,21,4,1,1,1,"100",5,5,4,3,3,4,0,0,"240","6",0,"1"
920810341,1,1,19,2,2,1,1,"100",6,9,5,5,3,7,1,0,"140","7",0,"0"
920223433,1,1,20,3,1,1,0,"100",4,3,4,4,3,5,1,1,"120","20",0,"0"
922550007,1,1,18,1,2,1,0,"70",6,1,4,5,3,NA,NA,NA,"360","8",0,"0"
922420700,1,1,27,3,2,1,0,"100",4,3,1,3,NA,2,1,1,"45","10",1,"1"
921121657,1,1,19,2,1,1,0,"90",6,4,5,5,3,6,2,0,"60","10",0,"0"
922315394,1,1,18,1,1,1,0,"100",6,3,NA,1,0,5,0,0,"60","8",0,"1"
922254183,1,1,19,1,2,1,1,"40",5,1,1,3,NA,2,3,1,"200","35",0,"1"
921096850,1,1,20,2,2,1,1,"100",4,4,4,5,3,6,3,0,"360","4",0,"0"
919660023,1,1,20,3,1,0,1,"80",6,4,4,4,3,7,0,0,"30","3",0,"0"
919458701,1,1,21,3,2,0,1,"70",4,4,2,3,3,7,1,2,"120","2.5",0,"1"
918499774,1,1,22,4,1,0,1,"7",4,4,1,1,3,7,0,0,"100","7",0,"1"
922091906,1,1,23,3,1,1,0,"100",6,0,3,5,NA,2,0,1,"120","30",1,"0"
921229054,1,1,20,1,2,1,0,"100",6,4,4,4,0,7,0,0,"300","4",0,"0"
921286916,1,1,19,2,2,1,1,"30",6,5,NA,3,NA,6,1,1,"120","24",0,"1"
922347139,1,1,19,1,2,1,0,"100",6,9,1,4,3,7,3,1,"180","9",0,"0"
922389278,1,1,18,1,2,1,1,"100",6,4,3,3,3,7,3,0,"30","3",0,"1"
921295981,1,1,19,2,2,1,0,"95",6,5,2,1,NA,3,3,0,"300","25",0,"1"
919552746,1,1,20,3,2,0,1,"90",1,4,3,5,3,7,1,NA,"30","10.33",0,"0"
921057967,1,1,19,2,1,1,0,"100",6,9,3,3,3,7,0,0,"80","27",0,"1"
922330777,1,1,18,1,2,NA,NA,"100",6,9,4,4,3,7,0,0,"65","9",0,"0"
922374241,1,1,18,1,2,0,1,"70",4,9,4,4,3,7,0,0,"200","11",0,"0"
919315323,1,1,21,3,1,1,0,"100",6,4,NA,1,NA,NA,0,NA,"390","2",0,"1"
922049686,1,1,18,1,1,1,0,"100",6,3,4,4,0,7,2,2,"200","7",0,"0"
919997453,1,1,20,3,1,1,0,"100",6,5,1,1,NA,NA,3,1,"180","1.3",0,"1"
919336360,1,1,20,3,2,1,0,"100",6,9,3,5,3,7,0,0,"100","40",0,"0"
922613038,1,1,18,1,2,1,0,"90",5,6,4,4,3,7,0,0,"120","20",0,"0"
921103769,1,1,19,2,1,1,0,"100",5,4,4,4,3,4,1,2,"80","21",1,"0"
919215850,1,1,20,3,2,1,0,"100",6,4,NA,3,3,3,3,1,"200","6",0,"1"
919571497,1,1,20,3,2,1,1,"100",6,5,2,2,NA,7,3,1,"300","5",0,"1"
922048056,1,1,19,1,2,0,1,"30",3,4,4,4,3,7,0,0,"120","8",0,"0"
921681870,1,1,18,1,2,1,0,"100",4,3,4,3,3,7,0,2,"376","5",0,"1"
921206268,1,1,19,2,1,0,1,"60",5,4,4,4,3,7,0,0,"200","21",0,"0"
916566421,1,1,23,4,2,1,0,"100",4,4,4,4,3,7,0,2,"120","30",0,"0"
919226768,1,1,20,3,2,1,0,"80",6,3,5,5,0,7,0,0,"120","30",0,"0"
920775787,1,1,19,2,2,1,0,"100",6,4,4,4,3,6,0,0,"180","28",0,"0"
920829976,1,1,19,2,2,1,1,"90",6,9,4,3,3,7,0,0,"100","30",0,"1"
920587140,1,1,19,2,2,1,0,"100",6,3,4,4,0,7,0,0,"90","2.5",0,"0"
919399019,1,1,21,3,2,1,0,"100",6,3,1,5,0,7,0,0,"180","3",0,"0"
920661765,1,1,19,2,2,1,1,"75",5,5,2,2,NA,6,3,1,"240","12",0,"1"
922418424,1,1,24,3,1,1,0,"99",5,3,5,5,0,4,0,1,"15","25",1,"0"
922513976,1,1,18,1,1,1,1,"98",6,5,0,2,0,2,3,1,"240","6",0,"1"
921139555,1,1,19,2,2,1,0,"100",6,4,5,5,3,6,0,2,"60","3",0,"0"
922381182,1,1,18,1,2,1,0,"100",5,5,NA,NA,NA,7,3,1,"360","84",0,NA
921890946,1,1,18,1,NA,1,1,"80",NA,1,2,2,3,2,3,1,"300","20",0,"1"
920795958,1,1,19,2,1,1,0,"100",5,9,1,1,3,4,2,0,"240","7.5",0,"1"
922457443,1,1,18,1,1,0,1,"50",3,4,3,5,3,7,1,2,"120","4",0,"0"
921014023,1,1,20,2,2,1,0,"100",6,4,NA,1,1,6,1,1,"70","25",0,"1"
922638835,1,1,18,1,NA,0,1,"50",5,4,5,4,3,7,0,0,"3","8.5",0,"0"
922202290,1,1,18,1,2,1,1,"100",5,4,3,3,3,NA,3,1,"180","24",1,"1"
921980131,1,1,20,3,2,1,0,"100",5,4,3,1,3,7,0,0,"120","21",1,"1"
919215229,1,1,20,2,2,1,0,"90",6,1,5,4,3,7,1,2,"120","10",0,"0"
919060827,1,1,22,4,1,0,1,"70",3,3,1,3,3,4,NA,NA,"120","1.3",0,"1"
922017427,1,1,20,1,2,0,1,"50",5,4,1,1,3,7,0,2,"300","13.4",0,"1"
922026418,1,1,19,1,1,1,1,"100",5,5,NA,NA,3,2,0,1,"120","7.5",0,NA
921903778,1,1,22,3,2,1,0,"0",6,0,NA,1,3,7,0,2,"180","15",1,"1"
922296963,1,1,19,1,2,0,1,"32.5",3,4,1,2,3,7,1,0,"180","18",0,"1"
919562383,1,1,20,3,1,0,1,"50",4,6,4,4,NA,5,0,0,"60","25",0,"0"
918405988,1,1,29,3,3,1,0,"100",6,5,NA,1,0,1,1,1,"120","30",1,"1"
920621886,1,1,19,2,2,1,1,"95",4,5,2,1,3,3,3,1,"60","15",0,"1"
921108421,1,1,20,2,1,1,1,"70",0,4,2,0,NA,7,1,1,"1,440","7",0,"1"
921813729,1,1,18,1,2,1,0,"100",6,4,5,5,3,7,0,0,"90","36",0,"0"
922075799,1,1,18,1,NA,1,1,"60",6,4,4,4,3,7,1,0,"300","14",0,"0"
920587920,1,1,19,2,1,1,1,"97",5,5,2,2,3,4,3,1,"138","14",0,"1"
922566538,1,1,18,1,2,1,0,"95",6,0,1,3,3,7,3,0,"210","21",0,"1"
921155487,1,1,19,2,2,0,1,"30",3,4,3,3,3,7,0,0,"120","6",0,"1"
922332791,1,1,19,1,2,0,1,"80",5,4,1,1,NA,7,0,0,"180","7",0,"1"
919897472,1,1,20,3,2,1,1,"100",6,5,3,3,3,4,3,1,"60","25",0,"1"
921353807,1,1,20,2,2,1,1,"98",6,5,2,2,3,6,3,1,"60","12",0,"1"
918684424,1,1,21,4,2,0,1,"90",6,4,4,4,3,7,0,0,"120","25",0,"0"
920816950,1,1,21,2,2,0,1,"35",3,4,4,5,3,7,1,0,"240","30",0,"0"
922224168,1,1,18,1,2,0,1,"30",3,4,5,4,3,7,0,0,"40","24",0,"0"
919837924,1,1,28,4,1,0,1,"99",6,4,4,5,3,7,0,1,"60","133",1,"0"
922302718,1,1,18,1,2,1,0,"90",6,3,5,5,3,7,0,0,"500","4",0,"0"
920440054,1,1,20,2,1,1,0,"90",6,3,NA,3,1,7,1,0,"120","6",0,"1"
920417799,1,1,19,2,2,1,0,"100",6,4,3,3,3,6,1,2,"60","120",0,"1"
919953950,1,1,21,3,1,1,0,"90",6,5,2,4,3,6,0,0,"137","20.13",0,"0"
922774171,1,1,17,1,3,1,0,"100",6,9,NA,5,0,7,1,2,"300","4",0,"0"
920767559,1,1,20,2,2,1,0,"100",4,4,1,3,3,6,1,2,"60","8",0,"1"
920777808,1,1,19,2,2,1,0,"100",6,3,3,1,3,6,3,1,"240","8",0,"1"
918510297,1,1,22,4,1,1,1,"80",5,5,NA,2,NA,6,3,2,"300","15",0,"1"
922395673,1,1,19,1,2,1,0,"100",4,3,1,4,NA,7,3,1,"180","28",0,"0"
922547007,1,1,18,1,2,1,1,"75",4,5,2,2,3,3,3,1,"120","9",0,"1"
922198757,1,1,19,1,2,0,0,"90",5,6,4,4,3,7,0,0,"100","36",0,"0"
921746540,1,1,19,1,2,1,0,"100",6,5,5,1,0,5,3,1,"300","5",0,"1"
922640483,1,1,18,1,1,1,1,"100",5,5,3,2,1,2,3,1,"60","7",0,"1"
922527904,1,1,18,1,2,1,1,"95",6,5,3,1,3,7,1,2,"60","3.5",0,"1"
922380248,1,1,18,1,2,1,1,"95",6,9,NA,NA,3,7,0,1,"60","25",0,NA
921012863,1,1,19,2,2,1,NA,"100",5,5,1,3,3,5,0,0,"60","22",0,"1"
922133754,1,1,19,1,2,0,1,"90",4,9,3,3,3,6,0,2,"180","20",0,"1"
919182116,1,1,20,3,2,1,0,"85",6,1,2,1,3,6,0,2,"200","4",0,"1"
920724178,1,1,19,2,1,1,0,"100",6,3,3,5,0,4,0,0,"0","5",0,"0"
922378179,1,1,18,1,2,1,0,"100",6,3,NA,3,1,3,3,1,"240","12",0,"1"
922352959,1,1,18,1,2,1,0,"70",6,3,4,5,0,6,0,0,"210","35",0,"0"
919487646,1,1,20,3,2,1,0,"80",6,1,4,4,0,7,0,0,"157","25",0,"0"
920085435,1,1,21,3,2,1,0,"100",6,3,4,5,3,6,0,2,"100","65",0,"0"
922199581,1,1,18,1,2,0,1,"50",4,4,4,1,3,6,0,0,"120","30",0,"1"
919948871,1,1,20,3,2,1,0,"90",6,1,4,4,0,4,3,1,"180","12",0,"0"
922703537,1,1,18,1,2,1,1,"90",6,4,4,5,3,7,0,0,"120","20",0,"0"
921226002,1,1,20,2,1,1,0,"70",6,3,5,5,NA,5,2,0,"120","10",0,"0"
919872439,1,1,21,3,2,1,1,"100",6,5,2,1,3,5,1,1,"360","40",0,"1"
919235636,1,1,20,3,2,1,0,"95",6,0,NA,NA,NA,1,3,1,"120","360",0,NA
922209073,1,1,18,1,2,1,0,"100",6,8,5,4,3,6,0,0,"90","25",0,"0"
919663253,1,1,20,3,2,1,0,"85",6,4,3,3,3,3,3,1,"120","90",0,"1"
920516140,1,1,19,2,2,1,0,"100",6,9,5,5,3,7,0,0,"180","18",0,"0"
920685107,1,1,19,2,2,1,0,"100",5,3,4,3,3,2,3,1,"120","25",0,"1"
920643068,1,1,19,2,1,1,0,"95",5,3,4,5,3,6,0,0,"45","40",0,"0"
919284438,1,1,20,3,2,1,1,"100",5,5,3,3,3,6,3,1,"240","14",0,"1"
921971535,1,1,18,1,2,1,0,"90",6,3,4,1,3,6,1,0,"240","10",0,"1"
920645354,1,1,19,2,2,1,0,"80",5,9,5,5,3,6,0,0,"20","35",0,"0"
922273740,1,1,18,1,3,1,0,"92",4,5,NA,NA,NA,1,0,1,"180","6",0,NA
922393060,1,1,18,1,2,1,0,"100",6,4,5,5,3,6,0,0,"120","4.5",0,"0"
922645611,1,1,18,1,2,1,0,"100",6,3,4,4,3,7,0,0,"150","28",0,"0"
922465011,1,1,18,1,2,1,1,"99",6,3,4,4,3,6,0,0,"150","7",0,"0"
922607471,1,1,18,1,2,1,0,"100",6,7,1,1,3,4,0,0,"120","8",0,"1"
921284112,1,1,19,2,2,1,0,"95",6,4,4,4,3,7,0,0,"180","49",0,"0"
920997895,1,1,19,2,2,1,0,"90",6,3,4,5,3,7,2,0,"0","49",0,"0"
920866780,1,1,19,2,2,1,1,"100",6,4,NA,1,0,6,2,1,"180","12",0,"1"
921807214,1,1,19,1,2,1,1,"40",3,4,4,4,3,5,3,0,"180","21",0,"0"
921992679,1,1,18,1,2,1,0,"100",5,3,1,1,3,7,3,1,"239","50",0,"1"
921246273,1,1,19,2,1,1,0,"100",6,5,1,1,3,3,3,0,"120","20",0,"1"
922007563,1,1,18,1,2,1,0,"100",5,4,5,5,3,7,0,0,"180","14",0,"0"
920787869,1,1,19,2,1,1,0,"85",5,3,5,5,NA,6,0,0,"0","12",0,"0"
