"SID","views1","ov_op","ov_cv","external"
920581764,1,7,10,10
920716115,3,9,7.5,9
922566538,1,10,10,10
921451602,3,8,6.5,10
922712421,18,1,10,10
921862767,0,7,4.5,10
920542619,0,9,10,3
921850957,1,9,10,10
920071999,6,8,6.5,10
920645354,2,8,7.5,10
920579132,1,6,3,10
921356817,4,10,8.5,10
921882556,1,0,0,8
922509692,0,9,10,8
921678058,1,9,10,10
920795958,1,2,3,8
922475687,0,4.5,8.5,10
922465011,1,9,8.5,10
920055106,0,3,0,10
921943660,3,10,9,10
921012863,1,10,8.5,10
921253541,2,10,8.5,10
920432473,4,10,10,10
921014023,2,9,10,10
921353807,0,7,4,10
919393060,1,10,3.5,10
921081425,2,10,10,10
920730191,0,10,7.5,10
922048056,3,8,10,10
920643068,2,8,6.5,7
922374241,1,8,8,10
922232901,1,8,10,10
922224168,1,10,10,10
918641946,0,4,4.5,10
920779686,4,10,7.5,10
919216969,3,7,7.5,10
920548998,1,7,10,10
922371367,4,3,2.5,10
922198155,4,9,10,10
922206296,2,10,9,10
919161247,2,10,10,10
922542581,2,9,10,10
921295981,0,7,7.5,10
921929710,0,8,6.5,10
922758252,2,7,7.5,10
920931877,0,10,3.5,10
921931821,1,10,10,10
922418424,4,10,10,10
921650555,1,7,8.5,10
920767559,1,9,10,10
920516140,0,9,8.5,10
922437175,1,8,5.5,10
922143281,1,10,0,10
919279948,0,7,0,10
919875669,1,8,3,10
920596717,3,10,10,10
919195255,2,10,6.5,10
919663253,7,8,10,10
920866780,0,10,6.5,10
921939195,5,10,10,10
920501430,0,2,8.5,10
922206089,3,7,7.5,10
921890946,0,9,8.5,10
919509935,6,10,10,10
921473321,2,10,8.5,10
922075317,0,10,5.5,10
