"SID","views1","ov_op","ov_cv","interpretation"
919393060,0,6,6.5,4
921014023,1,8,10,10
921793917,0,6,9,1
920770397,0,8,6.5,10
922049686,1,10,10,6
921320717,0,8,10,6
922075799,0,8,7.5,10
919428171,0,8,5.5,6
922201259,0,8,10,10
920818479,0,6,7,6
921910017,0,9,10,10
919562383,1,9,7.5,10
919336360,0,5,7.5,4
920680636,1,8,1,4
920976052,0,8,4.5,4
921011217,0,10,10,6
919997453,1,8,10,6
919215850,2,8,10,6
922330777,1,8,10,10
920841433,4,8,7.5,8
920964637,0,8,10,7
919663253,1,8,10,10
920596717,0,8,10,10
920866780,0,8,7.5,10
919279948,0,4,2,4
922437175,0,6,7,6
922143281,2,8,5.5,6
922380248,0,8,10,10
920516140,1,8,0,10
918732101,2,8,10,6
922713970,0,9,7.5,4
922390270,1,7,7.5,3
922758252,0,7,7,4
922206296,1,7,7.5,10
922635388,1,9,10,10
919378687,0,8,7.5,6
922068696,3,8,10,4
922198155,0,9,10,6
920795958,0,9,10,6
922371367,2,4,9.5,4
921677017,0,8,9,10
920579132,0,7,0,4
921356817,0,9,10,10
920645354,2,8,10,4
922133301,2,8,5.5,4
919649109,1,6,7.5,4
921862767,0,4,5.5,4
920486513,1,7,9,10
921870241,0,4,9,4
920581764,1,9,10,10
920716115,2,6,1,2
922389278,0,8,10,6
921881984,2,7,0,10
922477216,0,6,7.5,6
920803756,0,0,9,0
918510297,1,8,0,6
922277733,1,8,6.5,6
922386080,1,8,7.5,8
920076936,0,9,9,10
922017317,1,6,5,6
919614370,0,7,6.5,6
922202290,4,9,10,6
922353796,0,7,8.5,6
921012863,0,6,9,2
921943660,0,7,6,4
922612440,3,5,0.5,6
922550007,3,9,5.5,10
920004937,4,6,7.5,2
921747112,1,7,6.5,6
920223433,0,6,2,6
922437751,0,10,10,6
922661378,0,8,6,10
921473321,1,9,10,6
922567870,2,8,7.5,10
917993611,0,9,10,6
919552746,1,8,7.5,2
919872439,1,8,10,1
919509935,1,8,8,6
922607471,0,4,5,0
920595190,0,8,10,6
919246874,0,8,8,4
918652647,0,6,0,4
920501430,0,8,10,4
921939195,0,8,10,10
919768349,0,4,0,4
921923677,1,7,5.5,6
920858905,0,8,10,2
919182116,0,8,6.5,10
921427173,0,0,4,4
919943928,0,7,10,6
920645176,1,8,10,6
919896541,0,8,1,1
922360792,0,0,0,3
922332791,0,0,4.5,4
922119435,0,6,7.5,10
919563353,0,2,8,10
920526347,0,6,7,10
920960385,0,6,7.5,4
922264267,0,9,7.5,6
922413995,1,8,10,6
921920861,0,8,7,6
921237635,0,10,9,6
922658048,1,7,6.5,10
922145399,1,4,9,10
921103769,0,9,10,10
922038040,1,8,10,6
919060827,0,8,5,4
921295981,0,6,9,4
920787869,0,9,9,6
918739858,1,8,10,10
