"source","SID","views5","ov_op","ov_cv","confound","internal","interpret","external"
"Exam_5A_scores.csv",922582486,1,5,4,7,5,2,6
"Exam_5A_scores.csv",921887629,1,8,7.5,7,5,10,10
"Exam_5A_scores.csv",922366068,0,6,6,10,10,6,10
"Exam_5A_scores.csv",920990669,0,6,10,10,5,6,10
"Exam_5A_scores.csv",920771736,0,7,10,10,10,6,10
"Exam_5A_scores.csv",921916082,1,6,5.5,10,5,6,10
"Exam_5A_scores.csv",919233214,0,0,0,0,0,4,8
"Exam_5A_scores.csv",919475069,0,0,0,0,0,4,7
"Exam_5A_scores.csv",921850339,0,8,7.5,10,5,3,8
"Exam_5A_scores.csv",922209073,1,8,10,7,5,6,10
"Exam_5A_scores.csv",921980131,0,9,10,0,5,10,10
"Exam_5A_scores.csv",919226768,0,6,10,10,10,10,10
"Exam_5A_scores.csv",920453151,0,9,10,10,10,7,10
"Exam_5A_scores.csv",919309229,0,9,10,10,10,10,10
"Exam_5A_scores.csv",922090347,6,7,10,10,10,10,10
"Exam_5A_scores.csv",921144346,1,9,10,10,10,10,10
"Exam_5A_scores.csv",916566421,0,6,7.5,10,7,4,10
"Exam_5A_scores.csv",918227292,0,8,7.5,0,5,6,8
"Exam_5A_scores.csv",921936318,0,9,9,10,7,6,10
"Exam_5A_scores.csv",922086160,3,9,10,0,10,6,10
"Exam_5A_scores.csv",919948871,0,4,5,0,10,6,10
"Exam_5A_scores.csv",921108421,0,8,9,10,5,4,8
"Exam_5A_scores.csv",921681870,0,0,4,0,5,2,8
"Exam_5A_scores.csv",921860594,0,6,5,10,10,6,8
"Exam_5A_scores.csv",922000269,1,9,10,10,10,10,10
"Exam_5A_scores.csv",922558944,2,9,10,10,10,10,10
"Exam_5A_scores.csv",919695454,2,8,10,10,10,10,10
"Exam_5A_scores.csv",920627893,1,6,1,10,5,10,10
"Exam_5A_scores.csv",920876534,0,5,6.5,0,5,4,8
"Exam_5A_scores.csv",920587140,0,6,3,10,5,4,0
"Exam_5A_scores.csv",921992679,0,9,9,10,10,8,10
"Exam_5A_scores.csv",922557110,0,7,10,10,10,10,8
"Exam_5A_scores.csv",921096850,1,5,0,0,7,4,8
"Exam_5A_scores.csv",922292132,0,8,4.5,10,10,6,10
"Exam_5A_scores.csv",922133754,1,6,10,10,10,10,10
"Exam_5A_scores.csv",922398489,1,9,10,10,5,10,10
"Exam_5A_scores.csv",922250365,1,9,10,10,10,10,10
"Exam_5A_scores.csv",922304606,0,0,6.5,0,0,4,7
"Exam_5A_scores.csv",922048056,1,9,7.5,10,10,6,10
"Exam_5A_scores.csv",920730191,0,8,6.5,10,10,10,10
"Exam_5A_scores.csv",920643068,1,9,10,10,10,10,10
"Exam_5A_scores.csv",921944643,7,8,6.5,10,5,10,10
"Exam_5A_scores.csv",921262561,1,9,0,10,5,10,8
"Exam_5A_scores.csv",921186058,1,8,7.5,10,5,10,10
"Exam_5A_scores.csv",920704981,0,7,1,3,10,4,7
"Exam_5A_scores.csv",920432473,2,8,7.5,10,7,10,10
"Exam_5A_scores.csv",921353807,0,8,1,10,10,4,8
"Exam_5A_scores.csv",919393060,0,6,6.5,10,5,4,8
"Exam_5A_scores.csv",921014023,1,8,10,10,10,10,8
"Exam_5A_scores.csv",921793917,0,6,9,10,0,1,8
"Exam_5A_scores.csv",920770397,0,8,6.5,10,7,10,8
"Exam_5A_scores.csv",922049686,1,10,10,10,5,6,10
"Exam_5A_scores.csv",921320717,0,8,10,10,4,6,8
"Exam_5A_scores.csv",922075799,0,8,7.5,10,10,10,10
"Exam_5A_scores.csv",919428171,0,8,5.5,10,5,6,10
"Exam_5A_scores.csv",922201259,0,8,10,10,10,10,10
"Exam_5A_scores.csv",920818479,0,6,7,0,0,6,10
"Exam_5A_scores.csv",921910017,0,9,10,10,10,10,10
"Exam_5A_scores.csv",919562383,1,9,7.5,10,10,10,10
"Exam_5A_scores.csv",919336360,0,5,7.5,10,10,4,10
"Exam_5A_scores.csv",920680636,1,8,1,0,10,4,8
"Exam_5A_scores.csv",920976052,0,8,4.5,0,10,4,10
"Exam_5A_scores.csv",921011217,0,10,10,10,10,6,10
"Exam_5A_scores.csv",919997453,1,8,10,10,10,6,8
"Exam_5A_scores.csv",919215850,2,8,10,0,10,6,3
"Exam_5A_scores.csv",922330777,1,8,10,10,10,10,10
"Exam_5A_scores.csv",920841433,4,8,7.5,10,5,8,10
"Exam_5A_scores.csv",920964637,0,8,10,10,5,7,8
"Exam_5A_scores.csv",919663253,1,8,10,2,5,10,8
"Exam_5A_scores.csv",920596717,0,8,10,10,5,10,10
"Exam_5A_scores.csv",920866780,0,8,7.5,10,10,10,10
"Exam_5A_scores.csv",919279948,0,4,2,10,10,4,7
"Exam_5A_scores.csv",922437175,0,6,7,10,5,6,10
"Exam_5A_scores.csv",922143281,2,8,5.5,0,5,6,6
"Exam_5A_scores.csv",922380248,0,8,10,10,10,10,10
"Exam_5A_scores.csv",920516140,1,8,0,0,7,10,8
"Exam_5A_scores.csv",918732101,2,8,10,10,10,6,10
"Exam_5A_scores.csv",922713970,0,9,7.5,10,0,4,8
"Exam_5A_scores.csv",922390270,1,7,7.5,10,0,3,8
"Exam_5A_scores.csv",922758252,0,7,7,10,10,4,10
"Exam_5A_scores.csv",922206296,1,7,7.5,10,5,10,10
"Exam_5A_scores.csv",922635388,1,9,10,10,10,10,10
"Exam_5A_scores.csv",919378687,0,8,7.5,10,10,6,10
"Exam_5A_scores.csv",922068696,3,8,10,10,10,4,10
"Exam_5A_scores.csv",922198155,0,9,10,10,10,6,10
"Exam_5A_scores.csv",920795958,0,9,10,10,10,6,10
"Exam_5A_scores.csv",922371367,2,4,9.5,7,10,4,7
"Exam_5A_scores.csv",921677017,0,8,9,10,10,10,10
"Exam_5A_scores.csv",920579132,0,7,0,0,0,4,8
"Exam_5A_scores.csv",921356817,0,9,10,0,10,10,10
"Exam_5A_scores.csv",920645354,2,8,10,10,5,4,8
"Exam_5A_scores.csv",922133301,2,8,5.5,10,2,4,10
"Exam_5A_scores.csv",919649109,1,6,7.5,10,6,4,10
"Exam_5A_scores.csv",921862767,0,4,5.5,10,0,4,7
"Exam_5A_scores.csv",920486513,1,7,9,10,10,10,10
"Exam_5A_scores.csv",921870241,0,4,9,0,10,4,10
"Exam_5A_scores.csv",920581764,1,9,10,10,10,10,10
"Exam_5A_scores.csv",920716115,2,6,1,10,10,2,0
"Exam_5A_scores.csv",922389278,0,8,10,0,7,6,10
"Exam_5A_scores.csv",921881984,2,7,0,10,10,10,8
"Exam_5A_scores.csv",922477216,0,6,7.5,10,10,6,10
"Exam_5A_scores.csv",920803756,0,0,9,0,10,0,10
"Exam_5A_scores.csv",918510297,1,8,0,10,5,6,10
"Exam_5A_scores.csv",922277733,1,8,6.5,10,10,6,10
"Exam_5A_scores.csv",922386080,1,8,7.5,10,10,8,10
"Exam_5A_scores.csv",920076936,0,9,9,0,5,10,10
"Exam_5A_scores.csv",922017317,1,6,5,10,4,6,10
"Exam_5A_scores.csv",919614370,0,7,6.5,10,10,6,10
"Exam_5A_scores.csv",922202290,4,9,10,10,10,6,10
"Exam_5A_scores.csv",922353796,0,7,8.5,10,5,6,10
"Exam_5A_scores.csv",921012863,0,6,9,0,5,2,10
"Exam_5A_scores.csv",921943660,0,7,6,10,10,4,8
"Exam_5A_scores.csv",922612440,3,5,0.5,10,7,6,10
"Exam_5A_scores.csv",922550007,3,9,5.5,10,5,10,8
"Exam_5A_scores.csv",920004937,4,6,7.5,10,5,2,8
"Exam_5A_scores.csv",921747112,1,7,6.5,10,10,6,10
"Exam_5A_scores.csv",920223433,0,6,2,10,10,6,10
"Exam_5A_scores.csv",922437751,0,10,10,10,10,6,10
"Exam_5A_scores.csv",922661378,0,8,6,10,4,10,10
"Exam_5A_scores.csv",921473321,1,9,10,10,5,6,8
"Exam_5A_scores.csv",922567870,2,8,7.5,10,10,10,10
"Exam_5A_scores.csv",917993611,0,9,10,10,5,6,10
"Exam_5A_scores.csv",919552746,1,8,7.5,10,5,2,5
"Exam_5A_scores.csv",919872439,1,8,10,0,5,1,10
"Exam_5A_scores.csv",919509935,1,8,8,10,5,6,10
"Exam_5A_scores.csv",922607471,0,4,5,10,0,0,8
"Exam_5A_scores.csv",920595190,0,8,10,10,5,6,8
"Exam_5A_scores.csv",919246874,0,8,8,0,5,4,10
"Exam_5A_scores.csv",918652647,0,6,0,10,10,4,10
"Exam_5A_scores.csv",920501430,0,8,10,10,5,4,10
"Exam_5A_scores.csv",921939195,0,8,10,10,10,10,10
"Exam_5A_scores.csv",919768349,0,4,0,0,0,4,0
"Exam_5A_scores.csv",921923677,1,7,5.5,0,2,6,10
"Exam_5A_scores.csv",920858905,0,8,10,0,10,2,8
"Exam_5A_scores.csv",919182116,0,8,6.5,10,10,10,10
"Exam_5A_scores.csv",921427173,0,0,4,0,0,4,0
"Exam_5A_scores.csv",919943928,0,7,10,10,10,6,10
"Exam_5A_scores.csv",920645176,1,8,10,10,10,6,10
"Exam_5A_scores.csv",919896541,0,8,1,0,4,1,10
"Exam_5A_scores.csv",922360792,0,0,0,0,0,3,0
"Exam_5A_scores.csv",922332791,0,0,4.5,0,0,4,7
"Exam_5A_scores.csv",922119435,0,6,7.5,0,10,10,5
"Exam_5A_scores.csv",919563353,0,2,8,10,0,10,8
"Exam_5A_scores.csv",920526347,0,6,7,10,0,10,10
"Exam_5A_scores.csv",920960385,0,6,7.5,10,10,4,10
"Exam_5A_scores.csv",922264267,0,9,7.5,10,5,6,10
"Exam_5A_scores.csv",922413995,1,8,10,10,5,6,10
"Exam_5A_scores.csv",921920861,0,8,7,3,10,6,10
"Exam_5A_scores.csv",921237635,0,10,9,10,7,6,10
"Exam_5A_scores.csv",922658048,1,7,6.5,10,5,10,10
"Exam_5A_scores.csv",922145399,1,4,9,0,7,10,10
"Exam_5A_scores.csv",921103769,0,9,10,10,0,10,10
"Exam_5A_scores.csv",922038040,1,8,10,10,7,6,10
"Exam_5A_scores.csv",919060827,0,8,5,0,0,4,0
"Exam_5A_scores.csv",921295981,0,6,9,0,4,4,10
"Exam_5A_scores.csv",920787869,0,9,9,10,0,6,10
"Exam_5A_scores.csv",918739858,1,8,10,0,10,10,8
"Exam_5B_scores.csv",922549270,0,6,10,6,10,7,9
"Exam_5B_scores.csv",919150397,0,8,10,10,10,10,10
"Exam_5B_scores.csv",922110272,1,10,10,10,10,10,10
"Exam_5B_scores.csv",922509197,1,9,10,10,10,10,10
"Exam_5B_scores.csv",921942771,0,10,10,10,10,8,10
"Exam_5B_scores.csv",919716168,0,6,10,10,10,7,8
"Exam_5B_scores.csv",922810941,0,9,10,10,10,10,10
"Exam_5B_scores.csv",920816950,0,9,10,10,10,7,9
"Exam_5B_scores.csv",922296963,0,9,10,10,10,8,8
"Exam_5B_scores.csv",921408574,0,9,10,10,10,7,5
"Exam_5B_scores.csv",921791456,3,7,10,10,10,8,6
"Exam_5B_scores.csv",921726531,0,0,10,10,10,5,4
"Exam_5B_scores.csv",919505117,0,8,10,4,10,10,7
"Exam_5B_scores.csv",918851859,0,5,10,10,10,10,10
"Exam_5B_scores.csv",921809623,0,4,10,10,10,5,0
"Exam_5B_scores.csv",920926552,1,6,10,7,10,9,10
"Exam_5B_scores.csv",922377701,2,7,10,5,10,8,8
"Exam_5B_scores.csv",919582509,0,8,10,10,10,8,7
"Exam_5B_scores.csv",922053805,0,6,10,10,10,10,9
"Exam_5B_scores.csv",922729566,0,8,10,10,10,8,8
"Exam_5B_scores.csv",921079835,0,8,10,10,10,8,8
"Exam_5B_scores.csv",921887234,3,7,10,10,10,9,7
"Exam_5B_scores.csv",922151383,1,8,10,10,10,9,9
"Exam_5B_scores.csv",922014022,0,8,10,9,10,9,8
"Exam_5B_scores.csv",922748055,0,7,10,10,10,6,10
"Exam_5B_scores.csv",922131905,3,8,9,10,10,8,7
"Exam_5B_scores.csv",920672071,0,5,9,10,10,5,4
"Exam_5B_scores.csv",919898992,1,8,10,10,10,9,10
"Exam_5B_scores.csv",921139555,0,9,10,10,10,9,8
"Exam_5B_scores.csv",922638835,0,7,10,6,10,8,10
"Exam_5B_scores.csv",920924952,0,8,10,6,10,8,8
"Exam_5B_scores.csv",922712984,0,6,7,10,10,6,4
"Exam_5B_scores.csv",920460131,1,6,10,10,10,9,9
"Exam_5B_scores.csv",922378179,2,8,10,5,10,10,4
"Exam_5B_scores.csv",922726475,0,9,8.5,3,8,2,3
"Exam_5B_scores.csv",920966884,1,0,5,3,10,2,8
"Exam_5B_scores.csv",921079903,0,8,10,10,10,10,10
"Exam_5B_scores.csv",922315394,0,8,10,10,10,8,10
"Exam_5B_scores.csv",920440054,0,7,10,10,10,0,9
"Exam_5B_scores.csv",919235636,0,7,10,10,10,6,7
"Exam_5B_scores.csv",921885676,0,8,10,10,10,8,9
"Exam_5B_scores.csv",921041258,0,8,10,10,10,5,7
"Exam_5B_scores.csv",918499774,0,8,10,10,10,6,6
"Exam_5B_scores.csv",920621886,0,8,10,10,10,8,8
"Exam_5B_scores.csv",922703537,0,8,10,10,10,8,10
"Exam_5B_scores.csv",922163290,1,8,10,10,10,6,10
"Exam_5B_scores.csv",922217175,0,7,5.5,8,9,6,9
"Exam_5B_scores.csv",922774171,0,8,10,10,10,9,10
"Exam_5B_scores.csv",919987780,0,6,10,10,10,5,8
"Exam_5B_scores.csv",922737671,0,0,10,3,10,5,7
"Exam_5B_scores.csv",922062016,0,9,10,10,10,10,10
"Exam_5B_scores.csv",920829976,3,9,10,10,10,8,10
"Exam_5B_scores.csv",919484597,2,9,10,10,10,6,4
"Exam_5B_scores.csv",921073844,3,6,10,6,10,9,10
"Exam_5B_scores.csv",921971535,0,8,10,10,10,10,9
"Exam_5B_scores.csv",919908989,1,8,10,10,10,8,10
"Exam_5B_scores.csv",922314890,0,0,10,10,10,5,5
"Exam_5B_scores.csv",920003572,0,8,10,6,10,6,10
"Exam_5B_scores.csv",922075317,0,7,10,10,10,6,8
"Exam_5B_scores.csv",922159592,0,9,10,10,10,7,10
"Exam_5B_scores.csv",918029924,0,6,9,8,10,5,3
"Exam_5B_scores.csv",922270620,0,8,10,4,10,3,7
"Exam_5B_scores.csv",920962888,0,7,10,10,10,10,9
"Exam_5B_scores.csv",922352959,0,9,10,10,9,8,10
"Exam_5B_scores.csv",922009558,1,9,10,10,10,9,10
"Exam_5B_scores.csv",922388017,0,7,10,10,10,8,10
"Exam_5B_scores.csv",922639575,0,6,10,10,10,5,9
"Exam_5B_scores.csv",919933828,0,9,10,10,10,10,8
"Exam_5B_scores.csv",921057967,0,8,10,7,10,5,10
"Exam_5B_scores.csv",922401143,2,6,10,10,10,9,10
"Exam_5B_scores.csv",921168364,0,6,10,10,10,6,9
"Exam_5B_scores.csv",918614504,0,8,10,3,10,5,8
"Exam_5B_scores.csv",921083070,0,10,10,10,10,8,10
"Exam_5B_scores.csv",921206268,0,4,6.5,6,10,0,8
"Exam_5B_scores.csv",922219047,0,4,10,10,10,5,6
"Exam_5B_scores.csv",922188657,1,8,10,6,10,8,8
"Exam_5B_scores.csv",921813729,1,9,10,10,10,10,10
"Exam_5B_scores.csv",918058788,0,0,10,6,8,7,2
"Exam_5B_scores.csv",922219416,1,9,10,6,10,5,8
"Exam_5B_scores.csv",919897472,0,6,10,10,10,8,10
"Exam_5B_scores.csv",922254183,2,8,10,10,10,8,10
"Exam_5B_scores.csv",920584509,0,8,10,10,10,5,10
"Exam_5B_scores.csv",920919640,1,8,10,10,10,6,10
"Exam_5B_scores.csv",922198757,1,7,10,10,10,9,8
"Exam_5B_scores.csv",920693827,0,8,10,8,10,6,8
"Exam_5B_scores.csv",921939852,1,7,10,10,10,9,10
"Exam_5B_scores.csv",919902765,2,4,7,10,10,4,4
"Exam_5B_scores.csv",920810341,0,7,10,10,10,8,10
"Exam_5B_scores.csv",921828552,1,1,10,10,10,6,8
"Exam_5B_scores.csv",921993270,0,9,10,10,10,10,10
"Exam_5B_scores.csv",922452930,0,9,8,10,10,9,8
"Exam_5B_scores.csv",919860234,1,6,7,8,10,5,1
"Exam_5B_scores.csv",919870334,0,6,10,6,8,7,8
"Exam_5B_scores.csv",920544277,0,4,10,6,10,5,2
"Exam_5B_scores.csv",921173760,0,4,10,8,10,2,8
"Exam_5B_scores.csv",919975585,0,7,10,8,0,6,7
"Exam_5B_scores.csv",919586945,0,6,10,10,8,6,8
"Exam_5B_scores.csv",919505573,0,7,9.5,6,10,6,8
"Exam_5B_scores.csv",922259793,0,6,10,6,6,4,8
"Exam_5B_scores.csv",919927766,1,8,10,10,10,9,10
"Exam_5B_scores.csv",922273740,0,9,10,10,10,3,9
"Exam_5B_scores.csv",919265240,0,6,10,10,10,7,10
"Exam_5B_scores.csv",922640483,5,9,10,10,10,5,3
"Exam_5B_scores.csv",920479520,0,6,10,10,10,7,10
"Exam_5B_scores.csv",919241617,1,8,10,6,10,8,6
"Exam_5B_scores.csv",921673176,1,4,9,8,10,6,0
"Exam_5B_scores.csv",920777808,1,5,10,8,10,5,8
"Exam_5B_scores.csv",921169680,1,9,10,10,10,10,10
"Exam_5B_scores.csv",920724592,0,8,10,10,10,9,8
"Exam_5B_scores.csv",921094234,0,8,10,10,10,8,7
"Exam_5B_scores.csv",922041464,0,4,10,10,10,0,7
"Exam_5B_scores.csv",922711943,0,8,10,8,10,10,10
"Exam_5B_scores.csv",921958710,0,8,10,8,10,7,3
"Exam_5B_scores.csv",922496378,1,4,10,10,10,5,8
"Exam_5B_scores.csv",922651058,2,8,7.5,10,8,3,3
"Exam_5B_scores.csv",919649675,0,9,10,10,10,10,10
"Exam_5B_scores.csv",918856249,0,8,10,10,10,6,10
"Exam_5B_scores.csv",919837924,1,4,5,10,10,4,7
"Exam_5B_scores.csv",920779686,1,8,10,10,10,8,7
"Exam_5B_scores.csv",919216969,1,6,10,10,10,8,10
"Exam_5B_scores.csv",919458701,1,4,10,10,10,9,8
"Exam_5B_scores.csv",918641946,0,4,10,10,10,0,9
"Exam_5B_scores.csv",922224168,3,9,10,10,10,9,10
"Exam_5B_scores.csv",922374241,0,4,10,10,10,2,10
"Exam_5B_scores.csv",922007563,2,9,10,10,10,2,10
"Exam_5B_scores.csv",922454763,2,7,10,10,10,2,6
"Exam_5B_scores.csv",922232901,2,8,10,10,10,9,8
"Exam_5B_scores.csv",922457443,1,8,10,10,10,10,10
"Exam_5B_scores.csv",921226002,1,8,10,10,8,6,2
"Exam_5B_scores.csv",920925281,0,8,10,10,5,8,7
"Exam_5B_scores.csv",922590821,0,9,10,10,10,9,10
"Exam_5B_scores.csv",922680906,0,7,10,10,10,6,10
"Exam_5B_scores.csv",921081425,0,8,10,10,10,8,7
"Exam_5B_scores.csv",921253541,1,6,7.5,2,6,6,7
"Exam_5B_scores.csv",922355396,2,8,10,10,10,1,10
"Exam_5B_scores.csv",922400814,2,4,10,10,10,8,9
"Exam_5B_scores.csv",920055106,0,3,10,10,10,6,3
"Exam_5B_scores.csv",922014365,1,7,10,10,10,8,10
"Exam_5B_scores.csv",922342189,1,9,10,10,10,10,10
"Exam_5B_scores.csv",920775787,1,6,10,10,10,5,10
"Exam_5B_scores.csv",922381182,0,7,10,10,10,6,0
"Exam_5B_scores.csv",922513976,1,3,10,6,10,5,6
"Exam_5B_scores.csv",920725973,1,8,10,10,10,5,10
"Exam_5B_scores.csv",919229969,2,8,10,10,10,10,10
"Exam_5B_scores.csv",922396711,0,9,10,10,10,9,10
"Exam_5B_scores.csv",920624948,1,8,10,10,10,9,10
"Exam_5B_scores.csv",922420700,1,8,10,10,10,8,8
"Exam_5B_scores.csv",919864256,0,9,10,10,10,8,8
"Exam_5B_scores.csv",921111557,0,8,10,8,10,10,9
"Exam_5B_scores.csv",921376017,1,9,10,10,10,9,10
"Exam_5B_scores.csv",920638853,3,9,10,10,10,8,9
"Exam_5B_scores.csv",920085435,1,8,10,10,10,9,7
"Exam_5B_scores.csv",920573769,0,3,10,6,10,5,3
"Exam_5B_scores.csv",921180009,0,8,8,10,10,7,9
"Exam_5B_scores.csv",921322799,2,8,10,10,10,8,10
"Exam_5B_scores.csv",919702101,1,0,7.5,6,10,6,4
"Exam_5B_scores.csv",920685107,0,6,10,10,10,9,10
"Exam_5B_scores.csv",919315323,0,8,10,10,10,8,9
"Exam_5B_scores.csv",921911281,0,3,10,10,10,5,0
"Exam_5B_scores.csv",919215229,2,8,10,10,10,8,4
"Exam_5B_scores.csv",920894707,1,4,10,10,10,7,6
"Exam_5B_scores.csv",922613038,3,9,10,6,10,5,9
"Exam_5B_scores.csv",920866162,0,8,10,10,10,7,9
"Exam_5B_scores.csv",920691735,0,6,10,8,10,6,9
"Exam_5B_scores.csv",917159468,1,8,10,8,10,9,8
"Exam_5B_scores.csv",919905908,1,8,10,10,10,9,10
"Exam_5B_scores.csv",922697517,0,6,10,10,10,0,4
"Exam_5B_scores.csv",922225358,0,8,10,10,10,10,10
"Exam_5B_scores.csv",921759074,0,7,10,10,10,7,9
"Exam_5B_scores.csv",922347139,0,9,10,10,10,8,10
"Exam_5B_scores.csv",921493288,0,3,10,0,0,5,0
"Exam_5B_scores.csv",921881450,0,8,10,10,10,5,10
"Exam_5B_scores.csv",921890946,0,7,10,10,10,5,3
"Exam_5B_scores.csv",922206089,3,8,10,10,10,10,8
"Exam_5B_scores.csv",922017427,1,8,10,10,10,10,6
"Exam_5B_scores.csv",919427114,3,8,10,10,10,7,10
"Exam_5B_scores.csv",921284112,1,9,10,10,10,8,9
"Exam_5B_scores.csv",919953950,2,9,10,10,10,8,10
"Exam_5B_scores.csv",920499610,0,8,10,10,10,0,8
"Exam_5B_scores.csv",919195255,1,8,10,10,10,7,8
"Exam_5B_scores.csv",919406397,0,7,10,10,10,5,10
"Exam_5B_scores.csv",921678058,0,10,10,6,10,8,9
"Exam_5B_scores.csv",922509692,1,8,10,10,10,9,10
"Exam_5B_scores.csv",921882556,0,3,9,10,10,8,8
"Exam_5B_scores.csv",921972055,1,9,10,10,10,9,9
"Exam_5B_scores.csv",920660876,0,7,10,10,6,5,8
"Exam_5B_scores.csv",920071999,1,8,10,10,10,5,3
"Exam_5B_scores.csv",921850957,1,9,10,10,10,10,9
"Exam_5B_scores.csv",921859411,0,6,10,10,10,8,9
"Exam_5B_scores.csv",921807214,1,9,10,10,10,5,2
"Exam_5B_scores.csv",920542619,0,8,9,10,10,8,8
"Exam_5B_scores.csv",922275803,1,6,10,7,10,7,7
"Exam_5B_scores.csv",920899731,2,7,10,10,10,1,7
"Exam_5B_scores.csv",922712421,9,7,10,10,10,8,10
"Exam_5B_scores.csv",922566538,0,7,10,10,10,7,10
"Exam_5B_scores.csv",921451602,2,3,10,10,10,8,3
"Exam_5B_scores.csv",921313371,0,8,10,8,10,8,7
"Exam_5B_scores.csv",920707823,0,9,10,10,10,9,8
"Exam_5B_scores.csv",921088392,3,8,10,10,10,9,9
"Exam_5B_scores.csv",922760677,0,8,10,10,10,7,6
"Exam_5B_scores.csv",919875669,2,6,10,10,10,5,5
"Exam_5B_scores.csv",922503151,0,4,10,10,10,5,9
"Exam_5B_scores.csv",922513413,0,8,10,10,10,8,10
