"SID","views1","pv_def","pv_cv","internal2","interpret"
920624948,2,10,16,15,1.5
920858905,3,8,18,10,3
919864256,2,7,13,12.5,2.5
919241617,3,10,11,12.5,2.5
919943928,1,9,18,15,3
921376017,3,8.5,9,10,2.5
919702101,1,7,0,15,0
922119435,1,7,11,15,2.5
920960385,1,7,14,15,3
922400814,2,8,16,10,3
920055106,0,6,11,15,3
921012863,0,8,18,7.5,3
919215229,8,10,14,7.5,1
922613038,3,7,0,5,1.5
920691735,0,7,0,15,1.5
919901753,0,6,9,7.5,1
919905908,4,7,13,7.5,4
921473321,2,8,9,7.5,3
917159468,1,10,20,12.5,4
922697517,0,7,11,15,1
919660023,1,0,0,5,2.5
921493288,2,4,9,7.5,3
917993611,1,7,9,15,3
919552746,6,9,9,5,1
922225358,1,10,18,12.5,5
921759074,0,9,16,15,4
921881450,0,8,18,12.5,1.5
922607471,0,7,16,15,2.5
920595190,2,10,14,12.5,4.5
921121657,5,10,16,15,2
921890946,0,7,11,5,3
922017427,1,9,16,10,2.5
919246874,1,9,14,7.5,1
921939195,5,9,13,7.5,3
922421437,2,10,18,15,3
921903778,1,7,9,10,2
921452533,2,8,13,15,2.5
920997895,0,9,16,15,4
920082522,0,9,18,10,3
921034524,5,3,0,5,1.5
921674900,10,9,9,15,3
922806191,0,8,16,7.5,1
920628957,0,3,16,5,3
921803014,3,8,0,7.5,3
919305168,3,9,13,15,4
922511334,2,10,13,15,3
922761906,3,7,11,10,3.5
921769938,6,9,20,15,4
922160109,1,8,11,10,1.5
922720659,3,8,16,15,4
919665879,2,6.5,16,15,3
921494083,4,3,14,7.5,3
920581780,3,10,16,7.5,3
919883266,3,10,20,15,3
922437175,3,7,13,15,3
919614370,1,9,13,15,2
921877613,1,8,16,10,1.5
