SID,Total.Score,View.Count,pwritten,time,opt_in
921138679,142,0,0.933333333,1,1
919715994,105,2,0.7,1,0
919330094,115.5,1,0.7375,1,1
919692871,124,2,0.833333333,1,1
920447044,133,3,0.858333333,1,0
919914232,102.5,1,0.729166667,1,0
917452110,131.5,0,0.870833333,1,0
921206611,144,0,0.975,1,0
915836301,135.5,3,0.929166667,1,#N/A
920179147,108.5,2,0.754166667,1,1
921180177,137,2,0.891666667,1,1
919173934,146.5,0,0.970833333,1,1
916748430,130,1,0.833333333,1,0
919684805,107,1,0.691666667,1,#N/A
920916630,129,1,0.875,1,0
919385463,134,3,0.891666667,1,1
920482533,78,0,0.525,1,1
919667178,121,3,0.758333333,1,1
919881239,101.5,2,0.670833333,1,0
918802303,103.5,1,0.6125,1,1
921393838,136,1,0.883333333,1,0
917474059,111,1,0.675,1,0
919927643,144.5,0,0.954166667,1,0
919988365,112,3,0.758333333,1,1
920014105,116.5,4,0.745833333,1,#N/A
919688636,140,3,0.916666667,1,1
919573149,112.5,5,0.7375,1,#N/A
919023259,116,2,0.766666667,1,0
921072832,142,5,0.933333333,1,#N/A
918206624,132,0,0.85,1,#N/A
921341848,97,0,0.608333333,1,#N/A
921361129,100,1,0.633333333,1,1
920916669,129.5,3,0.854166667,1,1
920829963,100.5,0,0.6875,1,0
920887442,130.5,7,0.8625,1,0
916932291,90.5,0,0.670833333,1,#N/A
917214277,132.5,1,0.904166667,1,#N/A
917065921,89,2,0.516666667,1,0
918722483,75.5,0,0.404166667,1,1
918752835,126.5,1,0.854166667,1,1
919295087,116,1,0.741666667,1,1
919194104,93.5,6,0.554166667,1,1
918638108,74,3,0.416666667,1,1
921269629,130,0,0.833333333,1,0
917029022,105.25,2,0.652083333,1,1
919223266,141,4,0.925,1,#N/A
919151655,103.5,0,0.7125,1,0
918453477,112.5,0,0.7125,1,1
918166667,136,3,0.883333333,1,1
921437600,78.5,2,0.545833333,1,1
916855734,127.5,7,0.8125,1,1
919914818,117.5,0,0.779166667,1,0
918147097,140.5,1,0.920833333,1,1
919651809,78.5,4,0.504166667,1,1
918218890,118.5,1,0.7875,1,1
918166353,135,2,0.9,1,0
919560149,102.5,1,0.629166667,1,0
919918429,78,1,0.4,1,#N/A
920656013,126.5,1,0.804166667,1,1
918752987,91,0,0.608333333,1,1
919396119,99,1,0.65,1,0
919049974,103.5,1,0.7125,1,#N/A
919712256,114,2,0.8,1,0
918578190,126.5,1,0.879166667,1,0
918333429,102,2,0.6,1,1
918467557,121,0,0.783333333,1,#N/A
918609661,103.5,2,0.6625,1,1
919200742,134,1,0.891666667,1,#N/A
919246641,118,2,0.808333333,1,0
920693704,130,0,0.858333333,1,1
920844126,98,0,0.666666667,1,#N/A
920577927,140,2,0.916666667,1,0
919973286,102,1,0.625,1,#N/A
919625589,81,2,0.525,1,#N/A
916561057,124,0,0.833333333,1,1
919245532,64,1,0.383333333,1,1
920522338,126.5,2,0.829166667,1,#N/A
920734032,80,1,0.491666667,1,0
920816251,120.5,3,0.779166667,1,0
917288643,98.5,0,0.695833333,1,#N/A
921094205,116.5,0,0.820833333,1,0
919141513,116,0,0.741666667,1,0
919565597,135,1,0.875,1,0
918131003,125.5,4,0.870833333,1,1
920758212,137.5,1,0.895833333,1,1
919508059,114.5,1,0.704166667,1,1
920626001,107,2,0.666666667,1,1
918569552,134.5,5,0.895833333,1,#N/A
919809499,118,11,0.833333333,1,1
920042229,138,1,0.9,1,1
918726780,65.5,1,0.395833333,1,1
921013626,107,1,0.666666667,1,#N/A
920502196,111,0,0.675,1,0
918612056,138,1,0.9,1,0
921314639,127,3,0.883333333,1,1
918203290,120.5,6,0.804166667,1,1
920677034,119,1,0.791666667,1,0
918187756,138,2,0.9,1,0
920978924,123,1,0.775,1,0
920775172,128.5,3,0.870833333,1,1
921033127,61,1,0.383333333,1,1
920545603,81.5,4,0.529166667,1,1
919812237,120.5,1,0.779166667,1,#N/A
918530662,138,1,0.95,1,1
921374682,139,2,0.908333333,1,0
920563892,133.5,2,0.8625,1,1
920487376,123,5,0.825,1,0
920562767,126,3,0.8,1,1
920154214,138,1,0.9,1,0
921476739,103,1,0.683333333,1,1
920049086,120,0,0.775,1,0
918772653,136.5,0,0.9375,1,#N/A
919358047,90,1,0.575,1,1
918769048,110,1,0.716666667,1,0
920031094,101.5,0,0.745833333,1,0
919151228,96.5,2,0.579166667,1,0
919794151,115.5,0,0.7875,1,1
919340767,99.75,1,0.60625,1,#N/A
919971291,131,3,0.891666667,1,0
918634995,130,2,0.858333333,1,0
921000435,130,0,0.833333333,1,0
918767037,128.5,3,0.920833333,1,1
919278596,119.5,1,0.820833333,1,1
920751552,129,2,0.9,1,1
920984293,98,0,0.641666667,1,0
921220846,121.5,7,0.8375,1,1
918275626,118.25,0,0.802083333,1,0
919245338,108,3,0.7,1,1
921327419,138.25,2,0.927083333,1,0
920602818,128,0,0.941666667,1,1
920076059,71.5,2,0.470833333,1,1
919594131,96.75,0,0.63125,1,#N/A
921066534,117.75,1,0.80625,1,0
921117454,121.5,1,0.8125,1,1
918525525,139,0,0.983333333,1,1
919355121,145.5,0,0.9625,1,#N/A
919958874,97.25,4,0.685416667,1,0
918291723,129.25,0,0.852083333,1,#N/A
918803315,119.25,0,0.84375,1,1
919496336,84.75,1,0.58125,1,#N/A
921504261,126,0,0.825,1,0
918436504,105.25,1,0.677083333,1,#N/A
917337099,122,1,0.791666667,1,1
919544110,131.5,0,0.870833333,1,1
919528990,133.5,2,0.9375,1,1
920967469,102.5,1,0.679166667,1,0
920505782,124,7,0.883333333,1,1
921380320,130.5,1,0.9375,1,1
920181258,131,1,0.866666667,1,1
920462197,116,2,0.816666667,1,0
920495805,102.25,0,0.702083333,1,0
919385654,115,1,0.783333333,1,1
920848753,128,1,0.891666667,1,#N/A
917362242,110.5,0,0.770833333,1,0
919246418,120.5,1,0.804166667,1,0
918656012,93.75,0,0.63125,1,#N/A
918738516,95.5,0,0.645833333,1,#N/A
919832301,135.25,3,0.902083333,1,0
918479587,126.5,3,0.879166667,1,1
920780219,128.5,1,0.945833333,1,0
921000655,109.5,1,0.7875,1,1
921205696,139,1,0.933333333,1,0
918533669,140.25,3,0.96875,1,1
920958135,133,3,0.908333333,1,1
919864667,72.5,1,0.404166667,1,1
919329539,144.5,4,0.954166667,1,1
920062843,130.75,1,0.864583333,1,0
920506710,143.5,3,0.970833333,1,0
920901289,112.75,0,0.689583333,1,0
920436534,139.75,1,0.964583333,1,1
921390556,106.25,0,0.710416667,1,0
918471718,116.75,6,0.822916667,1,1
918680305,113.5,1,0.770833333,1,0
920878008,145.5,2,0.9625,1,0
919951839,98,2,0.666666667,1,1
919195459,126.25,3,0.877083333,1,1
919282184,92,1,0.641666667,1,1
919986590,112.25,2,0.735416667,1,1
918552103,115.25,1,0.735416667,1,1
920488993,98.5,1,0.7125,1,0
919986082,134.25,1,0.86875,1,1
921096656,105.5,4,0.770833333,1,0
919860519,139,4,0.95,1,1
915435469,117.5,0,0.754166667,1,0
918550338,125.25,0,0.91875,1,0
919905432,133.5,1,0.9125,1,1
921123901,116.5,1,0.845833333,1,1
919711558,131,2,0.866666667,1,1
920654028,130.75,1,0.864583333,1,0
921252173,93,2,0.65,1,0
921187471,112,0,0.808333333,1,0
919745236,114,2,0.891666667,1,0
921168791,134,0,0.891666667,1,1
918509156,138.75,1,0.90625,1,1
919296484,125,0,0.816666667,1,#N/A
920041576,136,1,0.95,1,1
918845917,137.5,1,0.920833333,1,0
920544484,138.5,2,0.979166667,1,1
920760365,80.5,0,0.470833333,1,#N/A
920521889,120.5,1,0.779166667,1,1
921395182,110.75,0,0.722916667,1,0
918216504,129.25,1,0.94375,1,#N/A
916873842,74,3,0.541666667,1,0
921029953,98.75,1,0.697916667,1,1
919787061,137,2,0.916666667,1,1
919705946,134.25,1,0.89375,1,1
916070386,110.5,0,0.7875,1,#N/A
920023549,113,1,0.716666667,1,0
918210092,138,2,0.9,1,1
919987023,127.25,1,0.860416667,1,0
921485830,110.5,0,0.795833333,1,0
919503889,146.5,1,0.970833333,1,0
920649075,125.25,0,0.89375,1,0
917985726,149,4,0.991666667,1,0
919783609,90.5,3,0.629166667,1,#N/A
919734593,109,0,0.683333333,1,0
919211304,131.25,2,0.84375,1,1
919578937,108.75,1,0.78125,1,1
919722259,92.5,2,0.645833333,1,1
919802470,95.5,0,0.695833333,1,0
919716391,147.25,1,0.977083333,1,1
917421882,122.25,1,0.86875,1,#N/A
920053373,88.75,0,0.539583333,1,1
918166793,101.25,0,0.69375,1,0
921157935,73.5,0,0.4625,1,0
920003983,79.5,0,0.504166667,1,0
920896983,131.5,3,0.870833333,1,1
918245847,93,4,0.6,1,#N/A
920041136,126,2,0.866666667,1,0
918460949,115,0,0.758333333,1,1
919359509,105.25,1,0.702083333,1,0
918717799,85,0,0.558333333,1,0
916473734,64,0,0.433333333,1,0
918193355,107.75,0,0.697916667,1,0
916556606,119.75,0,0.797916667,1,0
919796366,90,0,0.5,1,0
921241692,103,2,0.683333333,1,0
918306281,126,2,0.85,1,0
919380662,141.25,1,0.927083333,1,0
919520846,119.75,5,0.797916667,1,1
921034838,130.5,1,0.8625,1,1
920646094,123.75,4,0.83125,1,1
920477865,133.75,0,0.889583333,1,#N/A
919525951,131.75,1,0.897916667,1,0
919813414,144,2,0.975,1,0
919596375,109.75,2,0.764583333,1,1
919380086,121,1,0.833333333,1,1
918444761,110.75,0,0.747916667,1,#N/A
919408081,119.5,1,0.745833333,1,0
917986822,94.5,2,0.6875,1,0
920592504,89.75,1,0.597916667,1,#N/A
921361527,138.75,1,0.93125,1,#N/A
918328780,133.25,1,0.910416667,1,0
920777060,144.25,9,0.952083333,1,1
918583017,134.75,3,0.872916667,1,1
919595813,114.25,0,0.727083333,1,1
919942877,113.75,0,0.747916667,1,#N/A
920475469,131.25,4,0.86875,1,#N/A
919278033,139.5,1,0.9125,1,0
920766615,134.5,2,0.920833333,1,1
918641454,85,0,0.583333333,1,1
918841791,112,3,0.758333333,1,1
921049593,138,1,0.925,1,0
918129510,112.25,0,0.735416667,1,0
920798641,125,0,0.841666667,1,0
920517110,111.75,6,0.78125,1,1
920512814,134.5,2,0.895833333,1,1
920795518,135.5,0,0.904166667,1,#N/A
918817275,130.25,0,0.835416667,1,1
920919569,95.5,0,0.720833333,1,#N/A
920952225,92.25,0,0.61875,1,0
921256292,94.25,0,0.585416667,1,#N/A
921235174,73,1,0.483333333,1,1
921438764,130.5,0,0.9125,1,1
918090131,79.75,0,0.539583333,1,#N/A
920085752,130.5,2,0.8625,1,0
920112191,132,0,0.95,1,1
917441354,81.5,0,0.504166667,1,1
920896103,110.25,1,0.71875,1,0
918237525,106.75,3,0.689583333,1,#N/A
919180192,97,0,0.608333333,1,0
919332652,118.75,2,0.839583333,1,1
918824970,119,0,0.841666667,1,1
918319773,132.75,1,0.88125,1,1
919337291,111.5,1,0.754166667,1,0
918318790,108.5,2,0.779166667,1,0
921406084,71.5,0,0.445833333,1,#N/A
919942880,123.5,2,0.829166667,1,0
921315269,119,2,0.816666667,1,1
920803785,136.25,1,0.935416667,1,#N/A
918687528,121,0,0.808333333,1,1
919928969,69.25,0,0.427083333,1,#N/A
918588300,106,0,0.733333333,1,0
921326070,136.75,2,0.914583333,1,0
919254565,70.5,0,0.4625,1,#N/A
918333241,133.25,1,0.910416667,1,0
918193928,124.5,0,0.8625,1,#N/A
920029789,142.25,3,0.960416667,1,#N/A
920486940,105.75,0,0.75625,1,0
918030418,107.5,1,0.695833333,1,#N/A
919335387,108.75,0,0.78125,1,#N/A
919337563,126.5,0,0.854166667,1,0
919426270,121,4,0.808333333,1,0
917527498,122.75,0,0.872916667,1,0
919176627,88.25,1,0.585416667,1,1
919361571,38.5,0,0.270833333,1,1
919153488,139,1,0.908333333,1,0
918326724,128,1,0.866666667,1,0
918054805,122.75,0,0.797916667,1,1
917420294,129,1,0.825,1,0
921316857,137.25,1,0.91875,1,1
920524873,132.25,2,0.927083333,1,1
920674639,138,5,0.9,1,1
918106892,71.5,5,0.470833333,1,1
919410574,117,6,0.825,1,1
918525347,123.25,1,0.852083333,1,0
919602285,125.75,1,0.847916667,1,1
917076978,137.25,0,0.94375,1,#N/A
919551925,121.75,0,0.839583333,1,1
919602324,121.5,1,0.8625,1,1
919495159,113,1,0.791666667,1,1
920834961,137.75,1,0.897916667,1,0
920661600,110.75,1,0.772916667,1,1
919609314,118.5,8,0.879166667,1,0
921341534,113.25,0,0.76875,1,0
919454996,100,1,0.708333333,1,0
920985496,139.25,0,0.935416667,1,1
919874372,131,0,0.916666667,1,#N/A
918570583,95.75,0,0.672916667,1,0
920665936,131,1,0.891666667,1,0
920529140,76,0,0.458333333,1,#N/A
918318295,133.25,1,0.885416667,1,#N/A
918770231,123.25,0,0.852083333,1,0
919544136,118.75,1,0.914583333,1,0
919793974,134.25,0,0.89375,1,0
919926411,91,0,0.558333333,1,0
920852930,107.75,1,0.747916667,1,1
919445141,107.25,0,0.74375,1,#N/A
918402266,131,0,0.975,2,0
921185745,122.5,0,0.904166667,2,1
919335387,121,0,0.891666667,2,#N/A
919927643,137.5,0,1.045833333,2,0
920076868,114,0,0.85,2,0
919542934,128.5,3,0.954166667,2,1
917527498,107,0,0.775,2,0
919528990,143.75,1,1.08125,2,1
918176974,133.5,1,1.0125,2,1
921125860,127,0,0.941666667,2,1
920985043,79.75,0,0.58125,2,0
920916669,132.5,3,0.9875,2,1
920893656,125.5,0,0.9625,2,0
919385654,126.5,0,0.9875,2,1
920140493,64,1,0.466666667,2,0
918656012,103,0,0.791666667,2,#N/A
921205696,137.25,4,1.027083333,2,0
918738516,103.5,0,0.8125,2,#N/A
919396643,141.5,3,1.0625,2,0
918456694,97.75,1,0.697916667,2,0
918014638,118.5,1,0.920833333,2,1
919560149,96.5,0,0.704166667,2,0
920656013,133,0,0.991666667,2,1
919282184,92.25,2,0.685416667,2,1
920751552,119.5,0,0.879166667,2,1
918752987,89.25,0,0.64375,2,1
921168791,141.75,0,1.064583333,2,1
919905432,118.5,2,0.8875,2,1
920693704,123.25,0,0.910416667,2,1
919711558,128.5,2,0.954166667,2,1
919200742,109,1,0.808333333,2,#N/A
919245532,91.75,0,0.68125,2,1
919296484,124.5,0,0.9375,2,#N/A
919743843,99.5,0,0.729166667,2,1
920521889,128.75,3,0.95625,2,1
920816251,125.75,1,0.93125,2,0
921395182,61.5,0,0.4625,2,0
919356890,110.75,3,0.839583333,2,1
921094205,132.75,1,0.989583333,2,0
921029953,95,0,0.691666667,2,1
920646094,122.75,5,0.939583333,2,1
918203290,122.25,2,0.902083333,2,1
921049593,134.75,0,1.00625,2,0
920677034,133,0,1.008333333,2,0
920073243,104.25,1,0.76875,2,0
919976364,124.25,2,0.935416667,2,1
918187756,116.5,0,0.904166667,2,0
920154214,122.5,2,0.904166667,2,0
919214738,145.5,1,1.095833333,2,0
918460949,105.25,1,0.777083333,2,1
920563892,124,2,0.933333333,2,1
920639205,121,1,0.891666667,2,1
921374682,135,5,1.008333333,2,0
920727285,119.75,4,0.88125,2,1
919609314,118.5,1,0.904166667,2,0
920661600,121.75,2,0.897916667,2,1
921138679,129,3,0.958333333,2,1
918275626,106.5,0,0.7875,2,0
918770231,116.5,0,0.8875,2,0
918453477,113,0,0.841666667,2,1
919278596,133.75,0,0.997916667,2,1
921000435,122,1,0.9,2,0
918572947,124.5,1,0.970833333,2,1
919452312,109.75,0,0.83125,2,0
918638108,105.5,1,0.779166667,2,1
918523200,106.75,3,0.80625,2,0
920958135,124,10,0.916666667,2,1
921256292,110,2,0.8,2,#N/A
917029022,130,2,0.983333333,2,1
918888411,136.5,0,1.020833333,2,0
915331327,91.75,0,0.664583333,2,#N/A
921438764,116.25,1,0.852083333,2,1
919329539,133,8,0.991666667,2,1
921000655,111.5,0,0.8125,2,1
919151655,97,0,0.725,2,0
917441354,77.5,0,0.545833333,2,1
918319773,128.75,2,0.95625,2,1
920901289,137,0,1.041666667,2,0
921437600,94.5,3,0.6875,2,1
919337291,110.75,1,0.822916667,2,0
918166667,148.75,2,1.122916667,2,1
918552365,116.25,3,0.852083333,2,1
919942880,139.5,1,1.045833333,2,0
918680305,116.25,2,0.885416667,2,0
918147097,124.75,0,0.922916667,2,1
920611003,118.75,2,0.90625,2,1
919590436,122.5,2,0.904166667,2,1
919813414,137,1,1.041666667,2,0
918131003,125.75,1,0.93125,2,1
919408081,117.75,1,0.864583333,2,0
919283989,99.5,1,0.729166667,2,#N/A
917986822,109,1,0.825,2,0
920728572,133.125,2,1.002083333,2,1
921399311,97,0,0.725,2,0
919661873,113.5,0,0.829166667,2,#N/A
921361527,129,1,0.958333333,2,#N/A
918569552,128,1,0.95,2,#N/A
919770609,67,2,0.491666667,2,1
919783609,99.25,2,0.727083333,2,#N/A
919595813,115,1,0.858333333,2,1
920475469,140.5,2,1.054166667,2,#N/A
920502196,129,0,0.975,2,0
918824970,109.25,0,0.84375,2,1
919544136,111.25,2,0.827083333,2,0
920834961,142.5,7,1.070833333,2,0
919359509,109.5,1,0.8125,2,0
919602285,142,1,1.083333333,2,1
919791426,110.75,0,0.822916667,2,#N/A
919330094,141.25,1,1.077083333,2,1
919874372,132.75,1,0.989583333,2,#N/A
919692871,139,1,1.041666667,2,1
920665936,138,1,1.05,2,0
921327419,132,1,0.983333333,2,0
920447044,134.5,3,1.0375,2,0
919793974,146,1,1.1,2,0
918318295,137.75,1,1.064583333,2,#N/A
919958874,120.25,3,0.902083333,2,0
919914232,126.75,1,0.939583333,2,0
918767037,117.25,2,0.877083333,2,1
920029789,142.5,5,1.070833333,2,#N/A
921444606,61.25,0,0.49375,2,#N/A
918193928,114.5,0,0.8375,2,#N/A
916063005,92.75,0,0.70625,2,1
918803315,116,0,0.85,2,1
917474059,126.5,1,0.954166667,2,0
920486940,81,1,0.558333333,2,0
918030418,107.75,2,0.797916667,2,#N/A
920014105,123.25,1,0.910416667,2,#N/A
921341848,101.5,0,0.745833333,2,#N/A
920475430,141.75,4,1.064583333,2,1
919023259,131,1,0.975,2,0
920035003,123.75,0,0.93125,2,#N/A
920967469,114.25,0,0.86875,2,0
920529409,141.25,1,1.060416667,2,0
919176627,103.25,2,0.777083333,2,1
918318790,122.75,1,0.90625,2,0
921504261,119.75,1,0.897916667,2,0
921380320,111.25,0,0.84375,2,1
917420294,137.5,0,1.029166667,2,0
917069862,79.75,1,0.58125,2,1
921361129,130.75,1,0.972916667,2,1
921177261,130.5,1,0.970833333,2,1
918054805,115.75,0,0.88125,2,1
920887442,138,5,1.033333333,2,0
919725418,101,0,0.758333333,2,0
919699573,135.75,1,1.014583333,2,1
919410574,135,8,1.008333333,2,1
917362242,114.25,1,0.86875,2,0
918525347,136.25,1,1.01875,2,0
919180464,122.25,1,0.935416667,2,1
920758351,143.25,0,1.077083333,2,0
921269629,83.5,2,0.595833333,2,0
919530917,122,1,0.9,2,0
921235174,125,0,0.958333333,2,1
920062843,118.5,1,0.8875,2,0
918237525,108.5,3,0.7875,2,#N/A
919948172,101,1,0.741666667,2,0
920896103,138.5,0,1.054166667,2,0
920758814,140.25,1,1.06875,2,1
919918429,132.5,1,0.9875,2,#N/A
919986082,133.75,1,1.014583333,2,1
915435469,106.5,0,0.770833333,2,0
918144472,134.25,2,1.01875,2,0
921165862,128.5,0,0.970833333,2,1
918333429,95.75,4,0.73125,2,1
921123901,119.75,3,0.914583333,2,1
921252173,99.75,1,0.714583333,2,0
920577927,138,1,1.033333333,2,0
919598360,143.75,1,1.08125,2,1
918509156,132,1,0.983333333,2,1
916561057,132.75,0,0.989583333,2,1
919625589,76.25,0,0.535416667,2,#N/A
919796366,81.5,0,0.579166667,2,0
921345608,64.75,4,0.45625,2,0
918193355,112,0,0.816666667,2,0
920566462,98.25,1,0.702083333,2,1
921392813,133.5,1,1.0125,2,1
920522338,123.25,3,0.910416667,2,#N/A
916873842,106.25,1,0.785416667,2,0
920544484,141.5,5,1.0625,2,1
919787061,141.5,3,1.0625,2,1
917288643,88.5,0,0.6375,2,#N/A
919596375,65.25,4,0.460416667,2,1
918444761,112,0,0.85,2,#N/A
919508059,133.5,0,1.0125,2,1
919987023,121,1,0.925,2,0
919503889,143.75,2,1.097916667,2,0
920626001,96.75,4,0.70625,2,1
921485830,130,0,0.983333333,2,0
920649075,119.25,0,0.89375,2,0
919809499,132,4,0.983333333,2,1
918641454,89,0,0.658333333,2,1
918583017,137.75,1,1.047916667,2,1
918281005,132.5,0,1.004166667,2,0
919688636,137.75,0,1.03125,2,1
919490633,108.75,2,0.822916667,2,1
921157935,96.25,0,0.702083333,2,0
918817275,105,0,0.791666667,2,1
920101885,118.25,0,0.902083333,2,0
920890235,140.75,3,1.05625,2,0
920795518,111,3,0.825,2,#N/A
919757415,105.25,0,0.777083333,2,#N/A
918245847,90.75,0,0.689583333,2,#N/A
917076978,134.75,1,1.022916667,2,#N/A
920661066,143.75,1,1.08125,2,1
921033127,74.25,0,0.56875,2,1
919551925,124,0,0.916666667,2,1
918530662,117.5,1,0.879166667,2,1
919623138,126.75,3,0.95625,2,#N/A
919386022,109.5,1,0.795833333,2,#N/A
919750807,139.25,1,1.04375,2,#N/A
919881239,115,2,0.858333333,2,0
920482533,71.75,1,0.514583333,2,1
919667178,115.5,1,0.8625,2,1
916748430,130,0,0.983333333,2,0
920656424,145,1,1.091666667,2,1
919684805,135.75,0,1.03125,2,#N/A
920916630,113,3,0.858333333,2,0
919385463,142.25,1,1.06875,2,1
919173934,143.25,0,1.077083333,2,1
921180177,144.75,3,1.10625,2,1
920489617,123.75,1,0.93125,2,1
918682112,131.25,2,0.977083333,2,#N/A
915836301,137.5,2,1.045833333,2,#N/A
920179147,107.5,2,0.795833333,2,1
919496336,74,2,0.533333333,2,#N/A
918436504,112,0,0.816666667,2,#N/A
921393838,134,1,1,2,0
918802303,87.75,0,0.647916667,2,1
919716391,127.5,5,0.945833333,2,1
921072832,145.25,1,1.09375,2,#N/A
919337563,123,0,0.925,2,0
919573149,109,0,0.791666667,2,#N/A
919426270,145,2,1.091666667,2,0
920435894,116.25,2,0.86875,2,1
919415469,90.5,0,0.670833333,2,#N/A
917337099,129.75,1,0.964583333,2,1
921316857,133.25,0,0.99375,2,1
919153488,146.5,2,1.104166667,2,0
919361571,62.75,1,0.472916667,2,1
917214277,141.5,2,1.0625,2,#N/A
920674639,143,3,1.075,2,1
920524873,117.25,4,0.89375,2,1
921300973,103.5,0,0.7625,2,0
919859520,94.5,0,0.6875,2,0
918106892,103,7,0.758333333,2,1
920848753,108.25,3,0.785416667,2,#N/A
918722483,128.25,1,0.96875,2,1
920858390,117,1,0.875,2,0
918533669,127.5,1,0.945833333,2,1
919194104,80.75,1,0.60625,2,1
921328243,121,1,0.908333333,2,#N/A
920085752,132.25,3,0.985416667,2,0
920112191,114.5,1,0.8375,2,1
920929339,130.25,1,0.985416667,2,0
916855734,146.75,2,1.10625,2,1
919499142,129,7,0.958333333,2,1
919938865,84.75,2,0.639583333,2,1
919169883,146.25,0,1.102083333,2,0
920488993,104.25,0,0.802083333,2,0
919986590,124.75,1,0.922916667,2,1
919951839,110.25,1,0.81875,2,1
920803785,147,1,1.108333333,2,#N/A
921315269,117.5,3,0.8625,2,1
921492506,106,3,0.783333333,2,0
921066877,106.5,1,0.7875,2,0
918552103,113.5,3,0.845833333,2,1
918166353,137.25,1,1.027083333,2,0
919195459,130.75,1,0.989583333,2,1
918687528,131.25,0,0.977083333,2,1
918546601,128.5,0,0.954166667,2,1
921058432,140.5,1,1.054166667,2,0
919049974,120.5,1,0.8875,2,#N/A
918550338,134.25,0,1.002083333,2,0
919246641,119.25,0,0.877083333,2,0
920654028,136.75,1,1.039583333,2,0
921326070,135.5,4,1.0125,2,0
