anon_id,views,h0,h1,h2,pv_op,ov_op,claim_ex,temp,alt_ex,interpret
113553,1,1,5,2,0,4,5,4.5,3,0
274235,3,5,4.5,5,0,7,5,0,7,6.5
868195,1,4.5,4.5,5,10,10,10,10,8,6.5
929062,2,4,5,5,10,9,10,10,8,6.5
316719,3,5,5,5,10,10,10,10,9.75,6.5
660431,7,5,3.5,5,9,10,10,5,10,7
751500,4,4,5,5,9,8,10,10,8,8
781433,1,5,3.5,2,0,0,5,0,0,6.5
354057,2,5,5,5,8,10,10,10,8,9.5
776965,3,5,2,4.5,7,5,10,0,8,6.5
936964,15,5,4.5,5,0,4,2.5,0,0,8
618706,6,5,4,5,8,10,5,6,10,6.5
568721,2,4.5,5,4.5,7.5,9.5,10,5,0,6.5
298429,7,4,5,4,9,10,5,6,10,8
829820,0,5,5,5,10,10,10,6,8,8
214276,5,2,2,2,8,10,10,0,0,8
841390,5,4,5,4,8,10,10,10,0,0
825875,2,5,0,5,10,9.5,5,5,9,6.5
324553,3,4,4.5,5,9,10,5,9,5,6.5
681486,1,5,5,5,0,7,5,10,9,6.5
469937,2,5,5,5,10,9.5,5,10,10,0
711460,0,5,5,5,10,10,10,10,9,8
122746,3,5,4,5,10,10,10,8,8,6.5
117848,8,5,3.5,5,4,4,10,9,0,10
370790,3,3,5,5,6,10,10,10,8,10
700506,0,5,4.5,5,10,10,10,10,9,8
951938,1,5,5,3.5,8,9,10,0,8,6.5
465537,1,4.5,5,4.5,7,9,5,0,8,0
221844,2,4.5,5,5,6,10,10,9.5,8,7
852104,3,5,5,5,5,9.5,10,7,9,6.5
533181,1,4,5,5,0,0,10,0,0,6.5
132340,3,4,4.5,5,5,6.5,10,6,8,7
978499,5,5,3.5,5,6.5,8.5,0,9,8,0
958843,2,3.5,4.5,4.5,5,2.5,0,10,9,0
453529,2,3,5,5,7.5,2.5,10,9,9,8
364560,1,4,0,5,6,2.5,10,6,7,8
666059,0,4.5,4,5,10,5,10,10,8,8
919266,8,5,3.5,5,8,5,5,2,6,6.5
822752,5,5,4.5,5,7.5,5,10,6,0,8
471494,3,5,5,5,10,5,10,8,10,8
920816,5,5,5,5,1,5,10,0,8,6.5
574860,4,5,4.5,5,8,5,10,2,0,8
361425,5,5,5,5,8,5,10,10,10,8
#N/A,0,4,5,4.5,8,5,10,0,9,6.5
886232,1,5,5,5,0,0,5,6,7,8
427397,2,4,5,4.5,8,5,5,0,8,0
189428,3,3,4.5,5,10,5,10,10,8,0
448698,0,4.5,5,3.5,8,5,5,0,7,6.5
937053,12,5,5,5,10,5,10,5,10,6.5
970613,0,4,4.5,5,8,2.5,10,0,0,0
617396,2,5,5,5,6,5,10,10,8,7
124704,3,3,2,5,0,5,10,4,0,8
165680,3,3.5,0,5,0,2.5,5,5,0,0
820879,3,3.5,4.5,4.5,8,2.5,10,10,7,6.5
819157,4,4.5,5,5,3.5,5,5,8,8,0
224768,6,5,4.5,5,0,5,10,4,0,6.5
708858,6,4,0,2,0,2.5,5,0,7.5,1.5
297437,5,5,5,4,8,5,5,10,3,8.5
294860,2,5,3.5,5,6,5,5,6,7.75,0
806967,5,5,5,5,8,5,10,10,10,8
882657,0,5,5,5,2,5,10,6,3,6.5
756469,1,3.5,5,5,8,5,10,0,6.5,0
819135,5,4,0,5,7.5,5,10,8,9,8.5
850664,3,4,0,4.5,2,2.5,5,9,0,8
191876,7,5,0,5,5,5,10,10,7,6.5
324135,1,4,4.5,5,8,5,5,10,8,6.5
976464,2,5,5,5,8,5,10,6,8,8.5
635780,5,4,0,5,0,5,5,0,0,6.5
711072,7,5,2,5,5,2.5,10,10,7,6.5
736790,3,4.5,0,5,8,5,10,10,9,6.5
927645,2,5,5,4,6.5,5,10,0,0,6.5
808404,3,4,2,2,2,0,5,5,0,0
266782,4,5,0,5,7,5,10,10,8,1.5
190892,0,4.5,4.5,4,8,2.5,5,6,0,0
398075,2,5,2,5,8,5,10,0,3,0
514088,2,4.5,5,4,7.5,5,10,10,1,6.5
126548,4,5,3.5,5,5,5,5,10,9,6.5
231177,2,3,5,5,8,5,10,6,9,8
370378,6,5,4.5,5,0,5,10,5,8,0
704993,0,4,0,5,8,5,10,0,8,6.5
570810,8,5,5,5,10,5,5,0,0,6.5
887391,2,4.5,4.5,4.5,8,5,10,10,8,8
841731,3,4,5,5,8,5,10,10,0,0
485565,0,5,3.5,5,7,5,10,5,6,8
#N/A,0,4,5,4,7,2.5,5,0,8,0
739544,3,5,5,5,8,5,10,10,10,7
562658,2,4,3.5,5,7,5,10,0,8,7
298840,4,5,4,2,6.5,5,5,4,0,0
484728,0,4.5,3.5,5,8,5,5,10,7,7
700441,6,3,1,4,0,0,5,6,0,8
306957,6,5,3.5,5,10,5,5,10,8,0
611968,2,4.5,0,2.5,8,2.5,5,0,0,0
176796,7,3,3.5,5,8,5,5,9,10,0
311227,0,5,0,5,5.5,5,10,0,0,6.5
783300,1,5,4.5,5,8,5,10,6,6,0
483406,1,4.5,5,4,6.5,5,10,5,0,6.5
864689,2,5,3.5,5,6.5,5,10,10,9,8
543411,5,5,4,5,8,5,10,6,8,6.5
907718,1,5,5,5,8,5,10,10,8,1.5
780786,1,4.5,0,4.5,7,5,10,3,7,7
277425,6,5,2,2,8,2.5,10,0,8,0
282845,6,5,5,5,10,5,10,10,8,0
637438,12,4.5,5,5,8,5,10,6,8,0
115362,1,5,4.5,5,10,5,10,4,8,6.5
422809,5,4.5,5,5,0,0,5,0,0,0
815620,1,4,4.5,2,8,5,5,5,4,6.5
216877,0,5,4.5,5,6,2.5,10,0,8,0
946128,2,4.5,5,5,6,5,10,10,8,6.5
613766,7,5,4.5,5,9,5,10,2.5,7,8
768234,7,5,5,5,9,5,10,0,8,0
141625,1,4.5,0,5,7,5,10,0,8,6.5
652357,3,5,4.5,4.5,6,5,10,8,9,8
205809,1,4.5,0,5,8,2.5,10,6,3,6.5
505593,6,5,0,5,9,5,10,5,9,6.5
752695,3,0,0,3,4,2.5,5,0,4,6.5
356382,6,5,2,5,7,5,5,0,0,0
946353,6,5,5,5,8,5,10,5,8,8
785013,4,5,5,5,10,5,10,10,7,7
288842,3,4,3,4,10,2.5,10,10,10,8
652942,2,5,4.5,5,6,5,10,4,8,8
589905,5,5,5,5,8,5,10,10,8.5,0
714184,4,4.5,5,4.5,8,5,10,10,0,6.5
671655,1,3.5,4.5,4.5,7,5,10,10,7,6.5
497496,4,4.5,3.5,4,4.5,5,7.5,6,0,6.5
721359,2,4.5,5,5,8,5,10,4,0,6.5
560484,2,5,5,4.5,7,5,10,10,8,8
627572,5,5,2,5,6,5,10,0,9,0
820889,2,4.5,5,5,7,5,7.5,0,7,0
127794,1,4.5,5,5,8.5,5,10,0,5,1.5
449769,3,4.5,4.5,5,7,5,5,0,7,0
766084,3,5,0,2,7,5,10,10,0,6.5
643893,9,4,5,2,6,2.5,10,10,6.75,0
205295,7,5,0,5,6,5,10,10,10,8
758184,5,5,5,5,8,5,10,0,8,7
190818,1,3.5,0,5,6,5,10,10,8,7
980127,6,5,5,5,10,5,10,9,3,8.5
392584,2,5,5,5,6,5,10,4,7,6.5
620808,5,5,4.5,2,9,5,10,6,8,8.5
785732,0,2,4.5,4.5,7.5,2.5,10,0,10,6.5
354907,7,5,5,5,10,8,5,10,8,9.5
868090,1,3,5,5,8,8,10,9,7.75,8
482126,3,5,5,5,8.5,9,5,5,9,0
706979,2,5,5,5,10,7,10,10,9.75,9.5
678041,0,5,5,5,9,6.5,10,10,9,8.5
805441,9,2,5,3,8.5,4.5,0,2,4,8
#N/A,0,5,5,5,8,7.5,0,0,4.75,8
352138,6,4,5,5,9,6,5,7.5,9.75,8
802878,3,4,4,3,10,7.5,10,8,10,8.5
177840,0,5,5,5,9.5,10,10,10,9,9.5
957384,1,5,5,3,9.5,8.5,10,10,10,9.5
458187,6,3,3,3,4.5,0,10,6,9.75,8
#N/A,0,4,5,5,9,7.5,10,10,9.75,9.5
566878,0,4,4,4,10,10,10,0,9.75,9.5
590181,1,0,5,5,9.5,3.75,10,0,0,6.5
142556,1,3,5,5,9,10,5,10,8,1.5
158549,1,4,5,5,8,5.75,0,0,8,8
151246,1,5,5,5,9.5,4,10,9.5,10,9.5
557781,2,5,5,5,10,6,10,10,10,8.5
780541,3,5,5,5,8.5,9,10,10,10,10
583798,1,4,5,5,8,10,5,8,0,1.5
243610,8,5,5,5,9.5,9.5,10,8,10,1.5
187671,1,5,5,5,10,9,10,10,9,9.5
109338,1,4,3,5,9.5,8.25,10,9,9.75,8
742806,2,5,5,5,9.5,9,5,10,9,8
975639,0,0,5,5,8,10,5,9.5,9.75,7
553565,3,5,5,5,9.5,3,5,10,0,6.5
352012,5,5,5,5,9,6.25,10,10,9.75,7
460606,5,5,2,5,7.5,10,5,0,10,8
186775,2,5,5,4,10,7,5,10,5,8
866180,0,4,5,5,8,5.75,7.5,0,3,8
107302,0,2,5,4,8.5,6.5,7.5,0,6,8.5
426634,3,5,5,5,8,8.5,10,10,9.75,9.5
980472,6,4,5,5,9.5,7.75,10,10,9.75,9.5
634523,1,5,5,5,10,9,10,10,5,9.5
388918,4,3,4,3,10,9,10,0,10,8
517181,4,5,5,5,10,8.5,10,10,10,8.5
873291,4,5,5,5,9,8,10,10,9.75,9.5
789281,4,5,5,5,9.5,6.5,10,10,10,8
357577,1,0,3,3,7,0.5,7.5,0,0,8
496293,12,5,5,5,9.5,10,10,8,9,8
134149,1,5,5,5,9,9.5,10,4,9.75,1.5
207486,3,5,5,5,9,8,10,10,10,9.5
925742,0,4,5,5,5.5,9,2.5,0,9.75,9.5
676277,1,5,5,5,10,8,10,10,9.75,8
293634,0,4,5,4,9.5,5.75,10,0,0,9.5
392325,7,4,5,5,9,7.5,10,8,9.75,8
193857,5,4,5,5,9.5,4.5,5,8,8,8.5
530411,7,5,5,5,10,8.5,10,10,10,9.5
805091,5,5,5,5,10,6,10,0,0,1.5
664851,5,4,5,5,9.5,10,5,10,9.75,9.5
130380,2,2,4,5,10,0.5,10,0,0,8
265323,5,4,5,5,7.5,9.5,5,10,9.75,0
587423,3,4,5,5,9,7,5,8,9.75,8
254596,1,4,4,5,9.5,8,10,0,7,8
863924,3,5,5,5,8,8.5,5,10,9.75,8
776985,5,5,5,5,8,7.5,10,0,4,8
378876,4,5,5,5,10,9,10,7,10,8
223333,0,5,5,5,9.5,5.5,5,6,5,9.5
229553,0,5,5,5,9,8,10,4,9.75,9.5
431825,6,5,5,5,9.5,6.5,10,9,10,9.5
806039,6,5,5,5,9.5,5,10,10,10,9.5
689023,6,4,4,5,9.5,6.25,10,10,9.75,8
437305,2,4,5,5,9.5,5,10,10,9.75,8
849990,2,5,5,5,8.5,7.5,5,0,3,1.5
273032,0,5,2,5,8.5,3,10,10,8,8
488889,4,5,5,5,9,3.5,10,10,5,9.5
167773,1,4,5,5,10,6.25,10,10,9.75,9.5
100915,1,5,5,5,9.5,8.5,10,9.5,9.75,6.5
623912,1,3,5,5,9.5,8.75,10,4,9.75,8
970240,2,5,5,3,9.5,9.5,10,10,10,9.5
416172,1,5,5,5,9.5,6.75,10,10,9.75,9.5
646067,5,5,5,5,10,10,10,10,8,9.5
#N/A,0,3,5,5,9,6,0,0,7,1.5
323214,1,4,5,5,8,6.5,10,0,8,9.5
685171,0,0,5,5,7,6.5,5,6,9.75,8
880562,5,5,5,5,9,8,10,9.5,9.75,9.5
862239,4,5,5,5,9,6,5,0,0,0
338073,2,4,5,3,8,3.75,10,0,3,9.5
669717,2,5,5,5,8.5,9.5,10,10,10,9.5
878824,3,4,5,5,8,10,10,10,9.75,8
840840,0,5,4,5,8,7.5,5,10,7,8
980357,3,4,5,5,8,8.5,5,2,3,8
197878,3,5,5,5,9.5,4.25,10,10,9.75,9.5
326394,1,5,5,5,10,10,5,4,9.75,9.5
868406,0,5,5,3,8,10,5,0,10,9.5
955242,5,4,5,5,10,9.5,10,10,10,8
710489,1,5,5,5,8,5.75,10,10,9,9.5
601701,4,5,5,5,10,9.5,10,10,10,9.5
493377,4,0,5,3,7,6.5,5,10,0,6.5
348376,0,5,4,5,8,10,9,0,1,0
172263,5,5,5,5,9.5,8.5,10,10,9.75,8.5
353441,2,3,5,5,7,6.5,10,10,6.75,8
429085,2,5,5,5,9.5,6,10,0,7,0
267132,0,4,5,5,8,6.5,5,0,7,8
402997,3,5,5,5,9,9,10,10,9.75,9.5
#N/A,1,5,3,5,10,4.75,10,10,8,8.5
331406,1,0,5,3,7,1.75,5,0,0,8
844340,0,3,5,5,10,5.25,10,0,9,6.5
147145,0,4,4,5,3.5,0,5,0,0,9.5
738332,2,2,4,5,0.5,5.5,5,4,2,0
700670,5,5,5,5,7.5,10,0,10,10,9.5
156364,4,4,4,3,7,6,0,0,10,8
999023,3,5,5,5,8,8,10,6,9,8
755204,1,5,5,5,8,5.5,5,9,9,7
237582,1,5,2,5,8,5,5,0,9.75,9.5
843535,0,4,5,5,5,5,2.5,10,3,0
992343,0,2,5,5,9,5,5,0,0,1.5
745036,0,5,5,4,7.5,7.5,10,2,9.75,8
259122,1,1,5,5,9,6.75,10,6.5,7,6.5
760890,2,0,2,0,7,6,10,0,0,8
467652,3,5,5,5,9.5,4,10,6,3,9.5
936273,2,5,4,4,9,6,10,10,7,8
187418,2,1,5,5,9.5,7,10,10,9.75,10
323859,10,5,5,5,7,6.75,10,10,7,8
987447,1,5,5,5,8,10,10,9.5,7,0
877109,7,1,5,5,8,6.25,10,9.5,8,8
555054,1,1,5,5,7.5,9,10,10,9.75,9.5
796250,2,5,5,5,8,7.75,10,9.5,9,9.5
411472,4,5,5,5,9.5,9,10,10,10,9.5
499213,3,5,5,4,8,10,10,8,4.75,8
179184,1,5,3,5,8.5,8.5,10,0,8,8
335731,0,1,5,4,8,6.25,7.5,6,5,8
939066,1,0,5,0,8,4.75,10,10,9.75,8
914016,3,5,5,5,9.5,5,10,10,0,8
394484,1,1,5,5,8,6.75,10,6,0,8
329867,2,5,5,5,9,10,10,8,9.75,8.5
377090,3,5,5,5,7.5,9.25,10,10,10,8.5
743784,11,5,5,5,8,9.25,10,10,10,8
450272,3,5,5,3,9.5,4,10,10,9.75,9.5
649892,2,5,5,5,8,4.25,0,8,0,8
877116,0,5,5,5,8,3.75,10,0,10,8
242493,6,5,5,5,9,3.75,10,10,8,9.5
158198,1,5,5,5,9,10,10,10,10,6.5
376854,2,5,5,5,10,8.75,10,10,9.75,8
515838,1,0,5,4,8,3,10,0,7,8
644205,8,5,5,0,9,8.5,10,6,3,9.5
687844,3,5,5,5,9,9.25,10,10,9.75,8
912689,0,1,5,4,8.5,5.5,10,0,9.75,8
495024,2,5,5,5,8,5.25,10,10,9.75,3
556020,8,5,5,5,9,5.5,10,0,9.75,9.5
783735,14,5,5,5,9.5,7.25,10,8,9.75,8
682407,3,5,5,5,8,8.25,10,10,9.75,8.5
504530,0,5,5,5,8,6.5,10,5,9.75,8.5
884161,6,5,5,5,7,8.5,5,0,3,8
802566,2,5,4,4,7,6.5,5,0,9.75,8
313801,1,3,5,3,7,1.75,5,6,3,8
139950,1,5,5,5,7,4.5,5,0,0,1.5
494166,3,5,5,5,8.5,9,10,10,9,8
676794,0,4,1,0,10,6.75,5,0,0,8
124193,2,5,5,5,10,6,10,8,10,9.5
769753,2,5,5,4,10,7.75,10,10,9.75,8.5
846172,0,3,5,4,9,5.5,5,0,0,0
548019,2,5,5,5,8,6.25,10,0,0,8
375253,3,1,5,5,9.5,3.25,10,10,5,0
603399,0,5,5,4,8,8.5,10,0,0,8
289163,3,5,5,5,8,7.75,5,8,9,8
861958,3,5,5,5,7,6.25,10,6,9.75,8
447538,2,5,5,5,10,4.25,10,8,10,9.5
935965,1,5,5,5,8,5.5,5,0,10,8
761526,2,4,5,5,8,7,10,10,10,8
#N/A,0,5,3,5,3,3,7.5,0,3,0
411906,3,1,5,5,9,3.75,10,10,9.75,9.5
938861,7,5,5,4,10,8,0,10,9,8
670267,1,5,5,5,9.5,9.25,10,10,10,9.5
909875,1,1,4,5,8,5.5,10,10,10,9.5
564146,0,0,5,4,5,2.75,0,0,0,8
480961,0,5,5,5,8,3.25,5,0,9.75,8
331418,2,5,5,5,10,10,7.5,10,9.75,8.5
720293,1,5,4,4,0.5,0,7.5,0,0,9.5
357173,2,5,5,5,8,8,10,10,9.75,9.5
607045,1,5,5,5,8,10,5,8,8,8
781336,4,5,5,5,9.5,8.75,10,10,10,8
268619,0,5,5,2,8,3.75,10,10,0,8
175573,1,5,5,5,10,8.25,7.5,0,9.75,1.5
687940,4,5,5,5,8,5.5,10,0,9.75,8
832756,1,1,5,5,7.5,9,10,9,9,8
282874,6,5,5,5,8,7.5,5,7,10,8
720723,1,5,5,5,9,4,10,10,9.75,8
128016,4,5,5,5,6,2.25,5,6,3,8
690064,4,0,0,0,8,0,10,0,0,0
893307,1,1,5,5,8.5,10,10,7,10,8.5
787036,1,5,5,5,9,4,10,9,10,8
162187,0,5,5,5,9.5,8,7.5,10,9.75,9.5
863048,1,5,5,5,6,5.25,10,5,9.75,8
582644,2,5,5,5,10,8.5,10,10,9.75,8
316657,5,5,5,5,9.5,8.25,9,10,10,9.5
244223,7,5,5,5,9,5.75,10,10,9.75,9.5
535753,7,4,3,3,8,3.5,5,0,0,0
351711,7,5,5,5,10,5.75,10,10,9.75,9.5
309943,1,5,5,4,8,10,10,10,9.75,8
479550,2,4,5,5,9.5,7.75,10,3,10,8.5
292900,1,5,5,5,8,8.25,10,8,10,10
100168,1,1,5,5,9,5.75,10,10,10,8.5
967176,2,1,5,3,9,5.75,10,10,9.75,10
298091,2,5,5,5,7,5,5,9,3,9.5
980587,2,5,5,5,8,8.25,10,10,10,10
840463,7,1,5,5,10,3.25,10,10,5,9.5
149203,9,5,5,5,8,7.75,10,8,9.75,8
903345,2,3,5,5,7,5.5,5,10,9.75,8
877146,1,5,5,5,7,5,10,10,0,8
570017,2,5,5,5,8,10,10,10,9.75,8
423080,2,5,5,5,9.5,8.75,10,10,9.75,8
362052,0,5,5,5,8,3.25,10,8,5,1.5
348715,2,5,5,5,8,7.75,10,10,7.75,9.5
#N/A,0,3,5,5,7,4.5,0,0,6,1.5
520659,1,5,5,5,8,9,10,10,9.75,8
221958,0,5,5,5,6,5.75,10,10,7,9.5
257545,4,5,5,5,10,9,9,10,9.75,8
218653,2,5,5,5,9.5,5.75,10,10,10,8
889441,0,3,5,5,10,0,5,0,0,0
646241,2,5,5,5,7.5,7.25,0,7,10,8
794376,0,5,5,5,10,6,10,0,9.75,8.5
