"","anon_id","consent","age","year","gender","int_student","esl","e_exp","e_lvl","URM","p_education","m_education","par_rel","fin_support","ses","grant","soc_med","hw_time","transfer"
"19",889441,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He attended some college, but left before he earned a 4-year degree","She earned a graduate degree (Masters or Ph.D)","Separated","5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","240","3","No"
"20",216877,"I have read this information sheet form, I consent to participate in this study.","19","Freshman - 1st year","Non-binary or Genderqueer","No, I am not an international student","English is not my first language","99","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Middle Eastern or West Asian,Caucasian","He earned a 4-year degree","She earned a graduate degree (Masters or Ph.D)","Divorced","1- No support","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","180","50","No"
"21",815620,"","19","Freshman - 1st year","Woman","No, I am not an international student","English is not my first language","80","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left school before he graduated from high school","She never attended school","Together","3- A little support (e.g. phone bill, gifts, small amounts of money every few months)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","60","4.5","No"
"22",587423,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Man","No, I am not an international student","English is my first language","90","4 - I am confident reading difficult books in English(e.g., novels or other popular books)","East or South East Asian,Caucasian","He earned a 4-year degree","She earned a 4-year degree","Divorced","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","100","20","No"
"23",493377,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Man","No, I am not an international student","English is not my first language","90","4 - I am confident reading difficult books in English(e.g., novels or other popular books)","South Asian","He left when he graduated from high school (or GED)","She attended some college, but left before she earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do not qualify for a Pell Grant","45","4","No"
"24",113553,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Woman","No, I am not an international student","English is not my first language","85","4 - I am confident reading difficult books in English(e.g., novels or other popular books)","East or South East Asian","He left when he graduated from high school (or GED)","She earned a 4-year degree","Together","2- Very little support (e.g. gifts at holidays and birthdays)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","600","8","No"
"25",331406,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Non-binary or Genderqueer","No, I am not an international student","English is not my first language","100","5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)","Hispanic or Latino","He left school before he graduated from high school","She left school before she graduated from high school","Together","1- No support","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","60","300","No"
"26",444720,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Black or African American","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","120","30","No"
"27",471494,"I have read this information sheet form, I consent to participate in this study.","18","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","90%","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I don't know if I qualify for a Pell Grant","3","1.5","No"
"28",976464,"I have read this information sheet form, I consent to participate in this study.","21","Junior - 3rd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino,Caucasian","He earned a 4-year degree","She left school before she graduated from high school","Separated","5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","10","40","No"
"29",760890,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is not my first language","95%","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left school before he graduated from high school","She left school when she graduated from high school (or GED)","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I qualified for 'free or reduced cost lunch' for all or most of high school","I don't know if I qualify for a Pell Grant","60","6","No"
"30",354907,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","60","1.5","No"
"31",167773,"I have read this information sheet form, I consent to participate in this study.","19","Freshman - 1st year","Woman","Yes, I am an international student","English is not my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","240","10","No"
"32",687838,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I don't know if I qualified for a 'free or reduced cost lunch' program","I do not qualify for a Pell Grant","420","21","No"
"33",530411,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Black or African American,Caucasian","He earned a 4-year degree","She earned a graduate degree (Masters or Ph.D)","Divorced","5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","90","20.35","No"
"34",268619,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He earned a graduate degree (Masters or Ph.D)","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I don't know if I qualify for a Pell Grant","120","5.3","No"
"35",755204,"I have read this information sheet form, I consent to participate in this study.","21","Junior - 3rd year","Woman","No, I am not an international student","English is not my first language","95","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left when he graduated from high school (or GED)","She attended some college, but left before she earned a 4-year degree","Separated","7- Fully supported (e.g All necessities are provided or paid for)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","30","55","No"
"36",497496,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Woman","No, I am not an international student","English is not my first language","90","5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)","Hispanic or Latino","He left school before he graduated from high school","She left school before she graduated from high school","Divorced","2- Very little support (e.g. gifts at holidays and birthdays)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","130","30","Yes"
"37",939066,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Man","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I don't know if I qualified for a 'free or reduced cost lunch' program","I do not qualify for a Pell Grant","60","7","No"
"38",781433,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Man","No, I am not an international student","English is my first language","100","5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)","Hispanic or Latino","He never attended school","She left school before she graduated from high school","Together","5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","90","4","No"
"39",825875,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is not my first language","90%","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Black or African American","I don't know","She earned a 4-year degree","Divorced","3- A little support (e.g. phone bill, gifts, small amounts of money every few months)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","90","20","No"
"40",938861,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He earned a graduate degree (Masters or Ph.D)","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","250","20.6","No"
"41",480961,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Divorced","7- Fully supported (e.g All necessities are provided or paid for)","I don't know if I qualified for a 'free or reduced cost lunch' program","I don't know if I qualify for a Pell Grant","120","12","No"
"42",499213,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Non-binary or Genderqueer","No, I am not an international student","English is my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left school before he graduated from high school","She left school before she graduated from high school","Single","2- Very little support (e.g. gifts at holidays and birthdays)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","120","7","No"
"43",441521,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Man","No, I am not an international student","English is my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino,Pacific Islander","He earned a 4-year degree","She earned a 4-year degree","Together","3- A little support (e.g. phone bill, gifts, small amounts of money every few months)","I don't know if I qualified for a 'free or reduced cost lunch' program","I do qualify for a Pell Grant","120","10","No"
"44",115362,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian,Caucasian,Mixed Race","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do qualify for a Pell Grant","180","12","No"
"45",607016,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Divorced","1- No support","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","480","15","No"
"46",311227,"","24","Senior - 4th year","Man","Yes, I am an international student","English is not my first language","30","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He attended some college, but left before he earned a 4-year degree","She left school when she graduated from high school (or GED)","Separated","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","120","15","Yes"
"47",352138,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He left when he graduated from high school (or GED)","She left school when she graduated from high school (or GED)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","90","20","No"
"48",557781,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Non-binary or Genderqueer","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Divorced","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do not qualify for a Pell Grant","360","16","No"
"49",394484,"I have read this information sheet, and I do not consent to participate in this study. I will earn the extra credit by submitting ‘decline to answer’ on each of the questions.","19","Freshman - 1st year","Man","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left when he graduated from high school (or GED)","She left school when she graduated from high school (or GED)","Separated","I decline to answer","Decline to answer","I don't know if I qualify for a Pell Grant","90","35","No"
"50",844340,"I have read this information sheet form, I consent to participate in this study.","21","Junior - 3rd year","Woman","No, I am not an international student","English is not my first language","90","4 - I am confident reading difficult books in English(e.g., novels or other popular books)","Hispanic or Latino","He left school before he graduated from high school","She left school before she graduated from high school","Together","4- Some support (e.g. Bills but not housing or small monthly allowance)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","240","2.12","No"
"51",124193,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","99","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He earned a 4-year degree","She earned a 4-year degree","Separated","7- Fully supported (e.g All necessities are provided or paid for)","I qualified for 'free or reduced cost lunch' for all or most of high school","I don't know if I qualify for a Pell Grant","200","20","No"
"52",839513,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","95","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Together","3- A little support (e.g. phone bill, gifts, small amounts of money every few months)","I qualified for 'free or reduced cost lunch' for some of high school","I do not qualify for a Pell Grant","180","10","No"
"53",582644,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He attended some college, but left before he earned a 4-year degree","She earned a graduate degree (Masters or Ph.D)","Divorced","3- A little support (e.g. phone bill, gifts, small amounts of money every few months)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do qualify for a Pell Grant","180","35","No"
"54",205295,"I have read this information sheet form, I consent to participate in this study.","20","Freshman - 1st year","Woman","Yes, I am an international student","English is not my first language","20","1 - I am confident reading simple information in English (e.g., signs and instructions)","East or South East Asian","I don't know","I don't know","Together","7- Fully supported (e.g All necessities are provided or paid for)","I don't know if I qualified for a 'free or reduced cost lunch' program","I don't know if I qualify for a Pell Grant","360","16","No"
"55",128513,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Man","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I don't know if I qualified for a 'free or reduced cost lunch' program","I do not qualify for a Pell Grant","145","13","No"
"56",439234,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Woman","No, I am not an international student","English is not my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left school before he graduated from high school","She left school when she graduated from high school (or GED)","Together","4- Some support (e.g. Bills but not housing or small monthly allowance)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","60","62","No"
"57",687844,"I have read this information sheet form, I consent to participate in this study.","19","Freshman - 1st year","Man","No, I am not an international student","English is my first language","95","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Middle Eastern or West Asian","He earned a graduate degree (Masters or Ph.D)","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","120","25","No"
"58",907718,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","Yes, I am an international student","English is not my first language","80","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a graduate degree (Masters or Ph.D)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","240","40","No"
"59",120124,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Man","No, I am not an international student","English is my first language","80","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","45","9.5","No"
"60",846172,"I have read this information sheet form, I consent to participate in this study.","21","Senior - 4th year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left school before he graduated from high school","She left school when she graduated from high school (or GED)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I qualified for 'free or reduced cost lunch' for all or most of high school","I don't know if I qualify for a Pell Grant","360","10","No"
"61",841731,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Man","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I don't know if I qualified for a 'free or reduced cost lunch' program","I don't know if I qualify for a Pell Grant","180","15","No"
"62",700670,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Man","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do not qualify for a Pell Grant","50","12","No"
"63",646067,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Man","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left when he graduated from high school (or GED)","She left school before she graduated from high school","Together","3- A little support (e.g. phone bill, gifts, small amounts of money every few months)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","300","40","No"
"64",666059,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left school before he graduated from high school","She attended some college, but left before she earned a 4-year degree","Divorced","5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","360","50","No"
"65",706979,"I have read this information sheet form, I consent to participate in this study.","19","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Divorced","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","90","30","No"
"66",504530,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Man","No, I am not an international student","English is not my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","120","30","Yes"
"67",214276,"I have read this information sheet form, I consent to participate in this study.","21","Sophomore - 2nd year","Man","Yes, I am an international student","English is not my first language","30","3 - I am confident reading moderate books in English (e.g., young adult fiction)","East or South East Asian","He left when he graduated from high school (or GED)","She attended some college, but left before she earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","180","7","No"
"68",805091,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","180","4","No"
"69",100168,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Man","Yes, I am an international student","English is not my first language","50","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","300","15","No"
"70",690059,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Man","No, I am not an international student","I decline to answer","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian,South Asian","He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Together","I decline to answer","I qualified for 'free or reduced cost lunch' for all or most of high school","Decline to answer","40","10","No"
