"anon_id","consent","age","year","gender","int_student","esl","e_exp","e_lvl","URM","p_education","m_education","par_rel","fin_support","ses","grant","soc_med","hw_time","transfer","first_gen"
471494,1,18,"2","Woman","0","1",90,6,"3",5,5,"Together",7,"0","2",3,1.5,"0","0"
976464,1,21,"3","Woman","0","1",100,6,"2",5,3,"Separated",5,"2","1",10,40,"0","1"
760890,1,19,"2","Woman","0","0",95,6,"4",3,NA,"Together",6,"2","2",60,6,"0","1"
354907,1,18,"1","Woman","0","1",90,6,"2",5,5,"Together",7,"0","0",60,1.5,"0","0"
167773,1,19,"1","Woman","1","0",90,6,"3",5,5,"Together",7,"0","0",240,10,"0","0"
687838,1,18,"1","Woman","0","1",90,6,"3",5,4,"Together",7,"1","0",420,21,"0","1"
530411,1,18,"1","Woman","0","1",100,6,"1",5,6,"Divorced",5,"0","0",90,20.35,"0","0"
268619,1,18,"1","Woman","0","0",100,6,"9",6,5,"Together",7,"0","2",120,5.3,"0","0"
755204,1,21,"3","Woman","0","0",95,6,"4",2,4,"Separated",7,"2","1",30,55,"0","1"
497496,1,20,"3","Woman","0","0",90,5,"4",3,3,"Divorced",2,"2","1",130,30,"1","1"
939066,1,19,"2","Man","0","1",100,6,"3",5,5,"Together",6,"1","0",60,7,"0","0"
781433,1,18,"1","Man","0","1",100,5,"4",1,3,"Together",5,"2","1",90,4,"0","1"
825875,1,19,"2","Woman","0","0",90,6,"1",NA,5,"Divorced",3,"2","1",90,20,"0","0"
938861,1,18,"1","Woman","0",NA,90,6,"9",6,5,"Together",7,"0","0",250,20.6,"0","0"
480961,1,20,"3","Woman","0","1",100,6,"2",6,6,"Divorced",7,"1","2",120,12,"0","0"
499213,1,19,"2","Other","0","1",90,6,"4",3,3,"Single",2,"2","1",120,7,"0","1"
441521,1,20,"3","Man","0","1",90,6,"4",5,5,"Together",3,"1","1",120,10,"0","0"
115362,1,20,"2","Woman","0","1",100,6,"2",6,6,"Together",7,"0","1",180,12,"0","0"
607016,1,18,"1","Woman","0","1",100,6,"2",4,4,"Divorced",1,"2","1",480,15,"0","1"
352138,1,18,"1","Woman","0","0",100,6,"3",2,NA,"Together",7,"2","1",90,20,"0","1"
557781,1,20,"2","Other","0","0",100,6,"3",5,5,"Divorced",6,"2","0",360,16,"0","0"
844340,1,21,"3","Woman","0","0",90,4,"4",3,3,"Together",4,"2","1",240,2.12,"0","1"
124193,1,20,"2","Woman","0","1",99,6,"2",5,5,"Separated",7,"2","2",200,20,"0","0"
839513,1,18,"1","Woman","0","1",95,6,"2",6,6,"Together",3,"3","0",180,10,"0","0"
582644,1,18,"1","Woman","0","1",100,6,"3",4,6,"Divorced",3,"0","1",180,35,"0","1"
205295,1,20,"1","Woman","1","0",20,1,"3",NA,NA,"Together",7,"1","2",360,16,"0",NA
128513,1,20,"2","Man","0","1",100,6,"2",5,5,"Together",7,"1","0",145,13,"0","0"
439234,1,20,"3","Woman","0","0",90,6,"4",3,NA,"Together",4,"2","1",60,62,"0","1"
687844,1,19,"1","Man","0","1",95,6,"5",6,5,"Together",7,"0","0",120,25,"0","0"
907718,1,18,"1","Woman","1","0",80,6,"3",5,6,"Together",7,"0","0",240,40,"0","0"
120124,1,18,"1","Man","0","1",80,6,"9",6,6,"Together",7,"0","0",45,9.5,"0","0"
846172,1,21,"4","Woman","0","1",100,6,"4",3,NA,"Together",7,"2","2",360,10,"0","1"
841731,1,20,"2","Man","0","1",100,6,"2",4,4,"Together",6,"1","2",180,15,"0","1"
700670,1,18,"1","Man","0","0",100,6,"9",5,5,"Together",7,"2","0",50,12,"0","0"
646067,1,18,"1","Man","0","1",100,6,"4",2,3,"Together",3,"2","1",300,40,"0","1"
666059,1,19,"2","Woman","0","1",100,6,"4",3,4,"Divorced",5,"2","1",360,50,"0","1"
706979,1,19,"1","Woman","0","1",100,6,"2",5,4,"Divorced",6,"0","0",90,30,"0","1"
504530,1,20,"3","Man","0","0",90,6,"9",4,4,"Together",6,"2","1",120,30,"1","1"
214276,1,21,"2","Man","1","0",30,3,"3",2,4,"Together",7,"0","0",180,7,"0","1"
805091,1,19,"2","Woman","0","1",90,6,"3",5,5,"Together",6,"2","1",180,4,"0","0"
100168,1,19,"2","Man","1","0",50,6,"3",6,6,"Together",7,"0","0",300,15,"0","0"
690059,1,20,"3","Man","0",NA,90,6,"3",4,4,"Together",NA,"2",NA,40,10,"0","1"
862880,1,19,"1","Woman","0","0",100,6,"3",3,NA,"Together",7,"0","0",1200,0.83,"0","1"
745036,1,21,"3","Man","1","0",80,3,"3",5,6,"Together",4,"0","0",90,8,"0","0"
370378,1,20,"1","Woman","1","0",40,NA,NA,NA,NA,"Together",NA,NA,NA,180,1.5,"0",NA
297437,1,18,"2","Other","0","1",100,6,"4",2,4,"Single",3,"2","1",100,8,"0","1"
840463,1,18,"1","Woman","0","1",100,4,"3",NA,NA,"Together",7,"1","0",120,20,"0",NA
267132,1,20,"2","Man","0","1",99,6,"2",NA,4,"Separated",3,"1","1",120,4.5,"0","1"
566878,1,20,"3","Man","0","1",100,6,"4",5,4,"Together",7,"1","1",180,35,"1","1"
270982,1,19,"1","Man","0","0",90,6,"3",4,4,"Together",7,"2","0",20,23,"0","1"
925742,1,18,"1","Man","0","1",100,6,"3",5,6,"Together",7,"0","0",120,10,"0","0"
221958,1,21,"3","Woman","0","0",90,5,"3",3,3,"Together",2,"2","1",300,10,"0","1"
920586,1,19,"2","Woman","1","0",30,3,"3",5,5,"Together",7,"1","2",200,4,"0","0"
840605,1,20,"2","Woman","0","0",95,6,"9",6,6,"Together",7,"0","0",95,14,"0","0"
992343,1,22,"4","Woman","0","0",100,6,"4",3,3,"Together",1,"2","1",300,3,"0","1"
548019,1,18,"1","Other","0","1",100,6,"2",6,5,"Together",6,"0","1",120,4,"0","0"
927645,1,19,"2","Man","0","1",100,6,"1",5,5,"Together",6,"2","2",120,8,"0","0"
806039,1,18,"1","Woman","0","0",95,4,"4",4,3,"Together",5,"2","1",180,25,"0","1"
980357,1,20,"2","Woman","1","0",75,6,"4",6,5,"Separated",7,"1","1",100,9,"0","0"
316657,1,19,"1","Woman","0","1",100,6,"4",3,3,"Together",6,"2","1",180,28,"0","1"
574860,1,21,"4","Woman","0","1",95,6,"2",5,4,"Together",1,"0","0",250,20,"1","1"
484728,1,22,"5","Man","0","1",100,6,"2",4,4,"Together",3,"2","0",90,10,"0","1"
238823,1,20,"3","Man","0","1",100,6,"3",5,5,"Together",7,"1","2",120,3,"0","0"
936273,1,20,"3","Woman","0","1",100,6,"2",6,6,"Together",7,"0","0",287,12,"0","0"
822014,1,18,"1","Woman","1","0",50,3,"3",6,6,"Together",6,"0","0",240,50,"0","0"
843535,1,21,"3","Woman","0","1",100,5,"4",2,NA,"Together",6,"2","1",120,11,"0","1"
690036,1,20,"2","Woman","1","0",20,4,"3",6,6,"Divorced",7,"0","1",120,10,"0","0"
912689,1,20,"3","Woman","0","1",100,6,"2",6,5,"Together",5,"0","0",60,25,"1","0"
756469,1,20,"3","Man","1","0",30,3,"3",6,5,"Together",6,"0","0",200,14,"0","0"
186775,1,19,"2","Man","0","1",95,6,"8",4,6,"Together",7,"2","1",45,84,"0","1"
342170,1,18,"1","Woman","0","1",65,4,"4",3,4,"Together",7,"2","0",240,24,"0","1"
914016,1,20,"3","Woman","0","1",50,6,"3",2,3,"Together",7,"2","1",200,14,"0","1"
843368,1,18,"1","Woman","0","0",95,5,"4",3,3,"Together",6,"2","2",90,28,"0","1"
172263,1,19,"2","Woman","0","0",100,6,"9",6,5,"Together",7,"0","0",180,40,"0","0"
710489,1,18,"1","Man","0","1",100,6,"4",2,4,"Single",6,"2","1",30,12,"1","1"
277425,1,18,"1","Woman","0","1",100,6,"4",NA,NA,"Single",5,"2","1",40,10,"0",NA
469937,1,22,"4","Woman","0","0",99,6,"3",3,3,"Together",7,"3","0",180,7,"0","1"
681486,1,20,"2","Woman","1","0",30,4,"3",3,4,"Together",7,"1","0",75,35,"0","1"
575085,1,18,"1","Man","1","0",20,2,"3",5,5,"Together",7,"1","2",300,25,"0","0"
340708,1,20,"2","Woman","1","0",40,3,"3",5,5,"Together",7,"0","0",300,3,"0","0"
980587,1,18,"1","Woman","0","1",100,6,"3",4,5,"Together",7,"0","0",90,21,"0","1"
335736,1,21,"3","Woman","0","0",100,4,NA,2,NA,"Together",7,"2","1",180,33,"1","1"
190892,1,20,"3","Woman","0","1",99,6,"2",6,6,"Together",5,"0","0",80,25,"0","0"
447538,1,20,"3","Woman","0","1",100,6,"2",6,6,"Together",7,"0","0",60,15,"0","0"
859374,1,20,"1","Man","1","0",50,6,"3",2,4,"Together",7,"0","0",100,5,"0","1"
139950,1,18,"1","Woman","1","1",90,6,"4",6,6,"Together",7,"0","0",240,5.5,"0","0"
229553,1,20,"3","Man","1","0",50,5,"3",5,5,"Divorced",7,"0","0",180,10,"0","0"
218653,1,19,"2","Woman","1","0",60,4,"3",NA,5,"Divorced",7,"0","0",60,8,"0","0"
487505,1,18,"1","Man","0","1",95,6,"4",5,6,"Together",6,"2","0",120,13,"1","0"
237582,1,20,"2","Woman","0","0",100,5,"3",NA,1,NA,4,"2","1",180,20,"0","1"
805441,1,20,"2","Woman","0","0",90,6,NA,2,3,"Together",6,"0","1",20,7.5,"0","1"
570810,1,20,"3","Woman","0","0",100,5,"4",3,3,"Together",6,"2","1",120,10,"0","1"
840840,1,22,"4","Man","0","0",95,6,"4",3,NA,"Together",3,"2","0",720,12.33,"1","1"
147145,1,18,"1","Woman","1","0",75,4,"3",6,6,"Divorced",NA,NA,"2",180,18.5,"0","0"
758184,1,20,"3","Woman","0","1",100,6,"3",5,6,"Together",6,"0","1",120,3,"0","0"
485565,1,18,"1","Woman","0","1",100,6,"9",5,6,"Divorced",7,"0","0",240,20,"0","0"
737475,1,19,"3","Woman","1","0",40,4,"3",5,5,"Together",7,"0","0",300,56,"0","0"
324135,1,19,"2","Man","0","0",95,6,"5",5,6,"Together",7,"0","0",120,21,"0","0"
999023,1,19,"2","Woman","0","1",100,6,"4",4,5,"Together",6,"0","0",300,30,"0","1"
116312,1,19,"2","Woman","0","1",100,6,"2",2,NA,"Together",6,"0","0",360,13,"0","1"
273032,1,18,"1","Man","0","1",80,6,"3",6,5,"Together",6,"0","0",120,18,"0","0"
796250,1,19,"2","Woman","0","0",100,6,"3",4,4,"Divorced",7,NA,"1",300,30,"0","1"
861958,1,20,"3","Man","0","1",95,6,"3",5,5,"Together",6,"0","0",180,12,"0","0"
431825,1,19,"2","Woman","0","0",95,6,"3",3,3,"Together",1,"2","1",120,15,"0","1"
769753,1,19,"2","Woman","0","1",100,6,"9",6,6,"Together",7,"0","0",120,180,"0","0"
819157,1,19,"2","Woman","0","1",90,6,"2",6,6,"Together",6,"0","0",180,20,"0","0"
309943,1,20,"3","Woman","1","0",50,4,"3",NA,NA,"Together",7,"0","2",420,30,"0",NA
820879,1,20,"3","Man","0","1",90,6,"9",5,4,"Separated",4,"3","0",16,25,"0","1"
975639,1,18,"1","Woman","0","0",100,6,"4",3,3,"Together",3,"2","1",350,900,"0","1"
327020,1,18,"1","Woman","0","1",100,5,"9",5,6,"Together",7,"0","0",120,30,"0","0"
708858,1,20,"3","Man","0","1",95,6,"2",5,5,"Together",6,"0","2",180,4,"1","0"
571323,1,21,"3","Woman","1","0",80,6,"3",5,NA,"Divorced",6,"0","0",560,5.33,"0","0"
898473,1,20,"3","Woman","0","0",100,6,"3",5,6,"Together",4,"2","0",240,27.93,"0","0"
116004,1,18,"1","Other","0","1",95,5,"9",6,5,"Together",6,"1","0",90,25,"0","0"
507880,1,19,"1","Man","0","0",70,6,"3",5,5,"Together",7,"1","0",70,5,"0","0"
494166,1,20,"3","Woman","0","0",75,6,"5",NA,5,"Divorced",1,"2","1",60,2880,"1","0"
132340,1,19,"2","Man","0","1",100,6,"3",6,6,"Divorced",6,"0","0",300,8,"0","0"
917655,1,18,"1","Woman","0","1",100,6,"2",6,5,"Divorced",7,"0","0",225,38,"0","0"
676277,1,20,"3","Man","0","0",80,6,"5",5,6,"Together",3,"3","1",30,49,"1","0"
411472,1,20,"2","Woman","0","0",95,4,"4",4,3,"Divorced",3,"2","2",60,NA,"0","1"
903345,1,19,"1","Woman","0","0",85,6,"4",3,3,"Together",1,"2","1",200,20,"0","1"
448698,1,18,"1","Woman","0","0",100,6,"4",3,4,"Together",3,"2","1",110,8.2,"0","1"
883903,1,20,"3","Man","0","0",100,6,"1",4,4,"Separated",2,"2","1",5,40,"1","1"
693045,1,19,"2","Woman","0","1",100,6,"9",6,NA,"Together",6,"2","0",30,12,"0","0"
819135,1,20,"3","Woman","0","1",95,6,"3",4,4,"Together",6,"0","1",60,15,"0","1"
583798,1,18,"1","Woman","0","0",90,6,"4",3,3,"Separated",3,"2","1",NA,22,"0","1"
162187,1,21,"3","Woman","0","1",100,6,"9",5,5,"Together",7,"0","0",120,25,"0","0"
690064,1,19,"2","Woman","0","1",100,5,"2",1,3,"Divorced",1,"2","1",4,3,"0","1"
187418,1,19,"2","Man","0","0",100,5,"2",3,3,"Together",3,"2","1",100,30.3,"0","1"
802566,1,18,"1","Woman","1","1",100,6,"3",5,NA,"Together",7,"0","0",30,6,"0","0"
518197,1,19,"2","Man","0","1",100,6,"2",4,5,"Together",6,"0","2",60,14,"0","1"
635780,1,20,"2","Man","1","0",50,3,"3",5,6,"Together",6,"3","2",200,12,"0","0"
189428,1,22,"3","Woman","0","1",98,5,"3",4,5,"Together",6,"1","0",60,19,"1","1"
627572,1,19,"2","Woman","0","1",95,NA,"2",2,6,"Together",6,"0","2",180,15,"0","1"
868406,1,22,"3","Woman","0","0",100,6,"4",4,4,"Together",7,"3","2",300,12,"1","1"
124704,1,22,"4","Man","0","1",95,6,"3",2,NA,"Together",4,"2","1",120,20,"0","1"
743784,1,18,"1","Woman","0","1",85,6,"2",5,6,"Together",6,"0","0",60,25,"0","0"
177840,1,20,"3","Man","0","1",100,6,"3",NA,NA,"Separated",2,"2","1",60,15,"0",NA
935965,1,19,"2","Woman","0","0",95,6,"3",NA,NA,"Divorced",7,"2","1",120,25,"0",NA
141625,1,18,"1","Woman","0","1",100,6,"2",6,6,"Together",6,"0","2",90,3,"0","0"
850664,1,20,"3","Man","0","1",90,6,"2",6,5,"Together",6,"0","0",180,20,"1","0"
868090,1,21,"3","Woman","0","1",100,6,"3",5,NA,"Divorced",7,"0","2",60,8,"0","0"
362052,1,20,"3","Woman","0","1",95,6,"3",6,5,"Divorced",7,"0","2",300,40,"0","0"
128016,1,20,"2","Man","0","1",90,6,"2",5,6,"Together",6,"0","0",90,5,"0","0"
879263,1,21,"3","Woman","0","0",85,5,"3",5,5,"Together",6,"2","0",80,2,"1","0"
100124,1,19,"2","Woman","1","0",70,5,"3",5,5,"Together",7,"0","0",180,13.3,"0","0"
259122,1,22,"3","Woman","0","0",100,5,"4",3,NA,"Together",6,"2","1",300,10,"0","1"
868195,1,18,"1","Woman","0","1",100,6,"3",6,6,"Together",7,"0","0",60,2500,"0","0"
761526,1,20,"3","Woman","0","0",95,6,"4",NA,3,"Separated",1,"2","0",120,20,"0","1"
364560,1,21,"3","Woman","0","0",100,5,"4",4,NA,"Divorced",3,"2","1",240,15,"0","1"
882657,1,20,"2","Man","0","1",95,5,"2",5,5,"Divorced",6,"3","1",120,4.5,"0","0"
711460,1,18,"1","Woman","1","0",15,4,"3",6,5,"Together",7,"0","0",150,49,"0","0"
721359,1,19,"2","Woman","0","0",80,6,"9",5,5,NA,6,"1","2",120,35,"0","0"
483406,1,19,"2","Woman","0","0",100,6,"2",2,NA,"Together",2,"2","1",NA,35,"0","1"
375253,1,20,"2","Woman","1","0",50,3,"3",2,3,"Together",7,"0","0",300,7,"0","1"
951938,1,21,"3","Woman","0","1",90,6,"2",6,4,"Together",7,"0","0",240,20,"0","1"
907662,1,20,"2","Woman","0","0",80,6,"3",4,NA,"Together",2,"2","1",2,5,"0","1"
829820,1,18,"1","Man","0","1",80,5,"3",5,5,"Together",6,"0","2",100,4,"0","0"
783300,1,18,"1","Woman","0","1",100,5,"3",2,4,"Together",6,"0","0",180,14,"0","1"
993306,1,23,"5","Woman","0","0",50,4,"4",3,NA,"Together",3,"2","1",40,10,"0","1"
331418,1,18,"1","Woman","1","1",90,6,"9",6,5,"Together",7,"0","0",80,21,"0","0"
585527,1,20,"2","Man","0","1",100,6,"2",5,6,"Together",6,"0","0",45,15,"0","0"
467652,1,18,"1","Woman","0","0",100,3,"4",3,4,"Together",6,"0","1",120,16,"0","1"
398075,1,19,"2","Woman","0","0",100,6,"4",3,NA,"Together",6,"2","1",120,8.66,"0","1"
751500,1,19,"1","Woman","0","0",99,6,"3",2,NA,"Separated",7,"3","1",1.83,4,"0","1"
207486,1,18,"1","Man","0","1",97,6,"2",6,6,"Together",6,"0","0",90,10,"0","0"
293634,1,18,"1","Woman","0","1",95,6,"3",4,5,"Together",3,"1","0",90,12,"0","1"
338073,1,18,"1","Woman","0","1",95,6,"3",4,3,"Together",6,"2","1",114,10.2,"0","1"
266622,1,24,"5","Woman","0","0",100,6,"4",3,3,"Together",4,"2","1",200,5,"1","1"
533181,1,42,"3","Woman","0","0",50,0,"5",6,3,"Together",1,"3","1",60,10,"1","1"
126548,1,20,"2","Woman","0","1",100,6,"3",6,5,"Together",7,"0",NA,180,21,"0","0"
649892,1,20,"2","Woman","0","1",98,5,"2",6,5,"Together",6,"0","0",60,7,"0","0"
947959,1,19,"2","Woman","1","0",50,3,"3",4,4,"Together",6,"1","2",120,21,"0","1"
820889,1,20,"3","Woman","0","0",90,6,"4",NA,NA,"Together",6,"2","1",120,1200,"0",NA
353441,1,19,"2","Woman","0","0",80,6,"9",4,NA,"Together",5,"2","1",300,40.5,"0","1"
450272,1,20,"3","Woman","0","1",100,6,"2",5,5,"Together",6,"1","2",60,4,"0","0"
882737,1,18,"1","Woman","0","1",99,6,"2",3,4,NA,1,"2","1",90,1.33,"0","1"
652942,1,19,"1","Woman","0","0",80,6,"2",6,5,"Together",7,"3","0",90,3,"0","0"
980127,1,20,"3","Woman","0","1",100,6,"2",3,4,"Together",6,"0","0",45,10,"0","1"
891202,1,18,"1","Other","0","1",90,6,"9",6,5,"Together",7,"1","2",60,6,"0","0"
978499,1,19,"2","Woman","0","1",100,6,"4",4,6,"Together",6,"0","0",180,8,"0","1"
515838,1,21,"3","Woman","0","1",95,6,"2",2,4,"Together",6,"1","1",120,10,"0","1"
808560,1,21,"3","Woman","1","1",100,6,"3",5,6,"Together",7,"0","0",240,60,"0","0"
669717,1,19,"2","Woman","0","1",100,6,"3",5,5,"Together",2,"1","1",180,35,"0","0"
909875,1,21,"3","Man","0","1",100,6,"3",5,5,"Together",6,"0","0",45,9,"1","0"
644205,1,20,"3","Woman","0","1",85,5,"3",5,NA,"Divorced",7,"2","1",240,20,"0","0"
780541,1,19,"2","Woman","1","0",10,3,"7",6,5,"Together",7,"1","2",240,50,"0","0"
257545,1,19,"2","Woman","1","0",50,3,"3",NA,NA,"Together",7,"1","2",180,180,"0",NA
863048,1,22,"4","Man","0","1",95,6,"2",NA,NA,"Divorced",NA,"2","1",60,35,"0",NA
127794,1,21,"2","Woman","1","0",37.5,4,"5",5,5,"Together",7,"0","0",300,28,"0","0"
972609,1,18,"1","Woman","0","0",60,6,"4",2,NA,"Together",6,"2","1",120,40,"0","1"
878824,1,19,"2","Woman","0","1",98,6,"2",4,4,"Together",7,"1","0",60,74,"0","1"
166548,1,19,"2","Woman","1","1",100,6,"9",6,6,"Together",6,"0","0",120,15,"0","0"
323859,1,19,"2","Woman","0","1",100,6,"2",6,6,"Together",6,"0","0",100,28,"0","0"
819274,1,20,"2","Man","0","0",95,6,"3",6,5,"Together",7,"1","0",200,32,"0","0"
766313,1,20,"2","Woman","0","0",99,6,"4",3,3,"Divorced",3,"2","1",180,10,"0","1"
936964,1,18,"1","Woman","0","1",99,6,"9",5,5,"Together",7,"0","0",30,80.2,"0","0"
411906,1,19,"2","Woman","0","1",100,6,"3",5,5,"Together",7,"1","0",120,50,"0","0"
919266,1,20,"2","Woman","0","1",100,5,"4",3,3,"Together",3,"2","1",180,30,"0","1"
776965,1,19,"2","Woman","0","1",100,6,"9",4,NA,"Together",2,"2","1",180,20,"0","1"
478268,1,19,"2","Woman","1","0",20,3,"3",6,6,"Together",7,"0","0",200,50,"0","0"
289163,1,20,"2","Woman","1","0",80,4,"3",NA,NA,"Together",7,NA,NA,240,14,"0",NA
282874,1,19,"2","Woman","1","1",100,6,"9",6,5,"Together",7,"0","2",75,15,"0","0"
266782,1,18,"1","Woman","0","1",100,6,"3",6,5,"Together",7,"0","0",120,8.5,"0","0"
460606,1,21,"4","Woman","0","1",95,6,"6",5,4,"Together",7,"0","0",120,8.3,"0","1"
377090,1,20,"3","Man","0","0",100,5,"3",4,1,"Together",3,"2","1",15,7,"0","1"
671655,1,21,"3","Woman","0","1",100,6,"2",2,NA,"Together",3,"0","0",90,24,"1","1"
970240,1,19,"2","Man","0","1",95,6,"2",6,6,"Together",7,"0","0",180,20,"0","0"
802878,1,18,"1","Woman","0","1",100,5,"4",3,3,"Together",3,"2","1",120,3,"0","1"
958843,1,20,"3","Woman","0","1",90,6,"2",5,5,"Together",6,"1","0",30,12,"1","0"
348376,1,19,"2","Woman","0","1",100,6,"3",5,5,"Together",6,"0","0",120,180,"0","0"
776985,1,19,"1","Woman","1","0",20,3,"3",6,6,"Together",7,"0","0",300,5,"0","0"
449769,1,19,"2","Woman","0","1",95,6,"2",6,4,"Divorced",3,"0","0",200,12,"0","1"
191876,1,21,"4","Woman","0","1",100,6,"2",6,6,"Divorced",6,"0","0",60,21,"0","0"
929062,1,20,"2","Man","0","1",100,6,"9",5,6,"Together",7,"2","0",180,12,"0","0"
946128,1,20,"3","Woman","0","1",95,6,"1",2,4,NA,2,"2","1",300,32,"0","1"
637438,1,19,"2","Woman","0","1",100,6,"3",5,6,"Together",7,"0","1",120,35,"0","0"
780786,1,20,"2","Woman","0","0",90,6,"9",5,5,"Together",7,"0","0",180,40,"0","0"
620808,1,18,"1","Woman","0","1",97,5,"3",4,5,"Together",7,"0","0",120,14,"0","1"
570017,1,18,"1","Woman","0","0",100,6,"3",5,6,"Together",7,"0","0",100,3.5,"0","0"
980472,1,20,"3","Man","0","1",90,6,"4",1,1,"Together",5,"2","1",50,5,"0","1"
789281,1,19,"1","Woman","1","0",90,5,"3",5,5,"Together",7,"0","2",360,35,"0","0"
862239,1,21,"3","Woman","0","0",80,4,"4",3,3,"Together",5,"2","1",5,7.98,"0","1"
955242,1,19,"2","Woman","0","0",80,5,"4",2,3,"Divorced",4,"2","1",90,30.5,"0","1"
337398,1,20,"2","Woman","0","1",95,6,"2",5,6,"Together",7,"1","0",120,10,"0","0"
351711,1,19,"2","Woman","0","1",90,6,"3",4,4,"Together",7,"3","0",100,28,"0","1"
962814,1,22,"4","Woman","0","0",97,3,"4",3,3,"Together",5,"2","2",240,32,"1","1"
634523,1,18,"1","Woman","0","0",100,4,"4",3,3,"Together",2,"2","0",60,26.66,"0","1"
562658,1,19,"2","Woman","0","0",60,6,"4",3,3,"Together",3,"2","0",120,18,"0","1"
920816,1,19,"2","Woman","0","1",98,6,"9",5,6,"Together",7,"0","0",175,12.5,"0","0"
684227,1,19,"1","Other","0","1",100,6,"2",4,5,"Together",7,NA,NA,360,7,"0","1"
693286,1,19,"1","Woman","1","0",50,6,"3",5,5,"Together",7,NA,"2",180,14,"0","0"
482126,1,19,"2","Woman","0","1",100,6,"2",5,5,"Together",5,"0","2",60,5,"0","0"
685171,1,18,"1","Woman","0","1",80,6,"2",5,4,"Together",3,"3","0",360,15,"0","1"
928498,1,19,"2","Woman","1","1",90,6,"2",6,6,"Together",7,"1","0",160,42,"0","0"
451623,1,20,"2","Woman","0","1",97,6,"3",5,5,"Divorced",7,"0","0",80,11,"0","0"
392584,1,19,"2","Man","0","1",90,5,"3",2,4,"Together",4,"2","1",60,7,"0","1"
736790,1,20,"3","Woman","0","1",100,6,"2",3,4,"Together",2,"2","1",120,20,"0","1"
937053,1,18,"1","Woman","0","1",100,6,"2",5,5,"Together",6,"1","1",120,21,"0","0"
348715,1,19,"1","Woman","0","0",90,5,"3",2,3,"Divorced",2,"2","1",60,21,"0","1"
193776,1,19,"2","Woman","0","1",100,6,"2",5,5,"Together",7,"0","0",75,6,"0","0"
221844,1,32,"3","Woman","0","1",100,6,"2",2,5,"Divorced",2,"0","1",60,35,"1","1"
437305,1,18,"1","Other","0","1",100,6,"2",4,4,"Together",7,"2","0",180,8,"0","1"
254596,1,18,"1","Woman","0","1",95,6,"2",5,5,"Together",6,"0","0",180,14,"0","0"
768234,1,21,"3","Man","1","0",95,6,"3",5,5,"Single",5,"0","2",2,3.3,"0","0"
535753,1,20,"3","Woman","0","0",70,6,"2",5,4,"Together",6,"0","1",90,8.5,"0","1"
130380,1,19,"2","Woman","0","1",95,6,"2",6,6,"Together",5,"0","2",4,7,"0","0"
613766,1,18,"1","Woman","0","0",100,5,"9",6,6,"Together",7,"0","2",100,5,"0","0"
402997,1,19,"2","Woman","0","0",100,6,"4",3,NA,"Divorced",3,"2","1",120,8,"0","1"
505593,1,18,"1","Woman","0","1",95,6,"5",6,6,"Divorced",7,"2","1",230,15,"0","0"
785732,1,18,"1","Woman","0","0",78,5,"4",3,NA,"Divorced",7,"2","0",18,15,"0","1"
307053,1,18,"1","Woman","0","0",85,5,"4",3,3,"Together",6,"2","1",300,15,"0","1"
864689,1,19,"2","Woman","0","1",70,6,"2",4,5,"Separated",6,"2","1",200,20,"0","1"
426634,1,21,"4","Woman","1","0",44,4,"3",5,6,"Divorced",4,"2","0",120,21.5,"1","0"
