anon_id,views,new_claim,ov_op,cv,internal,confound,fix_confound,sampling,external,replication
627572,8,10,10,3,0,10,5,2,4,9
497496,7,0,2,0,0,10,5,5,3,8
903345,0,10,10,7,0,10,5,5.5,10,8.5
449769,6,1,10,10,9,10,5,6.5,10,9
570017,2,10,10,8,10,10,5,10,10,8.5
877146,0,6,0,6,7.5,10,5,0,10,5
257545,1,6,10,0,10,10,5,2,9,6.5
756469,2,10,7,8,10,10,3,0,8.75,9
646241,3,6,7,9,8.5,10,5,10,8.75,10
458187,1,1,0,8.5,7.5,5.5,1.5,1,10,7.5
469937,3,6,10,6,7.5,10,5,1,10,10
392584,1,6,8,10,10,10,5,10,10,10
190818,0,10,10,9.25,7.5,10,5,10,10,9
578485,3,6,10,9.5,10,10,5,10,10,8.5
980134,2,10,10,8,10,10,5,10,10,10
215621,1,10,8.5,7.75,5.5,10,2,10,8.75,9
805091,5,5,10,6.25,8,10,5,4.5,2,9
808404,1,1,10,10,10,10,5,9,8.5,9
863924,2,6,10,9.25,10,10,5,10,10,8
135727,4,10,8.5,5,8.5,10,5,5,6,8
266782,3,6,10,6.5,4,10,5,10,10,7
620808,4,6,10,8.5,10,10,5,8,8.75,9
398075,3,6,10,6,8.5,10,5,10,7.75,8
229553,2,1,8,5,3,10,5,5,9,6
437305,2,10,10,8,10,10,5,10,8.75,8
887391,1,1,10,1,10,10,5,10,10,9
485565,0,6,10,6.75,10,10,5,9,10,9
273032,0,6,8,7,10,10,5,5,9,9
760890,0,10,8.5,0,4,10,1.5,10,0,7
936273,0,6,10,3,7,8,5,10,8.75,7
623912,1,6,10,9.25,4,10,5,10,10,9
298840,3,5,8.5,0,0,4,2,5,6,7
259122,0,1,8.5,6.5,8,10,1.5,5,10,8
745036,0,2,9.5,0,5.5,5.5,3,0,5.5,9
987447,2,6,10,7.25,10,8,5,10,10,8
863598,5,10,10,10,10,10,5,10,10,8
669717,2,6,10,6.5,10,10,5,10,10,10
878824,4,10,8.5,8.75,10,8,5,8,10,9
338073,1,4,8.5,0,10,10,5,10,10,8
877109,2,10,10,10,10,10,5,10,8.75,8
499213,3,10,8,4,2,10,5,8,8,7
543411,4,10,8.5,7,8,10,5,10,10,6
166548,2,10,10,9.5,10,10,5,10,7.75,7
335731,0,6,8,0,6.5,10,5,0,10,7
199772,0,10,10,9.5,0,10,5,10,10,10
607045,0,6,8,7,6,10,5,9,10,10
993306,1,1,10,5.75,0,5.75,5,10,10,9
590181,1,5,8.5,0,0,10,5,5,2.75,5
883903,9,10,10,8.75,10,6.5,3,8,9,10
863048,5,10,8,0.5,0,10,5,5,6.75,7
965522,2,6,8,7.75,6.5,10,5,10,10,9
209254,0,7,8,9,5.5,10,5,8,7,6
761526,0,4,10,8,10,6,5,9,10,6
832756,0,8,8,3,10,10,5,8,8.75,9
143458,0,10,8,0,10,6,5,10,10,6
787036,0,10,8.5,4,7.5,10,5,10,8,5
427397,4,10,10,10,10,10,1.5,10,10,6
162187,0,5,10,0,10,10,5,10,10,9
448698,0,5,8.5,0,10,6,5,8,5,9
917655,1,10,10,10,10,10,5,9,10,9
186775,1,10,8,10,10,10,5,10,10,10
460606,4,10,10,5.5,5.5,9,5,8,10,9
550977,2,10,8,7.75,5.5,10,1.5,5,10,9
676026,1,10,10,6,6,7,5,8,10,10
634523,1,9.5,8.5,6.5,5.5,5,1.5,0,10,8
741913,0,10,8,0,5.5,10,1.5,5,9,9
571323,0,10,8.5,0,7,10,1.5,5,6,9
676794,0,2,10,7.5,5.5,3,5,5,5,9
184622,1,6,8,5,10,10,5,10,7.75,10
846172,0,5,8.5,0,10,0,1.5,0,0,9
289163,1,5.5,8,7,7.5,10,5,10,10,9
447538,3,6,10,9.25,10,0,1.5,10,10,10
925742,0,10,10,7.75,10,8,5,6,10,10
676277,2,10,10,9.25,10,10,5,10,10,10
191876,1,6,10,10,10,10,5,10,10,10
766313,4,9,10,8,0,10,5,8,5,9
976464,0,10,10,2.75,7.5,6,1.5,10,10,8.5
172263,2,10,10,10,10,10,5,10,9,9
376854,2,10,10,9,10,10,5,8,10,10
402997,2,7,10,9.25,10,10,5,8,10,10
158198,0,6,10,0,10,10,5,10,8.75,10
337398,1,7,8,10,10,10,5,10,10,10
644205,4,10,10,9.25,0,6.5,3,5,7,10
783735,14,1,8,10,10,10,5,6,7,10
738332,2,0.5,9,0,10,10,1.5,0,9,9
504530,1,9.5,10,7,7.5,10,5,10,10,9
690036,2,10,8.5,5.25,10,10,5,6,9,10
785732,0,7.5,9.5,4,5.5,10,5,10,9,6
850435,3,10,10,10,10,10,5,10,8,10
205809,3,6,8,10,10,10,5,10,10,10
700670,1,6,10,10,5.5,10,5,8,9,9
505593,6,10,9.5,8,8.5,10,5,10,8.75,9
652357,1,10,8.5,6.75,8,10,5,6,10,9
274235,0,7.5,10,6,10,10,1.5,10,10,9
868195,1,10,10,10,10,10,5,10,8.75,9
755204,2,10,10,8.5,10,10,5,5,10,10
785013,2,6,10,9,10,8,5,5,9.5,10
946353,1,6,8,7.5,8,10,5,10,10,10
660431,2,6,8,10,5.5,10,5,10,8.75,10
568721,1,10,9,10,10,10,5,8,10,9
840463,4,1,10,10,10,8,5,5,10,9
721359,3,6,10,10,7.5,10,5,10,10,9
560484,0,6,10,10,10,10,5,10,7,8
820889,7,10,10,10,10,8,5,10,10,9
149203,6,6,8,0,8,0,5,8,9,9
766084,0,6,8.5,2.75,5.5,10,5,8,8,10
348715,3,8,8,9.5,10,10,5,10,10,9
354907,1,6,8,10,10,9.25,5,10,10,9
362052,0,6,8,7.5,8.5,9.25,5,8,5,8
678041,3,10,10,10,10,9.25,5,6,10,10
889441,0,1,8.5,0,8,10,5,8,10,9
520659,4,10,10,10,10,10,5,10,8.75,10
681486,1,1,10,10,10,8,5,5,10,8
711460,2,6,10,10,6.5,3.25,1.5,10,10,9
957384,0,6,10,10,10,10,5,9,10,10
882737,0,4,8,7.5,8.5,10,5,5,7,9
354057,0,10,10,10,10,8,5,10,10,9
919451,1,1,8.5,0,10,10,5,10,10,9
776965,1,6,8,6,10,10,5,5,9,10
978499,5,1,10,6,0,10,5,10,9.5,8
132340,1,5,10,9,9,10,5,8,10,7
533181,4,10,8,10,8,10,5,10,9,9
951938,0,6,10,7,10,8,5,5,10,9
134149,1,6,8,10,10,10,5,10,10,7
465537,0,10,9.5,10,10,10,5,8,7,9
789124,1,6,10,10,10,10,5,10,10,9
221844,3,6,9,10,5.5,10,5,8,10,9
370790,1,2,0,0,0,0,0,0,0,0
700506,2,10,10,6.5,5.5,10,5,10,10,9
852104,0,10,10,10,10,8,5,8,10,9
117848,2,1,8,0,5.5,8,5,5,10,10
618706,7,10,10,10,10,10,5,10,8.75,10
122746,1,6,10,6,2,8,5,10,9,10
936964,3,6,8.5,10,8,10,1.5,5,8.75,9
268619,0,10,9,7,10,5.75,2,2,0,8
624947,1,10,9,9,10,10,5,4.5,10,9
958843,0,10,8.5,7.5,10,9,1.5,4,6,6
781336,7,10,10,10,10,10,5,10,10,9
819274,1,10,8,10,10,10,1.5,4,7,9
151246,1,10,10,9,10,6,5,8.5,8,9
780541,2,10,8.5,9.25,10,10,5,6,10,9
720723,0,10,10,8.5,10,10,5,5,7,9
666059,0,10,10,9.5,10,10,5,6.5,10,9
238823,3,10,10,10,10,10,5,5,9,10
189428,1,10,10,9,10,10,5,5.5,10,9
574860,3,10,10,10,10,10,5,9,3,9
208750,0,10,8.5,5.5,10,0,1.5,3,7.5,8
970613,0,10,10,10,10,10,5,10,9,8
411472,5,7,8,8,6,9,1.5,4,8,9
600034,1,10,10,9.5,6,5,1.5,8,10,9
957708,2,10,8,8.5,6,10,5,5,10,10
687838,0,10,9,9.5,10,10,5,6,10,9
517181,2,6,8,10,10,10,5,10,10,10
351711,1,10,8,9,10,9,5,10,10,10
840605,1,0,8,7,6,0,2,3,10,6
962814,2,10,2,6.5,10,0,1.5,0.5,8,5
309943,3,10,8,10,10,10,1.5,7,7.5,7
819157,2,10,10,9,10,10,5,8,10,9
693286,1,10,10,8,10,8.5,5,9,10,10
224768,1,10,2,8.5,5.5,0,1.5,4.5,3,9
789281,5,10,10,9.5,10,10,5,9,9,9
100124,0,10,2,7.5,6,0,1.5,2,7,7
708858,1,10,2,10,10,0,1.5,8.5,7.5,6
873291,9,10,10,10,10,10,5,8,10,10
555054,0,10,10,7,10,10,5,8,10,7
341372,3,10,10,10,10,10,5,10,10,5
522922,7,10,10,9.5,5.5,0,1.5,4,10,9
710489,0,10,9,7.5,10,10,5,4,9.5,0
179184,0,10,10,8,10,10,5,5.5,6,5
879263,3,10,9,8,10,6,5,9,10,9
326394,1,2,8,8.5,10,10,1.5,9,9,7
377090,2,10,10,9.25,10,10,5,5,10,10
267132,1,0,8,7.5,5.5,0,1.5,5,0,7
637438,4,10,10,8.5,10,10,5,8,10,10
353441,4,10,8.5,0,0,0,1.5,5,8,9
216877,0,10,10,9.25,10,7.5,3,4,10,9
113553,0,0,8.5,6.5,7.25,0,1.5,4.5,0,9
912689,0,0,8,7,8,6,5,3,8,9
116004,2,10,2,10,10,10,5,9.5,10,10
802566,7,10,2,9,10,0,1.5,6.5,9,10
556020,1,10,2,10,8,10,1.5,6,6,7
562399,0,10,2,0,8,0,1.5,0,9,6
288842,1,10,10,10,10,10,5,8,10,10
752695,2,2.5,2,0,0,0,1.5,0,4,5
100168,2,10,8,0,10,10,5,5,10,9
751500,3,10,2,10,10,10,5,7.5,8,10
479550,6,10,10,4,10,10,5,5,6,10
980587,2,10,9,10,10,10,5,8,10,10
843535,0,10,10,0,10,0,5,1,10,9
706979,2,10,9,10,10,10,1.5,5,10,9
868090,0,2,8.5,10,10,0,1.5,8,10,10
891202,1,10,9,10,10,10,5,8,10,7
825875,0,10,8,8.25,10,10,5,8,10,10
127794,1,10,10,7,8,9,3,0,8,6
423080,1,10,10,8.5,10,10,1.5,9,9,9
482126,3,2,9,10,8,10,5,8.5,10,10
758184,3,10,9,6,6.5,10,5,8,10,9
218653,2,10,9,10,10,10,5,9,10,9
352138,2,10,9,10,10,10,1.5,5.5,10,10
843368,3,10,8.5,10,10,6,5,9,10,9
769753,2,10,8.5,10,10,10,5,7,8.5,7
496293,6,10,10,7.75,10,10,5,7,8,9
207486,1,10,10,10,10,10,5,8.5,10,9
878864,2,10,10,10,10,10,5,7.5,10,9
867083,0,1,10,9.25,0,0,0,3.5,6,6
938861,2,10,8.5,10,10,10,1.5,10,10,10
451623,2,10,2,10,10,10,5,7.5,10,8
378876,4,10,9,9.5,7,0,1.5,7,6,6
857405,1,10,9,0,5.75,3,1.5,4.5,10,6
992103,2,10,10,10,10,6,5,9,10,10
850664,3,2,10,0,7.5,0,1.5,5.5,6,6
935965,4,0,10,1,5.5,10,5,2,2,7
375253,1,10,9,0,10,10,2,5,10,10
324135,1,10,10,4,10,0,1.5,9,8,10
293634,0,10,8.5,10,10,10,3,2,9,9
711072,3,10,10,10,10,6,5,6,8,10
193776,1,10,10,10,10,10,5,10,10,10
587423,2,10,10,10,10,6,5,6,8,9
231177,2,10,10,6,5.5,2,5,2.5,10,6
202048,0,10,10,10,5.5,4,1.5,7.5,10,9
488889,1,7,10,4,10,0,1.5,4,8,7
841731,0,10,8.5,4,5.5,0,1.5,1,10,6
331418,2,10,10,10,10,10,1.5,10,10,10
739544,1,10,10,10,10,10,5,9,10,10
822014,5,10,8,0,10,4,5,9,10,10
970240,2,10,10,10,10,4,5,5.5,10,7
781433,2,10,10,0,0,0,1.5,2.5,2,0
992343,1,2,2,2,0,0,1.5,0,0,0
187418,0,10,8.5,7,10,10,5,7.5,10,9
611968,4,10,10,3.5,10,4,1.5,1.5,8,6
270982,3,10,2,0,5.5,0,1.5,3,7,6
467652,1,10,8,5.5,5.5,2,5,10,9,10
484728,0,1.5,8.5,5.25,7.5,0,1.5,7,10,10
416172,1,10,2,9,5.5,10,5,5,10,9
323859,5,10,10,7,10,10,1.5,7.5,10,10
736790,3,10,9,10,10,10,5,10,10,9
282874,4,10,8.5,8.5,10,10,5,9.5,8,8
999023,4,6,10,7.25,8.5,10,5,8.5,10,9
714184,2,2.5,10,3,10,10,5,8,10,10
316719,2,10,9,10,10,10,5,9.5,10,10
356382,4,9,8.5,1.75,0,4,1.5,4.5,10,10
237582,1,1,10,3,10,0,1.5,5.5,10,9
298429,7,6,10,8.25,0,10,5,6,10,9
829820,0,10,10,10,10,10,5,5,10,10
324553,5,10,10,9.25,10,10,5,8,8,9
214276,5,1.5,10,8,8,10,1.5,4.5,10,10
841390,2,10,10,6.25,10,0,1.5,4,10,10
643893,3,10,8.5,6.5,7,0,1.5,8.5,6,8
805441,6,10,0,0,10,10,1.5,4,6,7
205295,3,10,10,4,10,10,5,9.5,10,9
221958,0,4,10,6.5,4,10,1.5,4.5,6,7
980127,2,10,10,9.25,10,10,5,7,10,8
177840,1,10,10,9.25,10,10,3,8.5,8,10
920586,0,4,0,0,0,10,3,4.5,8,8
575085,1,2.5,8.5,6.5,6,0,1.5,3,6,10
802878,0,10,10,4,10,0,1.5,7,10,7
794376,3,6,1,5,8,10,1.5,6.5,10,9
441521,1,2,8.5,10,10,10,1.5,4,10,10
601701,1,6,10,10,10,10,1.5,10,10,9
277425,4,10,10,8,10,10,5,7,10,7
868406,0,2.5,8.5,1.25,6,10,1.5,7.5,10,10
329867,1,9.5,10,10,10,10,1.5,7,10,10
282845,8,9.5,8.5,10,10,10,5,8,10,10
955242,2,2.5,10,10,10,10,5,7,10,10
487505,0,4,8.5,10,0,0,1.5,4.5,10,9
907718,7,10,10,9.5,4,10,1.5,6,10,10
342170,0,6,9,10,3.25,10,5,5.5,10,9
120124,3,10,8.5,9.5,10,10,5,6,10,10
242493,1,10,10,10,10,10,5,7,10,10
946128,0,10,8.5,10,10,10,1.5,7,10,9
422809,2,10,10,7.75,10,10,5,7,10,10
649892,3,2.5,9,10,10,10,1.5,7,3,9
877116,0,9.5,10,3.5,0,10,5,8,9,10
743784,9,10,8.5,10,10,10,5,8,10,10
141625,0,6,10,9.25,6,4,1.5,7.5,10,6
147145,0,10,8.5,3.5,1.25,4,1.5,5,7,7
884161,4,0,10,1,0,7,1.5,4,3,9
687844,2,10,10,5.5,7,10,5,7,10,10
768234,6,10,8.5,8,10,10,1.5,0,10,10
613766,5,9.5,8.5,10,10,10,5,8,10,10
844340,0,10,10,0,4,9,1.5,7.5,8,0
947959,3,10,0,4.5,3,10,1,0,9,7
116312,1,2.5,10,3.5,4,10,1.5,6,3,10
331406,0,2.5,8.5,9,4,10,1.5,7,10,9
357173,1,10,10,4.5,10,0,1.5,8,10,10
566878,0,10,10,6,4,10,1.5,4,0,9
687940,0,6,10,9.5,4,10,1.5,7,10,8
684227,3,10,8.5,9.75,4,10,1.5,6.5,9,7
128016,2,2.5,0,4.5,0,0,1.5,1,10,7
158549,1,3,10,0,3.25,8,1.5,7,10,9
327020,3,10,10,10,10,10,1.5,8,10,9
583798,0,1,10,5,3.25,10,1.5,4,10,9
796147,12,10,10,10,10,0,3,7,10,10
109338,0,10,10,9,10,10,1.5,7,10,8
607016,2,2.5,8.5,0,6,0,1.5,5.5,6,8
187671,2,10,8.5,8.5,10,10,1.5,7,10,9
690064,5,2.5,8.5,1,0,0,1.5,0,8,6
352012,5,9.5,10,10,7,10,5,7,10,10
582644,0,10,10,9,8,10,1.5,7,10,8
742806,1,10,8.5,1,10,10,5,7.5,7,9
243610,6,9,10,9.25,5,10,5,8.5,10,10
893307,2,10,10,8.5,10,10,5,10,10,10
737475,4,10,10,10,10,9.5,2,7,10,10
340708,1,10,0,7.5,10,7.5,1.5,4,5,10
282568,1,10,10,9,10,10,5,8,10,10
165680,3,10,10,1.75,0,10,1.5,2,9,10
124704,5,0,8.5,5.5,4,0,1.5,0,10,8
820879,2,8,8.5,9.5,9,10,5,7,10,9
980472,6,10,8.5,10,7,10,1.5,7,10,9
297437,7,0,9.5,4.5,4,0,1.5,7,10,8
806967,2,9,10,10,3,10,5,9,8,10
294860,3,10,9,10,10,10,5,7,10,8
124193,3,6,10,6.5,0,2,1.5,8,8,10
478268,1,10,10,0,10,10,0,8,10,6
882657,2,10,9,0,10,0,1.5,7,8,5
392325,2,10,9,5,10,10,1.5,7.5,10,10
411906,0,9.5,10,10,10,10,1.5,6.5,10,10
548019,0,10,9,10,10,0,1.5,4,10,6
859374,7,9.5,10,10,4,9,1.5,7,10,10
635780,0,2.5,9,8.75,2,10,1.5,6.5,8,6
210273,2,2.5,0,6.5,8,10,5,7.5,7,6
927645,0,8,8.5,0,10,10,2,4,9,6
254596,0,0,8.5,3.5,0,0,1.5,4,7,6
664851,3,10,10,10,10,10,5,6.5,10,10
670267,3,10,10,8,10,10,5,8,10,10
126548,0,2.5,9,7.25,6,0,5,8.5,6,10
570810,2,10,10,0.5,10,0,1.5,9.5,10,6
689023,4,10,9.25,9,10,10,5,10,10,10
720293,4,0,9,0,4,0,1.5,6.5,10,7
480961,1,6,9,6,0,0,1.5,3,10,9
806039,10,10,10,2.5,8,10,1.5,5,10,10
306957,5,10,10,10,5,10,1.5,7,10,10
323214,0,10,10,10,5,10,1.5,6.5,10,10
100915,10,10,9,10,10,10,5,8,8,7
690059,2,10,10,7,1,10,5,7,10,10
585527,8,10,10,5.5,10,10,5,7,10,10
880562,5,10,10,10,10,10,5,7,10,10
646067,5,9,9,8.5,10,6,1.5,7.5,10,10
483406,0,10,0,0.75,10,0,1.5,5,10,4
311227,0,2.5,9,0,6.5,0,0,5,10,9
693045,1,1,10,10,10,2,1.5,4,9,9
