"source","SID","views2","pv_op","cv_float","ov_op","cv","reliability","h1","interpret"
"2_B_Feb15.csv",918144472,2,5,20,5,20,10,5,3.75
"2_B_Feb15.csv",921165862,0,5,13,5,15,10,5,2.5
"2_B_Feb15.csv",918333429,4,5,11,5,7.5,7,0,3.75
"2_B_Feb15.csv",921123901,3,5,11,0,20,10,5,3.75
"2_B_Feb15.csv",921252173,1,0,16,5,12.5,10,5,1.25
"2_B_Feb15.csv",920577927,1,5,20,5,20,7.5,5,2.5
"2_B_Feb15.csv",919598360,1,5,20,5,20,10,5,3.75
"2_B_Feb15.csv",918509156,1,5,16,5,20,10,5,2.5
"2_B_Feb15.csv",916561057,0,0,16,5,15,10,5,3.75
"2_B_Feb15.csv",919625589,0,5,8,0,0,10,5,1.25
"2_B_Feb15.csv",919796366,0,0,16,0,0,7.5,0,2.5
"2_B_Feb15.csv",921345608,4,0,13,5,0,5,0,1.25
"2_B_Feb15.csv",918193355,0,5,16,5,6.5,10,5,0
"2_B_Feb15.csv",920566462,1,5,18,5,6.5,10,5,1.25
"2_B_Feb15.csv",921392813,1,5,18,5,18,10,5,2.5
"2_B_Feb15.csv",920522338,3,5,20,5,9,10,5,2.5
"2_B_Feb15.csv",916873842,1,5,13,5,1,10,5,1.25
"2_B_Feb15.csv",920544484,5,5,20,5,18,10,5,3.75
"2_B_Feb15.csv",919787061,3,5,20,5,19,10,5,2.5
"2_B_Feb15.csv",917288643,0,5,3,5,0,10,5,2.5
"2_B_Feb15.csv",919596375,4,0,11,5,0,5,0,1.25
"2_B_Feb15.csv",918444761,0,5,20,5,16,10,5,0
"2_B_Feb15.csv",919508059,0,5,20,5,20,10,5,2.5
"2_B_Feb15.csv",919987023,1,5,20,5,7.5,10,5,2.5
"2_B_Feb15.csv",919503889,2,5,18,5,20,10,5,3.75
"2_B_Feb15.csv",920626001,4,0,20,5,5,10,5,1.25
"2_B_Feb15.csv",921485830,0,5,16,5,20,10,5,2.5
"2_B_Feb15.csv",920649075,0,5,13,5,8.5,10,5,3.75
"2_B_Feb15.csv",919809499,4,5,16,5,15,10,5,3.75
"2_B_Feb15.csv",918641454,0,0,16,5,0,10,5,2.5
"2_B_Feb15.csv",918583017,1,5,16,5,16,10,5,3.75
"2_B_Feb15.csv",918281005,0,5,20,5,19,10,5,3.75
"2_B_Feb15.csv",919688636,0,5,20,5,19.5,8,0,3.75
"2_B_Feb15.csv",919490633,2,5,11,5,3.5,7,5,3.75
"2_B_Feb15.csv",921157935,0,5,20,5,0,8,5,1.25
"2_B_Feb15.csv",918817275,0,0,16,5,20,8,5,1.25
"2_B_Feb15.csv",920101885,0,0,16,5,16.5,5,0,3.75
"2_B_Feb15.csv",920890235,3,5,20,5,19.5,10,5,5
"2_B_Feb15.csv",920795518,3,5,16,5,10.5,7,5,2.5
"2_B_Feb15.csv",919757415,0,5,20,5,6,10,5,1.25
"2_B_Feb15.csv",918245847,0,0,16,5,7.5,10,0,1.25
"2_B_Feb15.csv",917076978,1,5,20,5,17.5,10,5,3.75
"2_B_Feb15.csv",920661066,1,5,20,5,17,10,5,3.75
"2_B_Feb15.csv",921033127,0,5,8.5,5,0,7.5,0,1.25
"2_B_Feb15.csv",919551925,0,0,16,5,20,10,5,2.5
"2_B_Feb15.csv",918530662,1,5,8,5,15.5,10,5,3.75
"2_B_Feb15.csv",919623138,3,5,20,5,12.5,10,0,2.5
"2_B_Feb15.csv",919386022,1,5,20,5,14,8,5,2.5
"2_B_Feb15.csv",919750807,1,5,20,5,17,10,5,2.5
"2_B_Feb15.csv",919881239,2,5,16,5,9.5,8,5,2.5
"2_B_Feb15.csv",920482533,1,5,14,5,0,5,0,1.25
"2_B_Feb15.csv",919667178,1,5,18,5,2,7,5,2.5
"2_B_Feb15.csv",916748430,0,5,19,5,10,10,5,5
"2_B_Feb15.csv",920656424,1,5,19,5,20,10,5,2.5
"2_B_Feb15.csv",919684805,0,5,20,5,18,10,5,3.75
"2_B_Feb15.csv",920916630,3,5,18,5,17.5,8,0,2.5
"2_B_Feb15.csv",919385463,1,5,20,5,18,10,5,3.75
"2_B_Feb15.csv",919173934,0,5,20,5,20,10,5,2.5
"2_B_Feb15.csv",921180177,3,5,20,5,18,10,5,3.75
"2_B_Feb15.csv",920489617,1,5,16,5,16.5,10,5,1.25
"2_B_Feb15.csv",918682112,2,5,18,5,18,10,5,3.75
"2_B_Feb15.csv",915836301,2,5,16,5,20,10,5,2.5
"2_B_Feb15.csv",920179147,2,5,16,5,0,10,5,1.25
"2_C_Feb15.csv",919496336,2,5,3,5,10.5,7.5,0,3.5
"2_C_Feb15.csv",918436504,0,5,16,5,16.5,10,0,3.5
"2_C_Feb15.csv",921393838,1,5,20,5,16.5,10,5,3.5
"2_C_Feb15.csv",918802303,0,0,6,5,9,5,0,4.25
"2_C_Feb15.csv",919716391,5,5,19,5,8,10,5,3.5
"2_C_Feb15.csv",921072832,1,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",919337563,0,5,19,5,16.5,10,0,3.5
"2_C_Feb15.csv",919573149,0,5,20,5,10,7.5,0,2.5
"2_C_Feb15.csv",919426270,2,5,19,5,18,10,5,3.5
"2_C_Feb15.csv",920435894,2,5,19,5,11,10,5,1.75
"2_C_Feb15.csv",919415469,0,5,20,5,15,0,0,3.5
"2_C_Feb15.csv",917337099,1,5,17,5,18,10,5,4.25
"2_C_Feb15.csv",921316857,0,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",919153488,2,5,20,5,20,10,5,3.5
"2_C_Feb15.csv",919361571,1,5,18,5,0,10,0,1.75
"2_C_Feb15.csv",917214277,2,5,20,5,17,10,5,3.5
"2_C_Feb15.csv",920674639,3,5,20,5,18,10,5,3.5
"2_C_Feb15.csv",920524873,4,5,18,5,6,10,5,4.25
"2_C_Feb15.csv",921300973,0,5,11,5,4,5,5,3.5
"2_C_Feb15.csv",919859520,0,0,7,5,10,10,0,3.5
"2_C_Feb15.csv",918106892,7,0,13,5,7,10,5,0
"2_C_Feb15.csv",920848753,3,5,20,5,3,10,0,4.25
"2_C_Feb15.csv",918722483,1,5,20,5,12,10,5,4.25
"2_C_Feb15.csv",920858390,1,5,20,5,5.5,10,5,3.5
"2_C_Feb15.csv",918533669,1,5,10,5,15,10,5,3.5
"2_C_Feb15.csv",919194104,1,0,7,5,5,0,5,4.25
"2_C_Feb15.csv",921328243,1,0,20,5,16,10,5,3.5
"2_C_Feb15.csv",920085752,3,5,20,5,15,10,5,4.25
"2_C_Feb15.csv",920112191,1,0,15,5,15.5,10,5,3.5
"2_C_Feb15.csv",920929339,1,5,20,5,14,10,5,4.25
"2_C_Feb15.csv",916855734,2,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",919499142,7,5,20,5,17,10,5,0
"2_C_Feb15.csv",919938865,2,0,6,5,2,8,5,4.25
"2_C_Feb15.csv",919169883,0,5,20,5,19,10,5,4.25
"2_C_Feb15.csv",920488993,0,5,18,5,2,7.5,0,4.25
"2_C_Feb15.csv",919986590,1,5,16,5,13.5,10,5,1.75
"2_C_Feb15.csv",919951839,1,5,10,5,11,10,5,4.25
"2_C_Feb15.csv",920803785,1,5,20,5,18,10,5,5
"2_C_Feb15.csv",921315269,3,5,20,5,2,10,5,3.5
"2_C_Feb15.csv",921492506,3,5,20,5,6,10,5,3.5
"2_C_Feb15.csv",921066877,1,5,10,5,10,10,0,3.5
"2_C_Feb15.csv",918552103,3,5,18.5,5,9,10,5,0
"2_C_Feb15.csv",918166353,1,5,20,5,10,10,5,4.25
"2_C_Feb15.csv",919195459,1,5,20,5,8.5,10,5,4.25
"2_C_Feb15.csv",918687528,0,5,19,5,17,10,5,4.25
"2_C_Feb15.csv",918546601,0,5,19,5,13,10,5,3.5
"2_C_Feb15.csv",921058432,1,5,20,5,17,10,5,3.5
"2_C_Feb15.csv",919049974,1,5,10,5,16,10,5,3.5
"2_C_Feb15.csv",918550338,0,5,20,5,9,10,5,4.25
"2_C_Feb15.csv",919246641,0,5,19,5,6,10,5,4.25
"2_C_Feb15.csv",920654028,1,5,20,5,16,10,5,4.25
"2_C_Feb15.csv",921326070,4,5,19,5,15,10,5,2.5
"2_C_Feb15.csv",919745236,5,5,20,5,4,10,5,2.5
"2_C_Feb15.csv",920041576,0,5,20,5,17,10,5,3.5
"2_C_Feb15.csv",918306281,0,0,4,5,11,10,5,3.5
"2_C_Feb15.csv",916473734,0,0,6,5,12,8,5,3.5
"2_C_Feb15.csv",919570760,1,5,5,5,15,10,5,0
"2_C_Feb15.csv",919520846,3,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",918216504,1,5,20,5,16,10,5,3.5
"2_C_Feb15.csv",918061937,0,5,20,5,17,10,5,5
"2_C_Feb15.csv",920802540,0,5,20,5,18,7.5,5,5
"2_C_Feb15.csv",919141513,0,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",920592504,1,5,20,5,17,10,0,1.75
"2_C_Feb15.csv",917985726,1,5,19,5,17,10,5,4.25
"2_C_Feb15.csv",919802470,0,0,20,5,0,10,0,3.5
"2_C_Feb15.csv",920042229,0,0,20,5,18,10,0,3.5
"2_C_Feb15.csv",918726780,1,5,13,5,13,10,0,4.25
"2_C_Feb15.csv",920766615,1,5,20,5,15,10,5,5
"2_C_Feb15.csv",920777060,7,5,20,5,16,10,5,5
"2_C_Feb15.csv",919278033,0,5,20,5,17,10,5,4.25
"2_C_Feb15.csv",921013626,0,5,20,5,13,10,0,3.5
"2_C_Feb15.csv",918612056,0,0,8,5,18,10,5,3.5
"2_C_Feb15.csv",920978924,1,5,20,5,19,10,5,4.25
"2_C_Feb15.csv",920003983,1,5,18,5,18,10,0,3.5
"2_C_Feb15.csv",921314639,3,5,20,5,14,10,5,5
"2_C_Feb15.csv",919230013,0,5,20,5,17,10,5,4.25
"2_C_Feb15.csv",918841791,0,5,18,5,12.5,5,5,4.25
"2_C_Feb15.csv",919739116,1,5,16,5,8,10,5,0
"2_C_Feb15.csv",920775172,4,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",918129510,0,0,20,5,17,10,0,3.5
"2_C_Feb15.csv",919495159,0,5,13,5,10.5,10,5,3.5
"2_C_Feb15.csv",920545603,4,5,18,5,8,10,5,3.5
"2_C_Feb15.csv",919602324,1,5,20,5,18,10,5,3
"2_C_Feb15.csv",919812237,0,5,18,5,18,10,0,1.75
"2_C_Feb15.csv",918717799,0,5,4,5,12.5,10,5,3.5
"2_C_Feb15.csv",920049086,1,5,20,5,19,10,5,4.25
"2_C_Feb15.csv",921476739,3,5,20,5,13,10,5,3.5
"2_C_Feb15.csv",918772653,0,5,20,5,18,10,5,4.25
"2_C_Feb15.csv",919358047,1,5,5,5,13.5,10,5,4.25
"2_C_Feb15.csv",921341534,0,0,20,5,7,10,5,3.5
"2_C_Feb15.csv",919151228,0,5,20,5,9.5,10,5,5
"2_C_Feb15.csv",920985496,1,5,18,5,16,10,5,2.5
"2_C_Feb15.csv",918570583,0,5,12,5,2,10,5,4.25
"2_C_Feb15.csv",918634995,2,5,20,5,17,10,5,4.25
"2_C_Feb15.csv",920076059,3,5,3,5,0,10,0,3.5
"2_C_Feb15.csv",919971291,1,5,20,5,16,10,5,4.25
"2_C_Feb15.csv",919926411,0,0,6,0,2,10,5,0
"2_C_Feb15.csv",920602818,0,0,19,5,18,10,5,4.25
"2_C_Feb15.csv",921117454,0,5,20,5,14,10,5,0
"2_C_Feb15.csv",920771613,0,5,18,5,14,7.5,0,0
"2_C_Feb15.csv",918525525,1,5,19,5,18.5,10,5,4.25
"2_C_Feb15.csv",917452110,0,5,17,5,16,10,5,4.25
"2_C_Feb15.csv",920852930,1,5,6,5,14,10,5,3.5
"2_C_Feb15.csv",917065921,1,5,20,5,14,10,5,1.75
"2_C_Feb15.csv",919722259,1,0,9,5,0,10,5,4.25
"2_D_Feb15.csv",921490977,0,5,15,5,12,10,5,5
"2_D_Feb15.csv",919988365,1,5,20,5,17,10,0,5
"2_D_Feb15.csv",919544110,3,5,20,5,18,10,5,4.25
"2_D_Feb15.csv",919706903,1,5,0,5,9,10,5,3.5
"2_D_Feb15.csv",920505782,8,5,18,5,16,10,5,0
"2_D_Feb15.csv",916932291,1,5,20,5,19,10,5,2.5
"2_D_Feb15.csv",920780219,1,5,15,5,4,10,5,3.5
"2_D_Feb15.csv",920462197,0,5,20,5,19,10,0,4.25
"2_D_Feb15.csv",920077401,0,5,13,5,0,10,5,5
"2_D_Feb15.csv",920495805,0,5,20,5,14,10,5,3.5
"2_D_Feb15.csv",920181258,0,5,4,5,17,10,5,4.25
"2_D_Feb15.csv",918614520,4,5,20,5,16.5,10,5,2.5
"2_D_Feb15.csv",920829963,0,0,13,0,13,10,0,3.5
"2_D_Feb15.csv",919246418,2,0,20,5,10.5,10,5,4.25
"2_D_Feb15.csv",919832301,1,5,20,5,19,10,5,4.25
"2_D_Feb15.csv",917987070,2,5,20,5,18,10,5,4.25
"2_D_Feb15.csv",919664113,0,5,20,5,0,10,0,5
"2_D_Feb15.csv",918752835,1,5,20,5,12.5,10,5,0
"2_D_Feb15.csv",919295087,1,5,15,5,15.5,10,5,4.25
"2_D_Feb15.csv",918479587,3,5,8,5,17,10,5,1.75
"2_D_Feb15.csv",918805805,0,5,20,5,13,7,0,4.25
"2_D_Feb15.csv",921205214,1,0,18,5,6.5,10,5,4.25
"2_D_Feb15.csv",919864667,0,0,3,5,0,10,5,3.5
"2_D_Feb15.csv",919223266,2,5,20,5,17,10,5,5
"2_D_Feb15.csv",919928969,1,5,20,5,11,10,5,1.75
"2_D_Feb15.csv",918467557,0,5,20,5,17,10,5,4.25
"2_D_Feb15.csv",918333241,1,5,20,5,18,10,5,4.25
"2_D_Feb15.csv",919860519,7,0,16,5,17.5,10,5,5
"2_D_Feb15.csv",918588300,0,5,11,5,15,7,0,0
"2_D_Feb15.csv",919396119,2,5,0,5,8.5,10,5,2.5
"2_D_Feb15.csv",918578190,0,5,20,5,10,10,5,2.5
"2_D_Feb15.csv",921096656,3,0,17,5,14,5,5,3.5
"2_D_Feb15.csv",919712256,1,5,20,5,17,10,5,4.25
"2_D_Feb15.csv",921187471,1,5,17,5,11.5,10,0,0
"2_D_Feb15.csv",919254565,0,5,11,5,9,7,5,1.75
"2_D_Feb15.csv",918609661,0,5,20,5,12.5,10,5,4.25
"2_D_Feb15.csv",919973286,0,5,6,5,19,10,0,4.25
"2_D_Feb15.csv",921390556,0,5,20,5,12.5,10,5,3.5
"2_D_Feb15.csv",920482850,3,5,18,5,15,10,5,4.25
"2_D_Feb15.csv",919180192,0,0,11,5,0,10,0,1.75
"2_D_Feb15.csv",919286449,0,5,0,5,10,7,0,3.5
"2_D_Feb15.csv",919914818,0,5,20,5,10,10,5,0.5
"2_D_Feb15.csv",920436534,2,5,20,5,19,10,5,1.75
"2_D_Feb15.csv",918471718,1,5,20,5,17,10,5,2.5
"2_D_Feb15.csv",919332652,3,5,17,5,18,5,0,4.25
"2_D_Feb15.csv",920506710,1,5,20,5,19,10,5,1.75
"2_D_Feb15.csv",919651809,1,5,15,5,12,10,0,3.5
"2_D_Feb15.csv",920878008,3,5,20,5,17,10,5,2.5
"2_D_Feb15.csv",918631383,3,5,20,5,17,10,5,4.25
"2_D_Feb15.csv",920648021,4,5,20,5,19,10,5,5
"2_D_Feb15.csv",918218890,1,5,11,5,16,10,5,4.25
"2_D_Feb15.csv",920734032,1,5,13.5,5,13,10,0,3.5
"2_D_Feb15.csv",919380662,0,5,20,5,17,10,0,5
"2_D_Feb15.csv",921034838,1,5,20,5,20,10,5,5
"2_D_Feb15.csv",919330780,2,5,20,5,16,10,5,4.25
"2_D_Feb15.csv",921241692,1,5,6,5,19,10,5,5
"2_D_Feb15.csv",916556606,0,5,8,5,8,10,0,4.25
"2_D_Feb15.csv",920831825,0,5,20,5,20,10,5,5
"2_D_Feb15.csv",919525951,1,0,20,5,16,10,5,4.25
"2_D_Feb15.csv",919705946,1,5,11,5,13.5,10,5,2.5
"2_D_Feb15.csv",919494736,2,5,20,5,17,10,5,0
"2_D_Feb15.csv",920477865,0,5,20,5,20,10,5,3.5
"2_D_Feb15.csv",920641471,3,5,20,5,20,8,0,4.25
"2_D_Feb15.csv",919565597,1,5,19,5,17,10,5,2.5
