anon_id,views,pv_op,cv_float,ov_op,cv,reliability,h1,interpret
939066,8,3.5,13,10,20,0,10,1.25
319559,2,8,18,10,2,0,10,2.5
914016,1,5,18.5,9,15,5,10,2.5
120124,7,9.5,16,10,20,0,10,3.75
487505,0,3.5,16,10,13,0,8,2.5
199772,1,6,5.5,10,19,8,5.5,2.5
329867,3,7,15.5,10,19,0,10,2.5
282845,2,8,9,10,19,4.5,10,2.5
522922,8,6.5,11,0,0,0,10,2.5
493377,4,6,5,10,0,6,10,1.25
649892,4,6,16.5,10,17,0,10,2.5
242493,3,6.5,16.5,10,20,10,10,2.5
216877,0,6,16.5,10,17,9,10,2.5
861958,2,6,7,8,20,0,10,1.25
257545,5,8,15.5,10,0,6,10,3.75
980587,10,7,18,10,20,10,10,2.5
237582,2,5.5,7.5,8,13,0,10,2.5
479550,6,9,20,9,20,8.5,10,2.5
568721,1,8.75,11,9,20,1.5,10,2.5
841390,6,9.75,20,9,20,9,10,2.5
423080,4,9,20,10,16,3,10,3.75
825875,1,10,19,9.5,16,10,10,2.5
348715,2,10,18,7.5,20,7,10,2.5
706979,3,10,20,9.5,11,7,10,2.5
324553,3,9,20,8,16,10,8,2.5
218653,2,9,20,9.5,20,10,10,2.5
520659,5,9,16,10,20,8,10,3.75
458187,4,9,20,8,16,0,10,1.25
681486,2,9,18,10,20,0,10,3.75
980127,3,8.25,6,9.5,18,0,10,2.5
781336,7,10,20,10,20,10,10,2.5
338114,0,0,1,6,16,0,0,1.25
607045,0,2,3,8,16,10,8,2.5
993306,2,1,12.5,3,20,0,10,1.25
566878,1,7,15.5,5,20,0,10,2.5
364560,1,9,20,9,9,4,10,2.5
268619,1,0.75,1,5,12,0,8,1.25
175573,2,6.5,6,9,16,0,10,1.25
822752,1,8,12,9,20,5,10,1.25
886232,0,0,7.5,6,16,3.5,8,2.5
796147,11,9,20,10,20,4,10,3.75
574860,6,5.5,14.5,9,20,9.5,10,2.5
965522,1,9,13,9,16,0,10,3.75
583798,0,9,16,7.5,13,5.5,8,1.25
327020,3,8.25,20,9.5,16,10,10,2.5
128016,4,8,14,8,5,0,10,1.25
761526,4,6.5,13,8,9,10,10,1.25
142556,2,9,20,8,20,0,8,3.75
187671,0,9,12,10,20,0,10,1.25
863048,1,9,17,8,16,10,10,2.5
143458,4,0,2.5,7,8,0,10,1.25
427397,2,9,17.5,10,16,8.5,10,3.75
917655,5,9,14,10,20,0,10,2.5
162187,0,4,16,10,18,0,8,3.75
937053,5,9,20,7,18,4,10,5
208750,0,9,0,7,16,0,10,5
282568,5,9,20,10,20,0,8,3.75
351711,11,7,16,8,18,8.5,10,2.5
460606,7,6,19,8,20,0,6,1.25
309943,2,9,14,10,20,7,10,1.25
676026,5,9,16,10,20,0,10,3.75
693286,3,7.75,18,10,20,10,10,2.5
297437,4,5.75,5,6.5,11,0,10,1.25
478268,4,1,16.5,10,16,1,10,2.5
139950,1,4.5,19,6,20,9,10,2.5
134149,1,1,8.5,8,20,10,8,2.5
375253,4,8.25,10,7.5,11,0,10,3.75
907662,2,2,10,6,12.5,4.5,10,0
548019,0,7,20,8.5,20,9.5,10,2.5
891202,2,7.5,20,8,20,10,8,3.75
808404,3,7,19,10,16,10,8,2.5
863924,5,6,18,8,20,10,10,3.75
223333,0,8,16,8,16,0,10,2.5
202048,4,8,20,6,20,3.5,10,3.75
822014,5,9,15,8,13,10,10,2.5
370378,4,6.5,7.5,10,11,0,8,3.75
806039,11,9,20,10,11,0,10,3.75
849990,2,4,12.5,8,16,0,10,1.25
739544,2,5,20,8,20,10,10,2.5
451623,2,10,20,10,20,10,10,3.75
100915,3,5.5,20,8,16,5,10,2.5
484728,0,8,15,10,16,10,10,3.75
298840,1,1.5,0,8,8,1.5,10,1.25
760890,0,0,0,7.5,16,4,8,2.5
781433,5,3,0,6.5,13,0,2,1.25
745036,0,3.5,6.5,8,16,5,8,0
270982,4,5.5,6.5,9,18,0,10,1.25
850435,3,8,18,9,18,10,10,2.5
306957,5,8.75,9,10,20,0,10,2.5
862239,2,8,1,10,13,0,10,1.25
646067,7,5.25,18,10,20,9.5,10,3.75
669717,3,7,19,8,20,10,10,2.5
311227,1,2,0,6.5,3,1.5,10,2.5
499213,6,3,0,6,11,0,10,1.25
335731,0,6,16,6,20,0,10,0
780786,1,8.5,20,8,20,3.5,10,2.5
326394,1,7,7.5,6,20,7,10,2.5
955242,3,10,20,9,18,10,10,3.75
277425,4,3,5,8,20,3.5,10,1.25
868406,0,8,20,8,16,4.5,8,2.5
710489,1,5,8.5,10,13,10,10,3.75
637438,6,8.75,17,10,16,3.5,10,3.75
515838,0,7,0,7.5,16,2,10,2.5
450272,4,9,16,10,16,10,10,3.75
337398,1,7.75,19,7.5,20,3.5,8,3.75
471494,1,8.5,19.5,8,20,10,10,3.75
502302,4,9,3.5,10,11,3.5,10,3.75
147145,0,0,0,6,20,0,10,1.25
504530,2,6.75,20,6,16,0,10,1.25
116312,3,8,16.5,8,16,10,10,3.75
116004,6,7.75,19.5,10,20,3.5,10,5
682407,4,4,10.5,8,16,0,10,2.5
274235,1,7,6,10,20,3,10,1.25
156364,0,10,7.5,1,16,5,8,1.25
292900,1,9,17.5,10,20,3.5,8,3.75
868195,4,8.5,17,10,20,9.5,10,3.75
752695,3,0,0,6,8.5,3,10,1.25
100168,3,3,20,7.5,16,5,10,2.5
785013,4,8.25,15.5,9.5,8,1.5,10,3.75
776965,4,8.25,12.5,7.5,20,8,10,2.5
919451,1,0.5,14,10,20,4.5,10,2.5
354057,1,8.25,17,9.5,20,7,10,2.5
978499,6,8,9.5,8,16,0,10,2.5
533181,3,0,0,5,14,10,7.5,1.25
132340,1,10,2,10,18,10,10,2.5
951938,0,6,10,9,19,10,8,5
789124,2,9,20,10,19,9.5,10,2.5
465537,0,9,18,10,20,4,10,3.75
221844,4,8,17.5,10,18,0,10,2.5
852104,5,8,18,8,20,9.5,10,3.75
700506,2,9.25,20,9.5,20,7,10,2.5
370790,7,10,18,10,20,10,10,3.75
936964,7,7.5,16.5,9.5,16,0,10,1.25
618706,3,8.5,18,8,18,10,10,3.75
122746,2,9.5,20,9.5,16,7,10,2.5
117848,5,7.25,0,9,16,1,10,1.25
590181,2,0.5,10.5,2,3,0,10,3.5
158549,0,7,16.5,4,16,0,10,3.5
453529,3,9,16.5,10,20,0,10,3.5
958843,2,6.5,9,8,6,3,10,4.25
402997,15,5,10,10,19,10,10,3.5
361425,2,9,18,10,20,9,10,4.25
832756,1,6,16.5,10,19,0,10,3.5
920816,0,9,10,7,20,0,10,2.5
282874,3,9.5,18,10,19,10,10,3.5
883903,7,3.5,11,8,19,10,10,1.75
209254,0,3,15,5,20,0,10,3.5
151246,4,5.5,18,7,17,5,10,4.25
582644,2,6,18,10,20,0,10,4.25
893307,3,9,20,10,20,9,10,3.5
690064,6,0,0,0,18,5,0,1.75
617396,2,8.5,17,10,20,7.5,10,3.5
244223,5,8.5,18,8,20,10,10,3.5
316657,12,10,6,8,18,0,10,4.25
607016,0,7,4,10,11,0,10,3.5
340708,0,5,10,8,7,0,10,3.5
535753,9,10,7,7,13,10,0,0
352012,6,8,3,5,20,0,10,4.25
165680,5,9,12,10,20,0,10,4.25
550977,2,9,5.5,8,20,10,10,3.5
873291,10,10,15,6,10,10,10,3.5
224768,1,6.5,5,9,7,0,10,4.25
941242,4,7.5,16,8,20,0,10,3.5
124193,3,9,15,9,20,0,10,4.25
769753,6,7.5,15.5,8,15,0,10,3.5
509369,1,9,14,10,20,0,10,4.25
191876,3,10,18,9.5,20,10,10,4.25
518197,9,9,17,9,20,9,10,0
766313,5,8,2,4.5,6,0,10,4.25
193776,0,9,19,10,20,9,10,4.25
254596,0,8.5,2,9,18,1,10,4.25
265323,6,7.5,13.5,7,16,9,10,1.75
805091,4,9,11,6,10,9,10,4.25
670267,2,9,18,10,20,10,10,5
938861,9,8.5,2,10,20,3.5,10,3.5
335736,11,8.5,6,7,20,0,10,3.5
878864,3,8,10,9,10,0,10,3.5
587423,5,7,9,7,18.5,9,10,0
736790,1,8,10,10,20,10,10,4.25
664851,4,8,11.5,10,20,7,10,4.25
909875,1,9,17,7,19,0,10,4.25
930504,3,9,13,10,19,9,10,3.5
507880,5,8,17,10,20,7,10,3.5
514088,3,8,16,10,10,0,10,3.5
229553,1,7.5,9,9,20,9.5,10,4.25
841731,2,8,6,7,19,0,10,4.25
437305,1,7.5,16,6,20,10,10,4.25
331418,5,9,15,9,19,6,10,2.5
488889,6,8,4,9,20,0,10,2.5
970240,6,8,17,7,20,9,10,3.5
936273,0,8,11,10,4,0,10,3.5
992343,0,0,12,0,6,0,10,3.5
861674,11,7.5,15,9,5,10,10,0
323859,10,9,18,7,20,10,10,4.25
880562,7,7,16,7,20,10,10,3.5
657848,2,7.5,17,7.5,20,10,10,5
862880,0,7.5,18,7,20,0,10,5
483406,0,8,18,10,20,8,10,4.25
394484,1,9,17,8,20,9,10,1.75
601701,1,10,17,9,19,10,10,4.25
267132,0,5,0,8,20,10,10,3.5
115362,0,8.5,18,9,20,0,10,3.5
422809,7,8,13,8,13,0,10,4.25
376854,3,8,15,10,20,9,10,5
743784,12,9,16,8,20,10,10,5
158198,0,9,17,8,20,10,10,4.25
815620,0,7.5,13,9,20,9.5,10,3.5
946128,0,7,18,8,8,0,10,3.5
205809,2,9,19,9,20,4.5,10,4.25
738332,1,6.5,18,7,18,8.5,10,3.5
613766,12,7.5,14,10,20,5.5,10,5
425200,7,10,17,10,20,0,10,4.25
644205,2,5.5,12.5,7,18,4,10,4.25
947959,8,8,8,9,16,0,10,0
505593,14,9,20,7,20,4.5,10,4.25
912689,1,8,17,6,20,0,10,3.5
298091,0,8,10.5,6,13,0,10,3.5
356382,7,7.5,8,9,18,0,10,3.5
967176,1,9,18,7,20,10,10,3
946353,5,8,18,10,18,10,10,1.75
843535,0,9,12.5,9,4,10,10,3.5
721359,3,9,19,10,20,10,10,4.25
497496,10,9,13,8.5,20,0,10,3.5
560484,1,9,18,10,20,7,10,4.25
627572,5,7.5,13.5,10,5,0,10,4.25
903345,1,8,7,9,20,0,10,3.5
449769,2,9,9.5,9,20,10,10,5
570017,2,9,16,10,18,6,10,2.5
362052,0,8.5,2,6,12,0,10,4.25
758184,5,10,17,10,20,0,10,4.25
805441,6,7.5,0,2,3,0,10,3.5
205295,4,9,16,10,20,8.5,10,4.25
889441,0,7,2,8,6,0,0,0
678041,2,7.5,18,6,19,10,10,4.25
802878,2,10,14,8,20,0,10,0
882737,1,3,14,0,18,0,10,0
177840,1,8,18.5,8,19,7,10,4.25
469937,4,9,16,10,17,10,10,4.25
646241,3,7,14,8,6,0,0,3.5
124704,3,7.5,14,6.5,20,7,10,1.75
429085,2,7.5,0,9,9,0,8,4.25
624947,3,10,12,9,15,4,10,5
919266,9,10,17,10,20,3,10,5
557781,8,10,18,10,20,0,8,4.25
695840,2,8,9,8,0,0,10,3.5
243610,9,10,16,8,18,9,8,0
970613,1,10,19,8,20,10,10,2.5
634523,1,10,4,7,15,0,10,3.5
742806,0,10,19,3.5,20,10,10,4.25
600034,1,10,0,7.5,13,0,10,5
975639,0,10,14,5,20,0,0,3.5
109338,1,9.25,17,8,4,7,10,4.25
737475,7,10,16.5,7,20,10,8,2.5
448698,0,9,13,0.5,13,10,10,3.5
186775,2,8,10.5,6,20,0,10,4.25
426634,1,10,19,7,20,10,10,4.25
749976,2,10,18,9,20,9.5,10,4.25
840605,4,9,0,7,20,0,8,5
820879,3,8,12.5,5,20,9,10,0
819157,3,7.5,15.5,7,15,10,10,4.25
980472,7,9,17,9,8,10,10,1.75
741913,0,6,13,1.5,20,10,10,4.25
843368,3,10,6.5,5,18,10,10,4.25
357577,0,0,0,2,3,0,10,3.5
806967,2,10,17,7,20,10,10,5
564146,3,10,11,6.5,20,3,10,1.75
704993,0,9,17,4,20,0,10,4.25
357173,2,10,18,6,20,10,10,4.25
378876,15,9,17.5,4,16,5.5,10,5
480961,0,9,15,6,11,4.5,10,0
398075,7,8.5,8.5,3,0,0,10,2.5
231177,4,10,10,9,20,9.5,10,2.5
776985,5,8.25,14,7,17,1,10,3.5
126548,3,8,17,6,20,10,10,4.25
273032,1,10,11.5,4,17,0,10,0
720293,1,8.5,9,2.5,11,5,8,1.75
570810,6,9,12.5,7,20,0,10,4.25
562658,2,8.75,19,9,6,10,10,4.25
293634,0,10,12.5,2,20,0,10,3.5
992103,8,9.5,15,5,18,8.5,10,4.25
603399,0,8,0,2,11,0,10,1.75
857405,2,7,10,2,0,0,10,3.5
324135,1,8,10,4.5,20,10,10,0.5
676277,6,9.25,19,9,20,10,10,1.75
392325,4,8,17,8,20,9.5,10,2.5
289163,5,10,18,8,17,9.5,8,4.25
207486,1,10,19,8,20,9.5,10,1.75
635780,3,3,12,6,15,0,10,3.5
530411,5,10,17,5,20,9.5,10,2.5
210273,5,8,17,9,20,10,10,4.25
578485,4,9.5,19,6,20,9,10,5
711072,5,9.5,16,6,11,9,10,4.25
611968,1,9,13,3,13.5,7.5,10,3.5
187418,0,7.25,17,6,20,7,10,5
987447,4,10,20,4,20,10,10,5
585527,7,10,16,6,20,10,10,4.25
467652,1,7.5,19,7,6,9,10,5
259122,0,9.5,8,4.5,8,0,10,4.25
839513,0,9,20,6,20,6,10,5
796250,2,10,16,6,20,7,10,4.25
878824,7,10,13.5,6,11,0,0,2.5
444720,5,10,17,9,20,10,10,0
555054,0,7,20,4.5,20,0,10,3.5
341372,7,9,20,4,20,10,8,4.25
864689,1,9.5,17,8,19,0,10,2.5
441521,5,10,0,8,14,7,10,3.5
980357,2,8,10,6,9.5,9.5,10,5
166548,3,8,12,6,20,10,10,1.75
377090,2,9,20,6,14,7,10,5
342170,2,7,0,3.5,9,0,8,3.5
879263,4,7.5,16,5,18,9,10,4.25
907718,3,10,20,5,14,10,10,4.25
179184,5,8.5,17,5.5,11,9,10,4.25
197878,4,2,19,2,18,9.5,10,2.5
172263,3,9.5,13,9,20,0,10,5
353441,8,9.5,15.5,5,20,9.5,10,0
348376,0,9,13.5,5,20,7,10,0.5
113553,1,0,0,0,9,0,10,3.5
700670,1,10,15.5,6,20,0,10,4.25
562399,2,7.25,0,1,0,3.5,10,3.5
802566,1,6,13.5,0,5.5,0,10,0
495024,2,9,16,4,0,0,10,0
331406,2,9,15.5,5,20,0,10,0.5
783735,18,9.75,14,8,12,9,8,4.25
884161,6,3.75,0,0,6,0,10,3.5
556020,3,8,0,8,12,0,10,0.5
785732,0,8,13,5,9,0,10,3.5
660431,3,8.5,13,9,20,9,10,5
316719,2,10,18,7,20,10,10,5
999023,3,9.25,13,7,20,9.5,10,1.75
714184,5,10,20,8,11,0,10,5
589905,5,10,17,6,20,10,10,4.25
820889,3,10,0,4,11.5,10,10,4.25
877146,2,8.25,16,5,15,0,10,4.25
643893,8,8,17,2,20,0,10,3.5
766084,1,10,19,6,17,0,10,3.5
482126,7,9,13,6,20,10,10,3.5
214276,6,9.25,15,7,9,10,10,0
127794,1,8.5,13,7,6,9.5,10,4.25
354907,4,10,18,8,14,10,10,5
352138,4,10,10,5,13.5,0,10,4.25
711460,0,7,17,9,20,10,10,1.75
957384,1,9.25,20,6,17,10,10,4.25
575085,1,10,8,0.5,0,0,10,1
920586,1,4,0,0,0,0,8,4.25
