anon_id,views,pv_op,cv,cv_compare,confound,internal,interpret,external,replication
187418,0,9,7,8.5,2,10,5,10,5
878824,5,9,2,8.5,10,10,10,10,10
669717,1,10,8.5,10,2,10,7.5,10,10
311227,0,8,5.75,4.25,10,10,5,10,10
341372,4,9,10,6,10,10,10,10,10
796250,1,10,8.5,5,10,6,7.5,6,10
499213,1,9,0,7,2,1,5,10,9
868406,0,10,8,5,2,10,0,10,10
710489,0,4,6,5,2,3,9,10,10
879263,1,10,4.75,5,10,9,6.5,9,10
329867,0,10,10,10,10,10,2.5,10,10
522922,1,9,3.75,7.5,2,7,5,10,10
179184,0,9,0,3.5,2,10,0,8,10
637438,0,10,10,8.5,10,10,10,10,10
877116,0,9,10,10,10,5,7.5,10,8
450272,0,9,7.5,7.5,10,10,10,10,10
172263,1,10,8,10,2,8,7.5,10,10
353441,1,8.5,8.5,3.5,10,10,7.5,10,10
376854,1,10,9,10,7,10,10,10,10
361425,1,10,9,8.5,2,10,5,10,10
158198,0,9,9.5,6,10,4,5,10,10
337398,1,10,10,5,10,10,7.5,10,10
502302,2,10,10,10,10,10,10,10,10
425200,2,10,9.5,8.5,10,10,10,10,9
768234,1,10,10,8.5,10,9,5,10,10
141625,0,9,8.5,5,2,10,2.5,10,10
504530,1,9,10,10,2,6,7.5,10,10
147145,0,9,0,6,2,4,0,10,7
928498,0,9,0,6,3,9,7.5,10,4.5
947959,2,8,0,7.5,10,9,7.5,0,7
690036,4,8.5,3.25,6,10,9,5,10,10
116004,2,10,10,10,10,10,10,10,10
652357,0,8.5,6,10,10,8,5,10,10
292900,0,9,9,8.5,7,0,7.5,10,10
356382,2,9,9,6,2,4,2.5,10,6
785013,1,10,10,5.25,10,8,9,7,10
946353,0,10,8,10,2,10,7.5,8,7
237582,0,10,3.25,5,2,3,0,10,3
751500,1,10,0,8.5,10,7,5,10,3
568721,1,9.5,0,5,2,10,7.5,10,9
298429,0,10,6.5,10,10,10,7.5,10,10
627572,3,10,7,4,2,9,5,4,8
829820,0,10,6.5,5.5,10,10,10,10,10
903345,0,9,0,3.25,2,10,5,10,10
482126,2,10,6.5,5,10,10,5,10,10
766084,0,10,5.5,4.25,2,4,5,10,10
354907,0,9,10,5,10,10,10,10,10
205295,0,10,10,10,9,10,2.5,10,10
756469,0,9,9,8.5,10,10,7.5,10,10
681486,0,9.5,6.5,8.5,2,10,2.5,10,9
221844,1,9,4.75,5,10,4,2.5,10,10
700506,0,9,10,10,10,10,10,9,10
852104,0,10,10,5,2,10,7.5,10,8
720293,1,1,0,5,2,3,10,10,10
789124,2,9,10,10,2,10,7.5,10,10
122746,1,10,9,8.5,10,9,10,10,10
936964,1,10,9,3.5,2,4,6.5,10,10
618706,2,9,8.5,5,10,7,10,10,10
978499,2,9,5,10,2,10,2.5,5,9
533181,0,9,7.5,6,2,0,5,10,7
465537,1,10,6.5,4,10,7,5,2,10
132340,1,10,9,7,2,9,0,10,10
951938,0,10,9,4.25,10,10,7.5,9,10
117848,1,10,9,4,2,10,7.5,10,4
370790,2,10,10,5,2,4,7.5,10,10
607045,0,8,0,7.25,6,10,0,10,10
993306,0,8,6.5,8.5,4,4,5,10,10
566878,0,7,4.5,7,5,6,5,10,8
453529,3,9,6.5,10,6.5,6,5,10,10
819274,1,10,9.5,8,4,10,5,10,10
158549,0,7,10,8.5,6.5,6,5,10,9
736790,0,7,6.5,10,10,10,10,10,5
965522,1,10,9.25,5,8,6,7.5,10,9
832756,1,7.5,7.75,7.5,8,10,0,10,10
208750,0,9.5,6,10,10,6,7.5,10,10
957708,0,10,8,6.75,8,6,5,10,10
742806,0,10,8,10,10,10,2.5,10,10
975639,0,8,5.5,8.5,8,8,2.5,10,8
582644,0,9,9,8.5,10,10,10,10,10
863048,0,10,8.25,8.5,8,6,2.5,10,10
634523,1,9,5,6.5,8,7,5,10,10
687838,0,10,6.75,7.5,10,10,5,10,4
917655,0,10,8,8.5,8,10,5,10,10
553565,0,7,2,6.5,10,10,5,10,10
444720,1,10,10,4.5,4,6,7.5,8,9
550977,2,9,9.25,7.5,8,10,5,10,2.5
866180,0,10,0,4.875,8,4,5,10,10
186775,1,9,6,8.5,8,6,7.5,10,10
980472,1,10,10,8.5,10,10,7.5,10,8
224768,2,9,4.5,5,8,10,5,10,10
297437,2,9,0,10,4,5,0,10,7
313801,0,8,5.25,6.5,4,4,5,9,8
806967,1,10,10,10,10,10,10,10,10
769753,1,8.5,6.5,9,10,8,5,10,9
509369,1,9,8,7,8,4,5,10,10
907662,0,7.5,3.5,10,10,4,5,10,4.5
207486,0,10,10,5.875,10,10,2.5,10,10
859374,1,10,10,7.5,10,10,10,10,10
392325,0,10,9,7.5,10,6,5,10,9
324135,1,8,5.75,8.5,10,4,5,10,10
676277,0,9,10,5,8,10,7.5,10,10
711072,3,9.5,10,5.375,10,10,5,10,8
530411,3,10,8,10,10,8,5,10,10
193776,0,10,10,8.5,8,10,5,10,10
130380,1,10,5.5,7.5,8,8,0,10,5
266782,0,10,5,8.5,8,7,10,10,10
254596,0,8,6,5,8,6,0,10,10
215621,1,10,6.5,10,8,10,2.5,10,8
564146,2,2,6.75,0,8,6,0,10,10
331418,1,10,6,8.5,10,8,7.5,10,10
514088,0,9.5,7,5.5,10,10,5,10,0
231177,0,9,5.5,7.5,8,10,7.5,10,10
357173,0,9,0,8.5,10,10,5,10,10
437305,2,10,10,7.5,10,10,9,10,10
689023,1,10,5.5,7.5,10,4,7.5,10,10
570810,2,8,3,6,10,10,0,10,3
202048,0,8.5,8,8.5,6,10,0,10,10
485565,0,9,10,8.5,10,10,7.5,10,10
298840,1,8.5,0,6,10,8,0,0,10
100915,1,10,6,6.5,10,6,10,10,9
562658,1,10,8.5,5.5,8,0,5,10,4
484728,0,8,6,7.25,8,4,7.5,10,4.5
259122,0,8,5,6.5,10,4,7.5,10,6
623912,0,10,6.75,8.5,10,6,5,10,7
270982,5,8,6,6.5,8,6,6.5,10,10
839513,0,10,9,8.5,10,2,5,10,10
555054,0,9.5,2.5,8.25,10,6,5,10,10
877109,1,10,5.5,6.5,8,10,7.5,10,10
840840,0,9,9,9,10,10,5,10,10
543411,1,8,0,8.5,10,10,10,10,4
914016,0,8,0,2,6,10,0,10,10
166548,0,8,1,10,10,10,7.5,10,10
335731,0,10,1.5,6.5,10,10,5,10,10
377090,1,10,10,10,10,10,7.5,10,10
955242,3,10,10,5.5,10,10,10,10,10
199772,1,10,5.5,10,10,6,2.5,10,10
487505,0,9,1.25,9,4,6,5,10,9
515838,0,9,1,5,6,4,0,10,7
331406,0,10,5.25,5,8,2,5,10,9
850435,1,10,10,10,10,10,7.5,10,10
205809,0,10,10,10,10,6,7.5,10,10
471494,1,10,4.5,8.5,10,10,10,10,10
505593,2,8.5,4.5,8.5,8,10,7.5,10,10
785732,0,8.5,3.5,5.5,10,2,0,10,9
783735,4,10,9.25,8.5,10,4,10,10,10
884161,1,8,5,5,4,4,5,5,9
912689,0,5,0,8.5,8,8,5,4,9
274235,0,10,5,5,10,4,5,9,10
868195,0,9,9,10,10,10,7.5,10,10
999023,3,8,4.75,4.25,10,10,5,10,8.5
100168,0,8,10,4,10,6,5,10,10
929062,1,10,8,9,10,10,5,10,10
298091,0,7.5,0,10,10,4,5,9,7.5
755204,0,10,6.5,8.5,10,10,10,10,9
652942,2,9,4,8.5,10,10,7.5,10,9
127794,1,10,7.75,5.5,6,10,5,10,10
423080,0,7,7.5,7,10,10,5,10,7
868090,0,7,0,8.25,10,4,5,8,10
348715,1,9,9.5,7.5,4,10,5,8,9
706979,0,8,8.5,8.5,10,10,5,9,10
889441,0,8.5,5.5,6.5,10,8,5,10,10
805441,3,8.5,3.75,5,10,6,0,10,7
257545,0,10,4,2,10,10,5,10,9
177840,1,8.5,10,9,10,10,7.5,10,10
646241,1,9.5,10,10,10,10,7.5,10,10
957384,0,9.5,5.5,9,10,10,7.5,10,10
920586,1,8.5,3,5,10,7,5,10,10
469937,0,9.5,5.75,10,10,10,7.5,10,10
197878,1,8,7,7,8.5,8.5,7.5,8,10
268619,0,10,1,7,0,10,4,10,8
624947,0,10,10,4,2.5,0,7.5,10,3
693045,0,10,10,10,10,10,0,10,0
780541,0,10,10,6,10,10,7.5,10,10
557781,0,10,9,10,2.5,10,7.5,10,10
695840,1,8.25,6.5,6,10,0,7.5,10,8
883903,1,10,8.5,10,10,10,10,10,10
151246,0,10,6.5,10,7.5,10,5,10,7
187671,0,10,10,6.5,7.5,0,2.5,10,10
189428,1,10,10,10,10,10,10,10,7
427397,1,10,10,7.5,10,10,5,10,7
307053,0,10,1,7.5,10,0,4,10,3
970613,0,10,8.5,8,10,10,7.5,10,10
761526,0,10,9,6.5,10,10,5,10,3.5
109338,1,8.25,9.75,8.5,10,10,10,10,8
607016,1,10,10,4,4,10,5,10,10
690064,0,2,1,4.25,2.5,0,5,0,2
388918,1,10,9.5,7.5,10,10,7.5,10,8
840605,0,10,7,8,2.5,10,5,10,3
749976,0,10,10,10,2.5,10,10,10,10
819157,1,10,9,8.5,7.5,10,10,10,7
676026,3,10,6.5,3,8.5,10,5,10,7
439234,0,10,9,10,7.5,10,5,10,10
873291,0,10,10,10,10,10,2,10,10
357577,0,8.5,0,8.5,10,0,2.5,8,2
124193,1,10,10,6.5,10,10,10,10,10
843368,1,10,7,9,7.5,10,5,10,8.5
861958,0,9.75,9.5,10,2.5,10,10,10,10
518197,1,5.75,0,8,10,10,7.5,10,10
766313,2,8.5,7,10,10,10,5,10,8
935965,1,10,9.5,10,10,8.5,2.5,10,10
411906,1,10,7,7,10,10,10,8,10
992103,0,8.5,10,10,2.5,10,5,10,7
578485,1,10,10,10,10,10,7,10,10
938861,2,10,10,10,10,10,7.5,10,8
335736,3,10,10,10,10,10,2.5,10,6
805091,2,10,10,8.5,10,10,7.5,5,8
808404,0,10,10,10,10,10,5,10,10
265323,2,10,10,10,10,10,0,8,5
229553,0,7.25,9.5,10,2.5,10,5,10,8
126548,1,10,8.5,10,10,10,10,10,10
507880,1,10,9.5,8,10,10,10,10,8
370378,2,7.25,9,8.5,2.5,10,7.5,10,4
841731,0,9.75,10,8.5,4,10,5,10,1
806039,1,10,10,7.5,10,10,7.5,10,10
190892,0,10,0,5,6,10,7.5,4,10
930504,0,10,7,8,10,10,7.5,10,3
704993,0,10,10,8,10,10,7.5,10,10
273032,2,4.5,0,7,1.25,10,2.5,10,10
700441,0,3.5,9,4,5,8.5,0,10,8
690059,0,10,10,10,10,10,10,10,5
936273,0,10,9.5,8.5,10,10,2.5,10,10
128513,0,10,7,3,7,10,7.5,10,4.5
416172,0,8.5,8.5,7,10,10,7.5,10,4
987447,0,10,9,8,10,10,9,10,10
657848,1,8.5,6.5,8.5,7.5,10,10,10,10
483406,0,8.5,0,8.5,7.5,10,5,10,10
338073,0,8.5,8.5,8,10,10,0,10,7
980357,1,10,10,6,10,10,2.5,10,10
441521,0,10,1,10,2.5,10,5,10,8
282845,0,8.5,10,10,7.5,10,5,10,8
394484,0,10,7,6.75,8,0,5,7,5.5
120124,1,10,10,10,10,10,7.5,10,10
939066,0,10,10,10,10,8.5,7.5,10,10
319559,0,10,9.5,8,10,10,2.5,10,8.5
780786,0,10,10,10,7.5,10,0,10,8
342170,0,10,0,6,2.5,10,0,8,6.5
946128,0,10,9.5,8,10,10,0,10,10
743784,1,10,9,8.5,10,10,10,10,10
649892,1,10,6.5,8,10,10,5,10,8
815620,0,10,7,10,2.5,10,10,10,3.5
267132,0,8.5,7,10,2.5,8.5,5,10,4.5
348376,0,10,0,8,2.75,0,0,8,7
242493,0,8.5,10,10,2.5,10,7.5,10,10
113553,0,10,8.5,5.5,0,10,5,10,3
495024,1,10,9,6.5,10,10,0,10,10
738332,0,10,0,3.5,7.5,10,2.5,10,3
802566,3,10,8.5,10,7.5,10,10,8,5
644205,0,10,7,4.5,8,10,2.5,10,8
562399,1,10,0,7.5,4.25,10,0,10,7
687844,0,9.75,10,8,10,10,5,10,7
862239,0,8,8.5,5,7.5,10,5,10,6
967176,0,10,10,8,10,10,7.5,10,10
752695,1,7.5,1,10,7,0,2.5,10,0
316719,1,10,9,6.5,10,10,10,10,10
980587,1,10,10,6.5,10,10,2.5,10,10
660431,1,10,9,8,2.5,10,10,10,2
671655,0,10,10,8,10,10,7.5,10,10
589905,1,10,10,10,2.5,10,2.5,10,4.5
479550,1,8.5,9,10,10,10,10,10,10
714184,1,10,10,10,10,10,10,10,10
820889,1,10,10,10,10,10,5,10,10
149203,2,10,10,10,10,10,2.5,10,5.5
570017,0,10,8.5,7,10,10,7.5,10,5.5
841390,1,10,7,10,7.5,10,10,10,5.5
877146,0,8.5,7,4.25,6.25,10,2.5,10,3
711460,0,10,7,6.5,7.5,10,10,10,5.5
980127,1,10,6.5,9.5,10,0,7.5,10,8
190818,0,10,6.5,10,10,10,5,10,6.5
392584,1,10,10,10,10,10,10,10,10
458187,0,5,10,7.5,10,10,2.5,10,2
794376,1,10,10,1.5,7.5,10,7.5,10,10
364560,0,10,7,10,6.5,10,5,10,6
175573,0,8.5,1,10,6.5,10,4,10,7
687940,0,9.75,5.5,10,10,0,4,10,7
402997,1,7.5,10,10,10,10,10,10,10
919266,4,7.5,7,10,6.5,6.5,5,10,5
720723,0,10,7,10,10,6.5,2.5,10,10
209254,0,8.5,7,10,6.5,10,2.5,10,10
128016,1,9.75,7,6.5,4.25,10,4,10,5
574860,1,10,10,10,10,10,7.5,10,7
822752,1,10,10,10,10,10,4,10,6
583798,0,8.5,10,10,4.25,10,2.5,10,7
600034,0,10,9,9.5,4.25,10,4,6,7
411472,1,9.75,9,10,10,10,2.5,6,6
352012,1,10,10,10,10,10,10,10,10
787036,0,8.5,10,6,6.5,10,2.5,10,7
143458,0,8.5,7,5,6.5,10,2.5,10,10
893307,0,10,10,10,10,10,10,10,10
244223,0,10,10,10,10,10,5,10,10
316657,0,10,9,10,6.5,10,10,10,10
535753,1,10,6.5,9.5,4.25,10,2.5,10,8.5
124704,0,7.5,9,10,4.25,10,5,10,7
351711,1,10,8.5,10,4.25,10,10,10,10
820879,1,10,10,10,10,10,5,10,10
517181,0,10,10,10,10,10,4,10,10
107302,0,9.25,9,7.5,6.5,0,5,10,8
100124,0,9.75,1,4.5,6.5,10,2.5,10,6
789281,0,10,10,10,10,10,10,10,9
693286,0,10,6.5,10,10,10,5,10,7
294860,2,10,10,10,10,10,7.5,10,10
139950,0,10,10,10,6.5,10,2.5,10,5.5
857405,0,10,7,8.5,6.5,0,4,10,7
447538,1,10,6.5,10,10,10,10,10,10
289163,2,10,10,10,10,10,5,10,7
603399,0,10,6.5,9.5,1,10,0,10,3
191876,0,10,10,10,6.5,10,5,10,10
925742,0,10,5.5,7.5,10,10,2.5,10,10
193857,2,10,10,8.5,10,10,10,10,8
891202,0,10,10,3.5,10,10,10,10,10
293634,0,9.75,10,10,10,6.5,2.5,10,5
548019,0,9.75,8.5,9,10,10,2.5,10,10
972609,0,10,10,10,6.5,10,5,10,10
664851,1,10,10,10,10,10,2.5,10,10
927645,1,10,7,10,10,10,2.5,10,10
909875,2,10,5.5,8,10,10,4,10,10
135727,2,10,1,9,10,6.5,2.5,3,0
398075,0,10,0,10,6.5,0,2.5,4,6.5
776985,3,10,10,10,9,10,0,10,6.5
480961,0,10,10,10,6.5,0,2.5,10,7
167773,0,10,5.5,10,10,10,5,10,10
223333,0,10,9,10,6.5,10,5,10,7
849990,0,10,10,9,6.5,10,2.5,10,7
431825,4,10,8.5,9,6.5,10,10,10,10
887391,1,8.5,5.5,10,2.25,10,5,10,5.5
488889,0,10,1,5,4.25,10,0,4,2.5
970240,0,10,5.5,8,6.5,10,5,10,10
467652,0,10,10,10,10,10,5,10,10
992343,0,0,7,6.5,3,10,5,10,5.5
585527,0,10,10,7.5,10,10,10,10,9
781433,0,8.5,7,9,6.5,10,2.5,6,0
745036,0,10,8.5,10,6.5,10,2.5,0,0
646067,0,10,10,10,10,10,5,10,5.5
861674,2,10,7,8,10,10,5,10,10
176796,3,10,5.5,6.5,10,0,5,10,10
611968,1,10,9,10,10,10,2.5,10,7
323214,0,10,7,7,4.25,10,10,10,10
863598,1,9.75,5.5,10,6.5,10,7.5,10,9
862880,0,9.75,7,8.5,6.5,0,10,10,8.5
783300,1,10,10,10,10,10,5,10,10
282568,0,10,10,10,10,10,5,10,10
864689,0,10,9,7,10,10,2.5,10,7.5
907718,1,9.75,10,10,10,10,10,10,10
277425,0,10,10,9.5,10,10,2.5,10,7
601701,0,10,10,9,10,10,10,10,6.5
115362,0,10,9,10,6.5,10,2.5,10,7.5
429085,0,10,5.5,8,10,0,5,10,8.5
422809,3,10,10,10,6.5,10,5,10,7
216877,0,10,1,9.5,10,0,6.5,10,10
613766,1,10,10,10,6.5,10,10,10,10
844340,0,9.75,1,0,10,10,2.5,10,0
556020,1,10,7,6,4.25,6.5,5,10,4.5
116312,0,10,9,5,10,0,2.5,10,9
700670,0,8.5,5.5,5,10,6.5,4,10,6
682407,0,10,8.5,10,10,10,7.5,10,5.5
156364,0,7,10,10,4.25,10,2.5,10,0
288842,0,10,10,10,10,10,10,10,10
840463,2,10,8.5,10,10,10,4,10,6.5
721359,1,10,10,10,6.5,6.5,6.5,10,5
497496,3,10,10,9.5,6.5,6.5,5,10,5
843535,0,10,1,7.5,6.5,6.5,2.5,10,5.5
560484,0,10,10,10,6.5,10,7.5,10,7
214276,2,9.75,1,8.5,6.5,10,5,0,10
449769,2,8.5,10,9,10,10,5,10,7.5
643893,1,0,7,10,6.5,10,2.5,10,4
324553,1,10,5.5,10,10,10,2.5,10,8.5
825875,0,10,7,10,10,10,10,10,10
362052,0,10,7,9,3.5,10,2.5,10,7
678041,1,10,10,3.5,10,10,10,10,5
352138,1,9.75,7,10,6.5,10,2.5,10,9
520659,0,10,10,8.875,6.5,10,5,10,7
218653,1,10,10,10,10,10,2.5,10,1
802878,0,10,7,10,10,10,2.5,10,4
882737,0,10,7,9,4.25,0,2.5,4,0
575085,0,10,10,8,6.5,10,5,10,10
