,ID,student_id,consent,,ID,student_id,consent,age,year,gender,int_student,esl,e_exp,e_lvl,ethnicity,p_education,m_education,par_rel,fin_support,ses,grant,soc_med,hw_time,transfer,p_college,m_college,first_gen,URM
11,330220,921444606,"I have read this information sheet form, I consent to participate in this study.",11,330220,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",25,Junior - 3rd year,Woman,"No, I am not an international student",English is my first language,85%,"1 - I am confident reading simple information in English (e.g., signs and instructions)",Black or African American,"He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree",I decline to answer,I decline to answer,I don't know if I qualified for a 'free or reduced cost lunch' program,I do not qualify for a Pell Grant,120,6,Yes,0,0,1,1
12,295173,919725418,"I have read this information sheet form, I consent to participate in this study.",12,295173,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He earned a 4-year degree,She earned a 4-year degree,Together,"5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)",I did not qualify for 'free or reduced cost lunch' at all in high school,Decline to answer,100,12,No,1,1,0,1
13,294451,919926411,"I have read this information sheet form, I consent to participate in this study.",13,294451,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,"He attended some college, but left before he earned a 4-year degree",She earned a graduate degree (Masters or Ph.D),Separated,"5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)",I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,240,3,No,0,1,0,0
14,330247,920502196,"I have read this information sheet form, I consent to participate in this study.",14,330247,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",19,Freshman - 1st year,Non-binary or Genderqueer,"No, I am not an international student",English is not my first language,99,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Middle Eastern or West Asian,Caucasian",He earned a 4-year degree,She earned a graduate degree (Masters or Ph.D),Divorced,1- No support,I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,180,50,No,1,1,0,0
15,254810,918552103,"I have read this information sheet form, I consent to participate in this study.",15,254810,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",20,Junior - 3rd year,Man,"No, I am not an international student",English is my first language,90,"4 - I am confident reading difficult books in English(e.g., novels or other popular books)","East or South East Asian,Caucasian",He earned a 4-year degree,She earned a 4-year degree,Divorced,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,100,20,No,1,1,0,0
16,296936,919783609,"I have read this information sheet form, I consent to participate in this study.",16,296936,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Man,"No, I am not an international student",English is not my first language,90,"4 - I am confident reading difficult books in English(e.g., novels or other popular books)",South Asian,He left when he graduated from high school (or GED),"She attended some college, but left before she earned a 4-year degree",Together,7- Fully supported (e.g All necessities are provided or paid for),I qualified for 'free or reduced cost lunch' for all or most of high school,I do not qualify for a Pell Grant,45,4,No,0,0,1,0
17,293069,919903874,"I have read this information sheet form, I consent to participate in this study.",17,293069,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Woman,"No, I am not an international student",English is not my first language,85,"4 - I am confident reading difficult books in English(e.g., novels or other popular books)",East or South East Asian,He left when he graduated from high school (or GED),She earned a 4-year degree,Together,2- Very little support (e.g. gifts at holidays and birthdays),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,600,8,No,0,1,0,0
18,294940,920053373,"I have read this information sheet form, I consent to participate in this study.",18,294940,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Non-binary or Genderqueer,"No, I am not an international student",English is not my first language,100,"5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)",Hispanic or Latino,He left school before he graduated from high school,She left school before she graduated from high school,Together,1- No support,I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,60,300,No,0,0,1,1
19,293028,919494736,"I have read this information sheet form, I consent to participate in this study.",19,293028,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Black or African American,He earned a graduate degree (Masters or Ph.D),She earned a graduate degree (Masters or Ph.D),Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,120,30,No,1,1,0,1
20,296653,919688636,"I have read this information sheet form, I consent to participate in this study.",20,296653,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",18,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,90%,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I don't know if I qualify for a Pell Grant,3,1.5,No,1,1,0,0
21,256749,918147097,"I have read this information sheet form, I consent to participate in this study.",21,256749,9.18E+08,"I have read this information sheet form, I consent to participate in this study.",21,Junior - 3rd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino,Caucasian",He earned a 4-year degree,She left school before she graduated from high school,Separated,"5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)",I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,10,40,No,1,0,0,1
22,300576,919796366,"I have read this information sheet form, I consent to participate in this study.",22,300576,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Woman,"No, I am not an international student",English is not my first language,95%,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left school before he graduated from high school,She left school when she graduated from high school (or GED),Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I qualified for 'free or reduced cost lunch' for all or most of high school,I don't know if I qualify for a Pell Grant,60,6,No,0,0,1,1
23,335863,921220846,"I have read this information sheet form, I consent to participate in this study.",23,335863,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,60,1.5,No,1,1,0,0
24,330617,921168791,"I have read this information sheet form, I consent to participate in this study.",24,330617,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",19,Freshman - 1st year,Woman,"Yes, I am an international student",English is not my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,240,10,No,1,1,0,0
25,335055,920893656,"I have read this information sheet form, I consent to participate in this study.",25,335055,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,"She attended some college, but left before she earned a 4-year degree",Together,7- Fully supported (e.g All necessities are provided or paid for),I don't know if I qualified for a 'free or reduced cost lunch' program,I do not qualify for a Pell Grant,420,21,No,1,0,0,0
26,340756,920878008,"I have read this information sheet form, I consent to participate in this study.",26,340756,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Black or African American,Caucasian",He earned a 4-year degree,She earned a graduate degree (Masters or Ph.D),Divorced,"5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)",I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,90,20.35,No,1,1,0,1
27,329510,920486940,"I have read this information sheet form, I consent to participate in this study.",27,329510,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is not my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",South Asian,He earned a graduate degree (Masters or Ph.D),She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I don't know if I qualify for a Pell Grant,120,5.3,No,1,1,0,0
28,261172,918460949,"I have read this information sheet form, I consent to participate in this study.",28,261172,9.18E+08,"I have read this information sheet form, I consent to participate in this study.",21,Junior - 3rd year,Woman,"No, I am not an international student",English is not my first language,95,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left when he graduated from high school (or GED),"She attended some college, but left before she earned a 4-year degree",Separated,7- Fully supported (e.g All necessities are provided or paid for),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,30,55,No,0,0,1,1
29,336093,921476739,"I have read this information sheet form, I consent to participate in this study.",29,336093,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",20,Junior - 3rd year,Woman,"No, I am not an international student",English is not my first language,90,"5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)",Hispanic or Latino,He left school before he graduated from high school,She left school before she graduated from high school,Divorced,2- Very little support (e.g. gifts at holidays and birthdays),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,130,30,Yes,0,0,1,1
30,291897,919408081,"I have read this information sheet form, I consent to participate in this study.",30,291897,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Man,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a 4-year degree,Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I don't know if I qualified for a 'free or reduced cost lunch' program,I do not qualify for a Pell Grant,60,7,No,1,1,0,0
31,332330,921345608,"I have read this information sheet form, I consent to participate in this study.",31,332330,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Man,"No, I am not an international student",English is my first language,100,"5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)",Hispanic or Latino,He never attended school,She left school before she graduated from high school,Together,"5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)",I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,90,4,No,0,0,1,1
32,295893,919692871,"I have read this information sheet form, I consent to participate in this study.",32,295893,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Woman,"No, I am not an international student",English is not my first language,90%,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Black or African American,I don't know,She earned a 4-year degree,Divorced,"3- A little support (e.g. phone bill, gifts, small amounts of money every few months)",I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,90,20,No,0,1,0,1
33,329812,921315269,"I have read this information sheet form, I consent to participate in this study.",33,329812,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",South Asian,He earned a graduate degree (Masters or Ph.D),She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,250,20.6,No,1,1,0,0
34,258244,918588300,"I have read this information sheet form, I consent to participate in this study.",34,258244,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",20,Junior - 3rd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,He earned a graduate degree (Masters or Ph.D),She earned a graduate degree (Masters or Ph.D),Divorced,7- Fully supported (e.g All necessities are provided or paid for),I don't know if I qualified for a 'free or reduced cost lunch' program,I don't know if I qualify for a Pell Grant,120,12,No,1,1,0,0
35,300831,919596375,"I have read this information sheet form, I consent to participate in this study.",35,300831,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Non-binary or Genderqueer,"No, I am not an international student",English is my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left school before he graduated from high school,She left school before she graduated from high school,Single,2- Very little support (e.g. gifts at holidays and birthdays),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,120,7,No,0,0,1,1
36,268581,918678702,"I have read this information sheet form, I consent to participate in this study.",36,268581,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",20,Junior - 3rd year,Man,"No, I am not an international student",English is my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino,Pacific Islander",He earned a 4-year degree,She earned a 4-year degree,Together,"3- A little support (e.g. phone bill, gifts, small amounts of money every few months)",I don't know if I qualified for a 'free or reduced cost lunch' program,I do qualify for a Pell Grant,120,10,No,1,1,0,1
37,329148,920042229,"I have read this information sheet form, I consent to participate in this study.",37,329148,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian,Caucasian,Mixed Race",He earned a graduate degree (Masters or Ph.D),She earned a graduate degree (Masters or Ph.D),Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do qualify for a Pell Grant,180,12,No,1,1,0,0
38,340624,921300973,"I have read this information sheet form, I consent to participate in this study.",38,340624,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,"He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree",Divorced,1- No support,I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,480,15,No,0,0,1,0
39,335327,921066534,"I have read this information sheet form, I consent to participate in this study.",39,335327,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is not my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He left when he graduated from high school (or GED),She left school when she graduated from high school (or GED),Together,7- Fully supported (e.g All necessities are provided or paid for),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,90,20,No,0,0,1,0
40,297049,919544110,"I have read this information sheet form, I consent to participate in this study.",40,297049,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Non-binary or Genderqueer,"No, I am not an international student",English is not my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a 4-year degree,Divorced,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I qualified for 'free or reduced cost lunch' for all or most of high school,I do not qualify for a Pell Grant,360,16,No,1,1,0,0
41,261938,918166793,"I have read this information sheet form, I consent to participate in this study.",41,261938,9.18E+08,"I have read this information sheet form, I consent to participate in this study.",21,Junior - 3rd year,Woman,"No, I am not an international student",English is not my first language,90,"4 - I am confident reading difficult books in English(e.g., novels or other popular books)",Hispanic or Latino,He left school before he graduated from high school,She left school before she graduated from high school,Together,4- Some support (e.g. Bills but not housing or small monthly allowance),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,240,2.12,No,0,0,1,1
42,306724,920085752,"I have read this information sheet form, I consent to participate in this study.",42,306724,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,99,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,He earned a 4-year degree,She earned a 4-year degree,Separated,7- Fully supported (e.g All necessities are provided or paid for),I qualified for 'free or reduced cost lunch' for all or most of high school,I don't know if I qualify for a Pell Grant,200,20,No,1,1,0,0
43,334808,920831825,"I have read this information sheet form, I consent to participate in this study.",43,334808,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,95,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,He earned a graduate degree (Masters or Ph.D),She earned a graduate degree (Masters or Ph.D),Together,"3- A little support (e.g. phone bill, gifts, small amounts of money every few months)",I qualified for 'free or reduced cost lunch' for some of high school,I do not qualify for a Pell Grant,180,10,No,1,1,0,0
44,334784,921316857,"I have read this information sheet form, I consent to participate in this study.",44,334784,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,"He attended some college, but left before he earned a 4-year degree",She earned a graduate degree (Masters or Ph.D),Divorced,"3- A little support (e.g. phone bill, gifts, small amounts of money every few months)",I did not qualify for 'free or reduced cost lunch' at all in high school,I do qualify for a Pell Grant,180,35,No,0,1,0,0
45,299436,919971291,"I have read this information sheet form, I consent to participate in this study.",45,299436,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Freshman - 1st year,Woman,"Yes, I am an international student",English is not my first language,20,"1 - I am confident reading simple information in English (e.g., signs and instructions)",East or South East Asian,I don't know,I don't know,Together,7- Fully supported (e.g All necessities are provided or paid for),I don't know if I qualified for a 'free or reduced cost lunch' program,I don't know if I qualify for a Pell Grant,360,16,No,0,0,1,0
46,291498,919743843,"I have read this information sheet form, I consent to participate in this study.",46,291498,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Man,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I don't know if I qualified for a 'free or reduced cost lunch' program,I do not qualify for a Pell Grant,145,13,No,1,1,0,0
47,262079,918572947,"I have read this information sheet form, I consent to participate in this study.",47,262079,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",20,Junior - 3rd year,Woman,"No, I am not an international student",English is not my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left school before he graduated from high school,She left school when she graduated from high school (or GED),Together,4- Some support (e.g. Bills but not housing or small monthly allowance),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,60,62,No,0,0,1,1
48,327894,921049593,"I have read this information sheet form, I consent to participate in this study.",48,327894,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",19,Freshman - 1st year,Man,"No, I am not an international student",English is my first language,95,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Middle Eastern or West Asian,He earned a graduate degree (Masters or Ph.D),She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,120,25,No,1,1,0,0
49,329682,920758212,"I have read this information sheet form, I consent to participate in this study.",49,329682,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"Yes, I am an international student",English is not my first language,80,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a graduate degree (Masters or Ph.D),Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,240,40,No,1,1,0,0
50,334696,920728572,"I have read this information sheet form, I consent to participate in this study.",50,334696,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Man,"No, I am not an international student",English is my first language,80,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",South Asian,He earned a graduate degree (Masters or Ph.D),She earned a graduate degree (Masters or Ph.D),Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,45,9.5,No,1,1,0,0
51,227626,917441354,"I have read this information sheet form, I consent to participate in this study.",51,227626,9.17E+08,"I have read this information sheet form, I consent to participate in this study.",21,Senior - 4th year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left school before he graduated from high school,She left school when she graduated from high school (or GED),Together,7- Fully supported (e.g All necessities are provided or paid for),I qualified for 'free or reduced cost lunch' for all or most of high school,I don't know if I qualify for a Pell Grant,360,10,No,0,0,1,1
52,292730,919246641,"I have read this information sheet form, I consent to participate in this study.",52,292730,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Man,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,"He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree",Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I don't know if I qualified for a 'free or reduced cost lunch' program,I don't know if I qualify for a Pell Grant,180,15,No,0,0,1,0
53,339019,920896983,"I have read this information sheet form, I consent to participate in this study.",53,339019,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Man,"No, I am not an international student",English is not my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",South Asian,He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I qualified for 'free or reduced cost lunch' for all or most of high school,I do not qualify for a Pell Grant,50,12,No,1,1,0,0
54,325654,920544484,"I have read this information sheet form, I consent to participate in this study.",54,325654,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Man,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left when he graduated from high school (or GED),She left school before she graduated from high school,Together,"3- A little support (e.g. phone bill, gifts, small amounts of money every few months)",I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,300,40,No,0,0,1,1
