Student,ID,SIS User ID,anon_id,SIS Login ID,Section,Syllabus FAQ Video (965983),Collaboration vs Cheating (965972),PsycLearn 1 (966004),PsycLearn 2 (966009),VW.RS.i Research Summary Intro (965978),VW: Null and Research Hypotheses (965991),PsycLearn 5 (966012),VW: Variables (965988),VW:RS1 (Video Worksheet - Research Summary 1 - Hangry) (965979),PsycLearn 7 (966014),VW: Correlation coefficients (965975),VW: Reliabilty and Validity (965986),VW.RS.2 (Video Worksheet - Research Summary 2 - Conversations with Strangers) (965995),VW.RS.3 (Video Worksheet - Research Summary 3 - Vocal Fry) (965976),VW: Verbs (965987),PsycLearn 8 (966015),VW: Construct Validity (Method Match and Circular Reasoning) (965971),VW:CT.i Video Worksheet - Critical Thinking - Intro (965977),VW:CT1 (Video Worksheet- Critical Thinking 1 - ADHD) (965967),VW:CT2 (Video worksheet- Critical Thinking 2 - VizualEdge) (965969),VW:CT3 (Video Worksheet- Critical Thinking 3 - DHA) (965968),VW:CT4 (Video Worksheet- Critical Thinking 4 - Verbal Advantage) (965984),PsycLearn 9 (966016),VW: Threats to internal validity (965989),PsycLearn 10 (966005),VW: Hypothesis Review (965973),Tell us! Show us! 1 (966017),PsycLearn 3 (966010),VW: Summarize the findings (965990),PsycLearn 4 (966011),VW: Distinguishing fact from opinion (965992),PsycLearn 6 (966013),VW: Sampling (965982),VW: Interpreting results (965994),PsycLearn 11 (966006),VW: Factorial Design (965970),VW: Which statistic? (965985),VW: Interpret inferential statistics (965974),PsycLearn 12 (966007),VW: Validity Review (965981),PsycLearn 13 (966008),Tell Us! Show Us! 2 (966018),iClicker Grade (966003),Unit 1 Lecture 3 (1008394),Exam 1 (965996),Exam 2 (965997),Exam 3 (965998),Exam 4 (965999),Exam 5 (966000),Final Exam (966002),Exam Corrections  (966001),Mini Personality Inventory (965980),Demographics (965993),Points (1034609),Prep+Participation (up to 250 points) Current Points,Prep+Participation (up to 250 points) Final Points,Prep+Participation (up to 250 points) Current Score,Prep+Participation (up to 250 points) Unposted Current Score,Prep+Participation (up to 250 points) Final Score,Prep+Participation (up to 250 points) Unposted Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Extra Credit Current Points,Extra Credit Final Points,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Grade Calculation Current Points,Grade Calculation Final Points,Grade Calculation Current Score,Grade Calculation Unposted Current Score,Grade Calculation Final Score,Grade Calculation Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
redacted,redacted,redacted,607045,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,1.75,4,20,1.5,1.5,0,0,2,20,3,4,4,2.5,4,4,20,2,20,1,,20,1.67,20,2,20,2,2,20,0,0,1,20,0,20,0,28,0,124.5,114.5,129.5,134,119.75,135,5,5,0,882.25,350.42,350.42,86.74,86.74,84.64,84.64,642.75,642.75,85.7,85.7,85.7,85.7,10,10,66.67,66.67,66.67,66.67,0,0,,,,,1003.17,1003.17,85.81,85.81,85.09,85.09
redacted,redacted,redacted,402997,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,0,20,0,20,0,0,20,0,0,0,20,0,20,0,52,4,147.25,132.5,145,140.25,142.5,0,5,5,5,972.5,382,382,94.55,94.55,92.27,92.27,707.5,707.5,94.33,94.33,94.33,94.33,15,15,100,100,100,100,0,0,,,,,1104.5,1104.5,94.48,94.48,93.68,93.68
redacted,redacted,redacted,282874,redacted,PSC 041 002 WQ 2023,6.5,4,19.09,18.82,0,4,20,2,0,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,19.05,1,,20,2,19.26,2,20,1.5,1.75,20,1,1,0.92,,1,20,0,20,0,121,145,139.5,128.5,141,0,0,5,5,933,324.64,324.64,84.54,84.54,78.41,78.41,675,675,90,90,90,90,10,10,66.67,66.67,66.67,66.67,0,0,,,,,1009.64,1009.64,87.87,87.87,85.64,85.64
redacted,redacted,redacted,832756,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,0,0,2,,3,4,4,4,4,0,,2,,0,10,20,2,18.52,0,20,0,2,14.29,0,0,0,13.85,0,,0,20,4,126.5,123,122.5,116.75,118.75,0,0,5,5,866.5,256.4,256.4,76.77,76.77,61.93,61.93,607.5,607.5,81,81,81,81,10,10,66.67,66.67,66.67,66.67,0,0,,,,,873.9,873.9,79.52,79.52,74.12,74.12
redacted,redacted,redacted,796147,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,20,2,20,2,2,20,1,1,1,20,1,20,0,52,4,138,141.75,121.5,133,147,0,5,5,5,939.25,394,394,97.52,97.52,95.17,95.17,681.25,681.25,90.83,90.83,90.83,90.83,15,15,100,100,100,100,0,0,,,,,1090.25,1090.25,93.26,93.26,92.47,92.47
redacted,redacted,redacted,128016,redacted,PSC 041 001 WQ 2023,5.5,4,20,20,3.83,4,20,1.75,4.75,20,2,1.5,4.15,3.33,2,20,2.17,4,3,3.5,4,3.88,20,1.5,20,1,,20,0,20,2,,0,1,,1,0,0,,0,,0,16,4,88.25,103.25,112.75,54.5,97.5,102,4.75,5,5,721,263.86,263.86,81.44,81.44,63.73,63.73,503.75,503.75,67.17,67.17,67.17,67.17,14.75,14.75,98.33,98.33,98.33,98.33,0,0,,,,,782.36,782.36,71.84,71.84,66.36,66.36
redacted,redacted,redacted,780541,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,19.2,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,6.67,2,20,2,2,20,1,1,1,20,1,20,0,28,4,133.5,143.75,134.25,129.75,125.5,0,5,5,5,931.75,355.87,355.87,88.09,88.09,85.96,85.96,666.75,666.75,88.9,88.9,88.9,88.9,15,15,100,100,100,100,0,0,,,,,1037.62,1037.62,88.76,88.76,88.01,88.01
redacted,redacted,redacted,158549,redacted,PSC 041 002 WQ 2023,6.5,4,20,18.82,4,4,19.2,2,4.5,20,2,1.5,0,0,2,20,2.67,4,4,4,0,4,20,1.5,20,1,,19.29,1.33,,2,20,1.5,0.5,10.29,0,0.5,0.92,,0,20,0,20,0,105.25,112,106,96.75,120,114,0,5,0,795,286.01,286.01,78.57,78.57,69.08,69.08,557.25,557.25,74.3,74.3,74.3,74.3,5,5,33.33,33.33,33.33,33.33,0,0,,,,,848.26,848.26,75.13,75.13,71.95,71.95
redacted,redacted,redacted,693045,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,20,2,20,2,2,20,1,1,1,20,1,20,0,12,4,108,114,114.75,119.5,116,0,0,5,5,832.25,354,354,87.62,87.62,85.51,85.51,572.25,572.25,76.3,76.3,76.3,76.3,10,10,66.67,66.67,66.67,66.67,0,0,,,,,936.25,936.25,80.09,80.09,79.41,79.41
redacted,redacted,redacted,819274,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,19.2,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,,2,,2,,2,2,19.43,1,1,1,20,1,20,0,52,4,140.5,128.5,130,123.5,132,129,5,5,5,918.5,332.63,332.63,96.69,96.69,80.35,80.35,660,660,88,88,88,88,15,15,100,100,100,100,0,0,,,,,1007.63,1007.63,90.86,90.86,85.46,85.46
redacted,redacted,redacted,583798,redacted,PSC 041 001 WQ 2023,6.33,4,20,20,4,4,19.2,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,18.52,2,20,2,2,,1,1,1,,1,13.33,0,52,4,102.5,114.25,126,104.75,117.25,117,0,5,5,824.75,344.89,344.89,94.75,94.75,83.31,83.31,579.25,579.25,77.23,77.23,77.23,77.23,10,10,66.67,66.67,66.67,66.67,0,0,,,,,934.14,934.14,82.74,82.74,79.23,79.23
redacted,redacted,redacted,557781,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,19.2,2,3.25,19.17,2,1.5,4.33,4.33,2,20,0,3.33,4,4,3.75,2.5,20,2,20,1,,20,2,20,0,20,2,2,5.14,1,1,1,,1,,0,48,3.8,131.5,130.25,141,146,139,0,5,5,5,952.75,323.8,323.8,88.96,88.96,78.21,78.21,687.75,687.75,91.7,91.7,91.7,91.7,15,15,100,100,100,100,0,0,,,,,1026.55,1026.55,90.93,90.93,87.07,87.07
redacted,redacted,redacted,117848,redacted,PSC 041 002 WQ 2023,6.5,4,19.09,20,4,3,12,2,4.75,20,1.5,1,4.63,4.5,2,20,2,4,4,4,4,4,16.19,1,13.33,0.33,,19.29,0.67,13.33,0,13.68,0,1.25,3.43,0,0,0,6.92,0,,0,24,4,108.5,107.5,136,111.5,105,0,4.6,5,5,832.1,268.39,268.39,69.89,69.89,64.83,64.83,568.5,568.5,75.8,75.8,75.8,75.8,14.6,14.6,97.33,97.33,97.33,97.33,0,0,,,,,851.49,851.49,74.11,74.11,72.22,72.22
redacted,redacted,redacted,919266,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.69,4.5,2,20,3,4,4,4,4,3.88,20,2,20,1,,20,2,20,2,20,2,2,20,1,1,1,,1,,0,52,4,112,119,91.75,95,109.5,123,5,5,5,792.25,353.81,353.81,97.2,97.2,85.46,85.46,558.5,558.5,74.47,74.47,74.47,74.47,15,15,100,100,100,100,0,0,,,,,927.31,927.31,82.14,82.14,78.65,78.65
redacted,redacted,redacted,142556,redacted,PSC 041 001 WQ 2023,6.5,4,20,,3.58,4,,2,4.5,20,2,1.5,4.63,4.5,2,20,3,4,4,0,4,4,20,2,20,1,9,20,2,20,2,20,2,2,20,1,1,1,20,1,20,7,32,3.76,126,119.75,110.75,127.25,129,126,0,5,5,872.75,344.97,344.97,92.24,92.24,83.33,83.33,628,628,83.73,83.73,83.73,83.73,10,10,66.67,66.67,66.67,66.67,0,0,,,,,982.97,982.97,86.3,86.3,83.37,83.37
redacted,redacted,redacted,822752,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,1.5,1,1.5,0,2,20,2.83,4,4,4,4,2.88,20,2,20,1,,20,2,20,0,20,0,2,12,1,0,0,,0,,0,4,3.56,116.5,123.25,125.5,130,140,0,0,0,0,885.25,280.52,280.52,77.07,77.07,67.76,67.76,635.25,635.25,84.7,84.7,84.7,84.7,0,0,0,0,0,0,0,0,,,,,915.77,915.77,81.11,81.11,77.67,77.67
redacted,redacted,redacted,209254,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,,2,4.75,20,0,0,4.5,4.5,0,19.13,0,4,4,4,4,4,20,1.5,,0.83,,,2,20,2,20,2,1.75,9.14,1,0,0,,0,,0,36,4,63.5,90.5,112,108.5,116.5,93,0,5,0,746,253.61,253.61,83.42,83.42,61.26,61.26,520.5,520.5,69.4,69.4,69.4,69.4,5,5,33.33,33.33,33.33,33.33,0,0,,,,,779.11,779.11,72.88,72.88,66.08,66.08
redacted,redacted,redacted,920816,redacted,PSC 041 002 WQ 2023,5.5,4,20,18.82,3.58,4,20,2,4.25,19.17,2,1.5,4.2,4.5,2,20,2.67,4,3,4,4,3.88,20,0.5,20,0.5,,20,1.67,19.26,0,20,0,2,12,0,0,0.92,,0,,0,4,3.8,112.5,109,121.5,0,94.5,0,0,5,5,697.5,281.71,281.71,77.39,77.39,68.05,68.05,437.5,437.5,58.33,58.33,58.33,58.33,10,10,66.67,66.67,66.67,66.67,0,0,,,,,729.21,729.21,64.59,64.59,61.85,61.85
redacted,redacted,redacted,327020,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.39,4.21,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,20,2,20,2,2,20,1,1,1,20,1,20,0,40,4,146.5,141.25,137,141.5,118.75,0,0,5,5,944,381.35,381.35,94.39,94.39,92.11,92.11,685,685,91.33,91.33,91.33,91.33,10,10,66.67,66.67,66.67,66.67,0,0,,,,,1076.35,1076.35,92.07,92.07,91.29,91.29
redacted,redacted,redacted,720723,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,4.25,20,2,1.5,0,0,2,20,3,0,0,4,0,4,20,0,20,1,,0.71,0,,0,20,1,0,20,0,0,1,20,0,5,0,4,0,122.75,107,129.5,131.5,115,0,0,5,5,865.75,253.96,253.96,66.14,66.14,61.34,61.34,605.75,605.75,80.77,80.77,80.77,80.77,10,10,66.67,66.67,66.67,66.67,0,0,,,,,869.71,869.71,75.69,75.69,73.77,73.77
redacted,redacted,redacted,361425,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.7,4.5,2,20,3,4,4,4,4,4,20,2,20,1,9,20,2,20,2,20,2,2,20,1,1,1,20,1,20,10,52,4,142,145.25,140,143,134.5,0,4.8,5,5,969.55,412.95,412.95,99.75,99.75,99.75,99.75,704.75,704.75,93.97,93.97,93.97,93.97,14.8,14.8,98.67,98.67,98.67,98.67,0,0,,,,,1132.5,1132.5,96.06,96.06,96.06,96.06
redacted,redacted,redacted,695840,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1,0,0,2,20,2.42,4,4,4,4,4,20,2,20,1,9,20,2,20,2,20,2,1.5,,0,0,0,,0,,0,8,0,104.5,99.5,107,97.5,126.25,123,0,5,5,794.75,280.17,280.17,79.14,79.14,67.67,67.67,560.25,560.25,74.7,74.7,74.7,74.7,10,10,66.67,66.67,66.67,66.67,0,0,,,,,850.42,850.42,76,76,72.13,72.13
redacted,redacted,redacted,883903,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,0,0,0,0,0,20,0,0,0,0,0,4,20,2,20,0,,20,0,20,0,20,0,0,15.43,0,0,0,13.08,0,,0,4,4,130,116.25,134,131.25,143.5,120,4.9,5,5,919.9,267.76,267.76,69.73,69.73,64.68,64.68,658.75,658.75,87.83,87.83,87.83,87.83,14.9,14.9,99.33,99.33,99.33,99.33,0,0,,,,,941.41,941.41,81.93,81.93,79.85,79.85
redacted,redacted,redacted,151246,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,3,4,4,20,2,20,1,10,20,2,20,2,20,2,2,20,1,1,1,18.46,1,20,10,52,4,122,129.75,132,138.5,122,0,4.3,5,5,908.55,411.46,411.46,99.39,99.39,99.39,99.39,644.25,644.25,85.9,85.9,85.9,85.9,14.3,14.3,95.33,95.33,95.33,95.33,0,0,,,,,1070.01,1070.01,90.76,90.76,90.76,90.76
redacted,redacted,redacted,574860,redacted,PSC 041 001 WQ 2023,6.5,4,20,18.82,4,4,19.2,2,4.5,19.17,2,1.5,4.7,4.5,2,20,2.5,4,4,4,4,4,20,1,20,1,,20,0,18.52,2,,0.5,0,9.14,0.67,1,0.83,,0,,0,20,4,116,131,130.75,127,138.5,0,0,5,5,903.25,278.05,278.05,80.83,80.83,67.16,67.16,643.25,643.25,85.77,85.77,85.77,85.77,10,10,66.67,66.67,66.67,66.67,0,0,,,,,931.3,931.3,83.98,83.98,78.99,78.99
redacted,redacted,redacted,666059,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,3.88,20,2,20,1,,20,2,19.26,2,20,2,2,5.14,1,1,1,,1,,0,8,4,144.5,137.5,0,141,138.75,117,0,5,5,820.75,294.28,294.28,80.85,80.85,71.08,71.08,678.75,678.75,90.5,90.5,90.5,90.5,10,10,66.67,66.67,66.67,66.67,0,0,,,,,983.03,983.03,87.07,87.07,83.38,83.38
redacted,redacted,redacted,965522,redacted,PSC 041 001 WQ 2023,0,4,20,18.82,3.58,4,1.6,2,4.75,19.17,2,1.5,0,0,2,20,3,4,4,4,4,3.75,20,2,20,1,,20,2,20,2,20,1.5,1.5,,0,0,0,,0,,0,24,3.8,111,123.75,84.25,128.25,130.25,0,0,5,0,832.5,263.97,263.97,76.74,76.74,63.76,63.76,577.5,577.5,77,77,77,77,5,5,33.33,33.33,33.33,33.33,0,0,,,,,846.47,846.47,76.33,76.33,71.8,71.8
redacted,redacted,redacted,238823,redacted,PSC 041 001 WQ 2023,6.5,4,20,18.82,0,0,20,0.75,0,20,2,1,3.63,3.5,2,20,2.83,2.83,3,2.5,4,2.5,19.05,1.5,20,0.83,,20,2,18.52,2,20,2,2,19.43,0.67,1,0.83,,0.5,20,0,16,2.95,134.5,133.5,132.5,142,143.5,0,5,5,5,950,309.14,309.14,80.51,80.51,74.67,74.67,686,686,91.47,91.47,91.47,91.47,15,15,100,100,100,100,0,0,,,,,1010.14,1010.14,87.91,87.91,85.68,85.68
