source,anon_id,views5,pv_op,pv_cv,confound,internal,interpret,external
5_C_Mar23_anon.csv,411906,1,10,7,10,10,10,8
5_C_Mar23_anon.csv,992103,0,8.5,10,2.5,10,5,10
5_C_Mar23_anon.csv,578485,1,10,10,10,10,7,10
5_C_Mar23_anon.csv,938861,2,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,335736,3,10,10,10,10,2.5,10
5_C_Mar23_anon.csv,805091,2,10,10,10,10,7.5,5
5_C_Mar23_anon.csv,808404,0,10,10,10,10,5,10
5_C_Mar23_anon.csv,265323,2,10,10,10,10,0,8
5_C_Mar23_anon.csv,229553,0,7.25,9.5,2.5,10,5,10
5_C_Mar23_anon.csv,126548,1,10,8.5,10,10,10,10
5_C_Mar23_anon.csv,507880,1,10,9.5,10,10,10,10
5_C_Mar23_anon.csv,370378,2,7.25,9,2.5,10,7.5,10
5_C_Mar23_anon.csv,841731,0,9.75,10,4,10,5,10
5_C_Mar23_anon.csv,806039,1,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,190892,0,10,0,6,10,7.5,4
5_C_Mar23_anon.csv,930504,0,10,7,10,10,7.5,10
5_C_Mar23_anon.csv,704993,0,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,273032,2,4.5,0,1.25,10,2.5,10
5_C_Mar23_anon.csv,700441,0,3.5,9,5,8.5,0,10
5_C_Mar23_anon.csv,690059,0,10,10,10,10,10,10
5_C_Mar23_anon.csv,936273,0,10,9.5,10,10,2.5,10
5_C_Mar23_anon.csv,128513,0,10,7,7,10,7.5,10
5_C_Mar23_anon.csv,416172,0,8.5,8.5,10,10,7.5,10
5_C_Mar23_anon.csv,987447,0,10,9,10,10,9,10
5_C_Mar23_anon.csv,657848,1,8.5,6.5,7.5,10,10,10
5_C_Mar23_anon.csv,483406,0,8.5,0,7.5,10,5,10
5_C_Mar23_anon.csv,338073,0,8.5,8.5,10,10,0,10
5_C_Mar23_anon.csv,980357,1,10,10,10,10,2.5,10
5_C_Mar23_anon.csv,441521,0,10,1,2.5,10,5,10
5_C_Mar23_anon.csv,282845,0,8.5,10,7.5,10,5,10
5_C_Mar23_anon.csv,394484,0,10,7,8,0,5,7
5_C_Mar23_anon.csv,120124,1,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,939066,0,10,10,10,8.5,7.5,10
5_C_Mar23_anon.csv,319559,0,10,9.5,10,10,2.5,10
5_C_Mar23_anon.csv,780786,0,10,10,7.5,10,0,10
5_C_Mar23_anon.csv,342170,0,10,0,2.5,10,0,8
5_C_Mar23_anon.csv,946128,0,10,9.5,10,10,0,10
5_C_Mar23_anon.csv,743784,1,10,9,10,10,10,10
5_C_Mar23_anon.csv,649892,1,10,6.5,10,10,5,10
5_C_Mar23_anon.csv,815620,0,10,7,2.5,10,10,10
5_C_Mar23_anon.csv,267132,0,8.5,7,2.5,8.5,5,10
5_C_Mar23_anon.csv,348376,0,10,0,2.75,0,0,8
5_C_Mar23_anon.csv,242493,0,8.5,10,2.5,10,7.5,10
5_C_Mar23_anon.csv,113553,0,10,8.5,0,10,5,10
5_C_Mar23_anon.csv,495024,1,10,9,10,10,0,10
5_C_Mar23_anon.csv,738332,0,10,0,7.5,10,2.5,10
5_C_Mar23_anon.csv,802566,3,10,8.5,7.5,10,10,8
5_C_Mar23_anon.csv,644205,0,10,7,8,10,2.5,10
5_C_Mar23_anon.csv,562399,1,10,0,4.25,10,0,10
5_C_Mar23_anon.csv,687844,0,9.75,10,10,10,5,10
5_C_Mar23_anon.csv,862239,0,8,8.5,7.5,10,5,10
5_C_Mar23_anon.csv,967176,0,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,752695,1,7.5,1,7,0,2.5,10
5_C_Mar23_anon.csv,316719,1,10,9,10,10,10,10
5_C_Mar23_anon.csv,980587,1,10,10,10,10,2.5,10
5_C_Mar23_anon.csv,660431,1,10,9,2.5,10,10,10
5_C_Mar23_anon.csv,671655,0,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,589905,1,10,10,2.5,10,2.5,10
5_C_Mar23_anon.csv,479550,1,8.5,9,10,10,10,10
5_C_Mar23_anon.csv,714184,1,10,10,10,10,10,10
5_C_Mar23_anon.csv,820889,1,10,10,10,10,5,10
5_C_Mar23_anon.csv,149203,2,10,10,10,10,2.5,10
5_C_Mar23_anon.csv,570017,0,10,8.5,10,10,7.5,10
5_C_Mar23_anon.csv,841390,1,10,7,7.5,10,10,10
5_C_Mar23_anon.csv,877146,0,8.5,7,6.25,10,2.5,10
5_C_Mar23_anon.csv,711460,0,10,7,7.5,10,10,10
5_C_Mar23_anon.csv,980127,1,10,6.5,10,0,7.5,10
5_C_Mar23_anon.csv,190818,0,10,6.5,10,10,5,10
5_C_Mar23_anon.csv,392584,1,10,10,10,10,10,10
5_C_Mar23_anon.csv,458187,0,5,10,10,10,2.5,10
5_C_Mar23_anon.csv,794376,1,10,10,7.5,10,7.5,10
5_D_Mar23_anon.csv,364560,0,10,7,6.5,10,5,10
5_D_Mar23_anon.csv,175573,0,8.5,1,6.5,10,4,10
5_D_Mar23_anon.csv,687940,0,9.75,5.5,10,0,4,10
5_D_Mar23_anon.csv,402997,1,7.5,10,10,10,10,10
5_D_Mar23_anon.csv,919266,4,7.5,7,6.5,6.5,5,10
5_D_Mar23_anon.csv,720723,0,10,7,10,6.5,2.5,10
5_D_Mar23_anon.csv,209254,0,8.5,7,6.5,10,2.5,10
5_D_Mar23_anon.csv,128016,1,9.75,7,4.25,10,4,10
5_D_Mar23_anon.csv,574860,1,10,10,10,10,7.5,10
5_D_Mar23_anon.csv,822752,1,10,10,10,10,4,10
5_D_Mar23_anon.csv,583798,0,8.5,10,4.25,10,2.5,10
5_D_Mar23_anon.csv,600034,0,10,9,4.25,10,4,6
5_D_Mar23_anon.csv,411472,1,9.75,9,10,10,2.5,6
5_D_Mar23_anon.csv,352012,1,10,10,10,10,10,10
5_D_Mar23_anon.csv,787036,0,8.5,10,6.5,10,2.5,10
5_D_Mar23_anon.csv,143458,0,8.5,7,6.5,10,2.5,10
5_D_Mar23_anon.csv,893307,0,10,10,10,10,10,10
5_D_Mar23_anon.csv,244223,0,10,10,10,10,5,10
5_D_Mar23_anon.csv,316657,0,10,9,6.5,10,10,10
5_D_Mar23_anon.csv,535753,1,10,6.5,4.25,10,2.5,10
5_D_Mar23_anon.csv,124704,0,7.5,9,4.25,10,5,10
5_D_Mar23_anon.csv,351711,1,10,8.5,4.25,10,10,10
5_D_Mar23_anon.csv,820879,1,10,10,10,10,5,10
5_D_Mar23_anon.csv,517181,0,10,10,10,10,4,10
5_D_Mar23_anon.csv,107302,0,9.25,9,6.5,0,5,10
5_D_Mar23_anon.csv,100124,0,9.75,1,6.5,10,2.5,10
5_D_Mar23_anon.csv,789281,0,10,10,10,10,10,10
5_D_Mar23_anon.csv,693286,0,10,6.5,10,10,5,10
5_D_Mar23_anon.csv,294860,2,10,10,10,10,7.5,10
5_D_Mar23_anon.csv,139950,0,10,10,6.5,10,2.5,10
5_D_Mar23_anon.csv,857405,0,10,7,6.5,0,4,10
5_D_Mar23_anon.csv,447538,1,10,6.5,10,10,10,10
5_D_Mar23_anon.csv,289163,2,10,10,10,10,5,10
5_D_Mar23_anon.csv,603399,0,10,6.5,1,10,0,10
5_D_Mar23_anon.csv,191876,0,10,10,6.5,10,5,10
5_D_Mar23_anon.csv,925742,0,10,5.5,10,10,2.5,10
5_D_Mar23_anon.csv,193857,2,10,10,10,10,10,10
5_D_Mar23_anon.csv,891202,0,10,10,10,10,10,10
5_D_Mar23_anon.csv,293634,0,9.75,10,10,6.5,2.5,10
5_D_Mar23_anon.csv,548019,0,9.75,8.5,10,10,2.5,10
5_D_Mar23_anon.csv,972609,0,10,10,6.5,10,5,10
5_D_Mar23_anon.csv,664851,1,10,10,10,10,2.5,10
5_D_Mar23_anon.csv,927645,1,10,7,10,10,2.5,10
5_D_Mar23_anon.csv,909875,2,10,5.5,10,10,4,10
5_D_Mar23_anon.csv,135727,2,10,1,10,6.5,2.5,3
5_D_Mar23_anon.csv,398075,0,10,0,6.5,0,2.5,4
5_D_Mar23_anon.csv,776985,3,10,10,9,10,0,10
5_D_Mar23_anon.csv,480961,0,10,10,6.5,0,2.5,10
5_D_Mar23_anon.csv,167773,0,10,5.5,10,10,5,10
5_D_Mar23_anon.csv,223333,0,10,9,6.5,10,5,10
5_D_Mar23_anon.csv,849990,0,10,10,6.5,10,2.5,10
5_D_Mar23_anon.csv,431825,4,10,8.5,6.5,10,10,10
5_D_Mar23_anon.csv,887391,1,8.5,5.5,2.25,10,5,10
5_D_Mar23_anon.csv,488889,0,10,1,4.25,10,0,4
5_D_Mar23_anon.csv,970240,0,10,5.5,6.5,10,5,10
5_D_Mar23_anon.csv,467652,0,10,10,10,10,5,10
5_D_Mar23_anon.csv,992343,0,0,7,3,10,5,10
5_D_Mar23_anon.csv,585527,0,10,10,10,10,10,10
5_D_Mar23_anon.csv,781433,0,8.5,7,6.5,10,2.5,6
5_D_Mar23_anon.csv,745036,0,10,8.5,6.5,10,2.5,0
5_D_Mar23_anon.csv,646067,0,10,10,10,10,5,10
5_D_Mar23_anon.csv,861674,2,10,7,10,10,5,10
5_D_Mar23_anon.csv,176796,3,10,5.5,10,0,5,10
5_D_Mar23_anon.csv,611968,1,10,9,10,10,2.5,10
5_D_Mar23_anon.csv,323214,0,10,7,4.25,10,10,10
5_D_Mar23_anon.csv,863598,1,9.75,5.5,6.5,10,7.5,10
5_D_Mar23_anon.csv,862880,0,9.75,7,6.5,0,10,10
5_D_Mar23_anon.csv,783300,1,10,10,10,10,5,10
5_D_Mar23_anon.csv,282568,0,10,10,10,10,5,10
5_D_Mar23_anon.csv,864689,0,10,9,10,10,2.5,10
5_D_Mar23_anon.csv,907718,1,9.75,10,10,10,10,10
5_D_Mar23_anon.csv,277425,0,10,10,10,10,2.5,10
5_D_Mar23_anon.csv,601701,0,10,10,10,10,10,10
5_D_Mar23_anon.csv,115362,0,10,9,6.5,10,2.5,10
5_D_Mar23_anon.csv,429085,0,10,5.5,10,0,5,10
5_D_Mar23_anon.csv,422809,3,10,10,6.5,10,5,10
5_D_Mar23_anon.csv,216877,0,10,1,10,0,6.5,10
5_D_Mar23_anon.csv,613766,1,10,10,6.5,10,10,10
5_D_Mar23_anon.csv,844340,0,9.75,1,10,10,2.5,10
5_D_Mar23_anon.csv,556020,1,10,7,4.25,6.5,5,10
5_D_Mar23_anon.csv,116312,0,10,9,10,0,2.5,10
5_D_Mar23_anon.csv,700670,0,8.5,5.5,10,6.5,4,10
5_D_Mar23_anon.csv,682407,0,10,8.5,10,10,7.5,10
5_D_Mar23_anon.csv,156364,0,7,10,4.25,10,2.5,10
5_D_Mar23_anon.csv,288842,0,10,10,10,10,10,10
