source,anon_id,views1,h0,h1,pv_op,ov_op,claim_ex,interpret
1_A_Mar23_anon.csv,116004,5,5,5,10,10,10,6.5
1_A_Mar23_anon.csv,690036,3,4,4.5,9.5,9,5,0
1_A_Mar23_anon.csv,562399,1,5,0,0,3,2.5,0
1_A_Mar23_anon.csv,850435,2,4,5,8.5,10,10,8
1_A_Mar23_anon.csv,113553,1,1,5,0,4,5,0
1_A_Mar23_anon.csv,274235,3,5,4.5,0,7,5,6.5
1_A_Mar23_anon.csv,868195,1,4.5,4.5,10,10,10,6.5
1_A_Mar23_anon.csv,929062,2,4,5,10,9,10,6.5
1_A_Mar23_anon.csv,316719,3,5,5,10,10,10,6.5
1_A_Mar23_anon.csv,660431,7,5,3.5,9,10,10,7
1_A_Mar23_anon.csv,751500,4,4,5,9,8,10,8
1_A_Mar23_anon.csv,781433,1,5,3.5,0,0,5,6.5
1_A_Mar23_anon.csv,354057,2,5,5,8,10,10,9.5
1_A_Mar23_anon.csv,776965,3,5,2,7,5,10,6.5
1_A_Mar23_anon.csv,936964,15,5,4.5,0,4,2.5,8
1_A_Mar23_anon.csv,618706,6,5,4,8,10,5,6.5
1_A_Mar23_anon.csv,568721,2,4.5,5,7.5,9.5,10,6.5
1_A_Mar23_anon.csv,298429,7,4,5,9,10,5,8
1_A_Mar23_anon.csv,829820,0,5,5,10,10,10,8
1_A_Mar23_anon.csv,214276,5,2,2,8,10,10,8
1_A_Mar23_anon.csv,841390,5,4,5,8,10,10,0
1_A_Mar23_anon.csv,825875,2,5,0,10,9.5,5,6.5
1_A_Mar23_anon.csv,324553,3,4,4.5,9,10,5,6.5
1_A_Mar23_anon.csv,681486,1,5,5,0,7,5,6.5
1_A_Mar23_anon.csv,469937,2,5,5,10,9.5,5,0
1_A_Mar23_anon.csv,711460,0,5,5,10,10,10,8
1_A_Mar23_anon.csv,122746,3,5,4,10,10,10,6.5
1_A_Mar23_anon.csv,117848,8,5,3.5,4,4,10,10
1_A_Mar23_anon.csv,370790,3,3,5,6,10,10,10
1_A_Mar23_anon.csv,700506,0,5,4.5,10,10,10,8
1_A_Mar23_anon.csv,951938,1,5,5,8,9,10,6.5
1_A_Mar23_anon.csv,465537,1,4.5,5,7,9,5,0
1_A_Mar23_anon.csv,221844,2,4.5,5,6,10,10,7
1_A_Mar23_anon.csv,852104,3,5,5,5,9.5,10,6.5
1_A_Mar23_anon.csv,533181,1,4,5,0,0,10,6.5
1_A_Mar23_anon.csv,132340,3,4,4.5,5,6.5,10,7
1_A_Mar23_anon.csv,978499,5,5,3.5,6.5,8.5,0,0
1_B_Mar23_anon.csv,958843,2,3.5,4.5,5,2.5,0,0
1_B_Mar23_anon.csv,453529,2,3,5,7.5,2.5,10,8
1_B_Mar23_anon.csv,364560,1,4,0,6,2.5,10,8
1_B_Mar23_anon.csv,666059,0,4.5,4,10,5,10,8
1_B_Mar23_anon.csv,919266,8,5,3.5,8,5,5,6.5
1_B_Mar23_anon.csv,822752,5,5,4.5,7.5,5,10,8
1_B_Mar23_anon.csv,471494,3,5,5,10,5,10,8
1_B_Mar23_anon.csv,920816,5,5,5,1,5,10,6.5
1_B_Mar23_anon.csv,574860,4,5,4.5,8,5,10,8
1_B_Mar23_anon.csv,361425,5,5,5,8,5,10,8
1_B_Mar23_anon.csv,886232,1,5,5,0,0,5,8
1_B_Mar23_anon.csv,427397,2,4,5,8,5,5,0
1_B_Mar23_anon.csv,189428,3,3,4.5,10,5,10,0
1_B_Mar23_anon.csv,448698,0,4.5,5,8,5,5,6.5
1_B_Mar23_anon.csv,937053,12,5,5,10,5,10,6.5
1_B_Mar23_anon.csv,970613,0,4,4.5,8,2.5,10,0
1_B_Mar23_anon.csv,617396,2,5,5,6,5,10,7
1_B_Mar23_anon.csv,124704,3,3,2,0,5,10,8
1_B_Mar23_anon.csv,165680,3,3.5,0,0,2.5,5,0
1_B_Mar23_anon.csv,820879,3,3.5,4.5,8,2.5,10,6.5
1_B_Mar23_anon.csv,819157,4,4.5,5,3.5,5,5,0
1_B_Mar23_anon.csv,224768,6,5,4.5,0,5,10,6.5
1_B_Mar23_anon.csv,708858,6,4,0,0,2.5,5,1.5
1_B_Mar23_anon.csv,297437,5,5,5,8,5,5,8.5
1_B_Mar23_anon.csv,294860,2,5,3.5,6,5,5,0
1_B_Mar23_anon.csv,806967,5,5,5,8,5,10,8
1_B_Mar23_anon.csv,882657,0,5,5,2,5,10,6.5
1_B_Mar23_anon.csv,756469,1,3.5,5,8,5,10,0
1_B_Mar23_anon.csv,819135,5,4,0,7.5,5,10,8.5
1_B_Mar23_anon.csv,850664,3,4,0,2,2.5,5,8
1_B_Mar23_anon.csv,191876,7,5,0,5,5,10,6.5
1_B_Mar23_anon.csv,324135,1,4,4.5,8,5,5,6.5
1_B_Mar23_anon.csv,976464,2,5,5,8,5,10,8.5
1_B_Mar23_anon.csv,635780,5,4,0,0,5,5,6.5
1_B_Mar23_anon.csv,711072,7,5,2,5,2.5,10,6.5
1_B_Mar23_anon.csv,736790,3,4.5,0,8,5,10,6.5
1_B_Mar23_anon.csv,927645,2,5,5,6.5,5,10,6.5
1_B_Mar23_anon.csv,808404,3,4,2,2,0,5,0
1_B_Mar23_anon.csv,266782,4,5,0,7,5,10,1.5
1_B_Mar23_anon.csv,190892,0,4.5,4.5,8,2.5,5,0
1_B_Mar23_anon.csv,398075,2,5,2,8,5,10,0
1_B_Mar23_anon.csv,514088,2,4.5,5,7.5,5,10,6.5
1_B_Mar23_anon.csv,126548,4,5,3.5,5,5,5,6.5
1_B_Mar23_anon.csv,231177,2,3,5,8,5,10,8
1_B_Mar23_anon.csv,370378,6,5,4.5,0,5,10,0
1_B_Mar23_anon.csv,704993,0,4,0,8,5,10,6.5
1_B_Mar23_anon.csv,570810,8,5,5,10,5,5,6.5
1_B_Mar23_anon.csv,887391,2,4.5,4.5,8,5,10,8
1_B_Mar23_anon.csv,841731,3,4,5,8,5,10,0
1_B_Mar23_anon.csv,485565,0,5,3.5,7,5,10,8
1_B_Mar23_anon.csv,739544,3,5,5,8,5,10,7
1_B_Mar23_anon.csv,562658,2,4,3.5,7,5,10,7
1_B_Mar23_anon.csv,298840,4,5,4,6.5,5,5,0
1_B_Mar23_anon.csv,484728,0,4.5,3.5,8,5,5,7
1_B_Mar23_anon.csv,700441,6,3,1,0,0,5,8
1_B_Mar23_anon.csv,306957,6,5,3.5,10,5,5,0
1_B_Mar23_anon.csv,611968,2,4.5,0,8,2.5,5,0
1_B_Mar23_anon.csv,176796,7,3,3.5,8,5,5,0
1_B_Mar23_anon.csv,311227,0,5,0,5.5,5,10,6.5
1_B_Mar23_anon.csv,783300,1,5,4.5,8,5,10,0
1_B_Mar23_anon.csv,483406,1,4.5,5,6.5,5,10,6.5
1_B_Mar23_anon.csv,864689,2,5,3.5,6.5,5,10,8
1_B_Mar23_anon.csv,543411,5,5,4,8,5,10,6.5
1_B_Mar23_anon.csv,907718,1,5,5,8,5,10,1.5
1_B_Mar23_anon.csv,780786,1,4.5,0,7,5,10,7
1_B_Mar23_anon.csv,277425,6,5,2,8,2.5,10,0
1_B_Mar23_anon.csv,282845,6,5,5,10,5,10,0
1_B_Mar23_anon.csv,637438,12,4.5,5,8,5,10,0
1_B_Mar23_anon.csv,115362,1,5,4.5,10,5,10,6.5
1_B_Mar23_anon.csv,422809,5,4.5,5,0,0,5,0
1_B_Mar23_anon.csv,815620,1,4,4.5,8,5,5,6.5
1_B_Mar23_anon.csv,216877,0,5,4.5,6,2.5,10,0
1_B_Mar23_anon.csv,946128,2,4.5,5,6,5,10,6.5
1_B_Mar23_anon.csv,613766,7,5,4.5,9,5,10,8
1_B_Mar23_anon.csv,768234,7,5,5,9,5,10,0
1_B_Mar23_anon.csv,141625,1,4.5,0,7,5,10,6.5
1_B_Mar23_anon.csv,652357,3,5,4.5,6,5,10,8
1_B_Mar23_anon.csv,205809,1,4.5,0,8,2.5,10,6.5
1_B_Mar23_anon.csv,505593,6,5,0,9,5,10,6.5
1_B_Mar23_anon.csv,752695,3,0,0,4,2.5,5,6.5
1_B_Mar23_anon.csv,356382,6,5,2,7,5,5,0
1_B_Mar23_anon.csv,946353,6,5,5,8,5,10,8
1_B_Mar23_anon.csv,785013,4,5,5,10,5,10,7
1_B_Mar23_anon.csv,288842,3,4,3,10,2.5,10,8
1_B_Mar23_anon.csv,652942,2,5,4.5,6,5,10,8
1_B_Mar23_anon.csv,589905,5,5,5,8,5,10,0
1_B_Mar23_anon.csv,714184,4,4.5,5,8,5,10,6.5
1_B_Mar23_anon.csv,671655,1,3.5,4.5,7,5,10,6.5
1_B_Mar23_anon.csv,497496,4,4.5,3.5,4.5,5,7.5,6.5
1_B_Mar23_anon.csv,721359,2,4.5,5,8,5,10,6.5
1_B_Mar23_anon.csv,560484,2,5,5,7,5,10,8
1_B_Mar23_anon.csv,627572,5,5,2,6,5,10,0
1_B_Mar23_anon.csv,820889,2,4.5,5,7,5,7.5,0
1_B_Mar23_anon.csv,127794,1,4.5,5,8.5,5,10,1.5
1_B_Mar23_anon.csv,449769,3,4.5,4.5,7,5,5,0
1_B_Mar23_anon.csv,766084,3,5,0,7,5,10,6.5
1_B_Mar23_anon.csv,643893,9,4,5,6,2.5,10,0
1_B_Mar23_anon.csv,205295,7,5,0,6,5,10,8
1_B_Mar23_anon.csv,758184,5,5,5,8,5,10,7
1_B_Mar23_anon.csv,190818,1,3.5,0,6,5,10,7
1_B_Mar23_anon.csv,980127,6,5,5,10,5,10,8.5
1_B_Mar23_anon.csv,392584,2,5,5,6,5,10,6.5
1_B_Mar23_anon.csv,620808,5,5,4.5,9,5,10,8.5
1_B_Mar23_anon.csv,785732,0,2,4.5,7.5,2.5,10,6.5
1_C_Mar23_anon.csv,354907,7,5,5,10,8,5,9.5
1_C_Mar23_anon.csv,868090,1,3,5,8,8,10,8
1_C_Mar23_anon.csv,482126,3,5,5,8.5,9,5,0
1_C_Mar23_anon.csv,706979,2,5,5,10,7,10,9.5
1_C_Mar23_anon.csv,678041,0,5,5,9,6.5,10,8.5
1_C_Mar23_anon.csv,805441,9,2,5,8.5,4.5,0,8
1_C_Mar23_anon.csv,352138,6,4,5,9,6,5,8
1_C_Mar23_anon.csv,802878,3,4,4,10,7.5,10,8.5
1_C_Mar23_anon.csv,177840,0,5,5,9.5,10,10,9.5
1_C_Mar23_anon.csv,957384,1,5,5,9.5,8.5,10,9.5
1_C_Mar23_anon.csv,458187,6,3,3,4.5,0,10,8
1_C_Mar23_anon.csv,566878,0,4,4,10,10,10,9.5
1_C_Mar23_anon.csv,590181,1,0,5,9.5,3.75,10,6.5
1_C_Mar23_anon.csv,142556,1,3,5,9,10,5,1.5
1_C_Mar23_anon.csv,158549,1,4,5,8,5.75,0,8
1_C_Mar23_anon.csv,151246,1,5,5,9.5,4,10,9.5
1_C_Mar23_anon.csv,557781,2,5,5,10,6,10,8.5
1_C_Mar23_anon.csv,780541,3,5,5,8.5,9,10,10
1_C_Mar23_anon.csv,583798,1,4,5,8,10,5,1.5
1_C_Mar23_anon.csv,243610,8,5,5,9.5,9.5,10,1.5
1_C_Mar23_anon.csv,187671,1,5,5,10,9,10,9.5
1_C_Mar23_anon.csv,109338,1,4,3,9.5,8.25,10,8
1_C_Mar23_anon.csv,742806,2,5,5,9.5,9,5,8
1_C_Mar23_anon.csv,975639,0,0,5,8,10,5,7
1_C_Mar23_anon.csv,553565,3,5,5,9.5,3,5,6.5
1_C_Mar23_anon.csv,352012,5,5,5,9,6.25,10,7
1_C_Mar23_anon.csv,460606,5,5,2,7.5,10,5,8
1_C_Mar23_anon.csv,186775,2,5,5,10,7,5,8
1_C_Mar23_anon.csv,866180,0,4,5,8,5.75,7.5,8
1_C_Mar23_anon.csv,107302,0,2,5,8.5,6.5,7.5,8.5
1_C_Mar23_anon.csv,426634,3,5,5,8,8.5,10,9.5
1_C_Mar23_anon.csv,980472,6,4,5,9.5,7.75,10,9.5
1_C_Mar23_anon.csv,634523,1,5,5,10,9,10,9.5
1_C_Mar23_anon.csv,388918,4,3,4,10,9,10,8
1_C_Mar23_anon.csv,517181,4,5,5,10,8.5,10,8.5
1_C_Mar23_anon.csv,873291,4,5,5,9,8,10,9.5
1_C_Mar23_anon.csv,789281,4,5,5,9.5,6.5,10,8
1_C_Mar23_anon.csv,357577,1,0,3,7,0.5,7.5,8
1_C_Mar23_anon.csv,496293,12,5,5,9.5,10,10,8
1_C_Mar23_anon.csv,134149,1,5,5,9,9.5,10,1.5
1_C_Mar23_anon.csv,207486,3,5,5,9,8,10,9.5
1_C_Mar23_anon.csv,925742,0,4,5,5.5,9,2.5,9.5
1_C_Mar23_anon.csv,676277,1,5,5,10,8,10,8
1_C_Mar23_anon.csv,293634,0,4,5,9.5,5.75,10,9.5
1_C_Mar23_anon.csv,392325,7,4,5,9,7.5,10,8
1_C_Mar23_anon.csv,193857,5,4,5,9.5,4.5,5,8.5
1_C_Mar23_anon.csv,530411,7,5,5,10,8.5,10,9.5
1_C_Mar23_anon.csv,805091,5,5,5,10,6,10,1.5
1_C_Mar23_anon.csv,664851,5,4,5,9.5,10,5,9.5
1_C_Mar23_anon.csv,130380,2,2,4,10,0.5,10,8
1_C_Mar23_anon.csv,265323,5,4,5,7.5,9.5,5,0
1_C_Mar23_anon.csv,587423,3,4,5,9,7,5,8
1_C_Mar23_anon.csv,254596,1,4,4,9.5,8,10,8
1_C_Mar23_anon.csv,863924,3,5,5,8,8.5,5,8
1_C_Mar23_anon.csv,776985,5,5,5,8,7.5,10,8
1_C_Mar23_anon.csv,378876,4,5,5,10,9,10,8
1_C_Mar23_anon.csv,223333,0,5,5,9.5,5.5,5,9.5
1_C_Mar23_anon.csv,229553,0,5,5,9,8,10,9.5
1_C_Mar23_anon.csv,431825,6,5,5,9.5,6.5,10,9.5
1_C_Mar23_anon.csv,806039,6,5,5,9.5,5,10,9.5
1_C_Mar23_anon.csv,689023,6,4,4,9.5,6.25,10,8
1_C_Mar23_anon.csv,437305,2,4,5,9.5,5,10,8
1_C_Mar23_anon.csv,849990,2,5,5,8.5,7.5,5,1.5
1_C_Mar23_anon.csv,273032,0,5,2,8.5,3,10,8
1_C_Mar23_anon.csv,488889,4,5,5,9,3.5,10,9.5
1_C_Mar23_anon.csv,167773,1,4,5,10,6.25,10,9.5
1_C_Mar23_anon.csv,100915,1,5,5,9.5,8.5,10,6.5
1_C_Mar23_anon.csv,623912,1,3,5,9.5,8.75,10,8
1_C_Mar23_anon.csv,970240,2,5,5,9.5,9.5,10,9.5
1_C_Mar23_anon.csv,416172,1,5,5,9.5,6.75,10,9.5
1_C_Mar23_anon.csv,646067,5,5,5,10,10,10,9.5
1_C_Mar23_anon.csv,323214,1,4,5,8,6.5,10,9.5
1_C_Mar23_anon.csv,685171,0,0,5,7,6.5,5,8
1_C_Mar23_anon.csv,880562,5,5,5,9,8,10,9.5
1_C_Mar23_anon.csv,862239,4,5,5,9,6,5,0
1_C_Mar23_anon.csv,338073,2,4,5,8,3.75,10,9.5
1_C_Mar23_anon.csv,669717,2,5,5,8.5,9.5,10,9.5
1_C_Mar23_anon.csv,878824,3,4,5,8,10,10,8
1_C_Mar23_anon.csv,840840,0,5,4,8,7.5,5,8
1_C_Mar23_anon.csv,980357,3,4,5,8,8.5,5,8
1_C_Mar23_anon.csv,197878,3,5,5,9.5,4.25,10,9.5
1_C_Mar23_anon.csv,326394,1,5,5,10,10,5,9.5
1_C_Mar23_anon.csv,868406,0,5,5,8,10,5,9.5
1_C_Mar23_anon.csv,955242,5,4,5,10,9.5,10,8
1_C_Mar23_anon.csv,710489,1,5,5,8,5.75,10,9.5
1_C_Mar23_anon.csv,601701,4,5,5,10,9.5,10,9.5
1_C_Mar23_anon.csv,493377,4,0,5,7,6.5,5,6.5
1_C_Mar23_anon.csv,348376,0,5,4,8,10,9,0
1_C_Mar23_anon.csv,172263,5,5,5,9.5,8.5,10,8.5
1_C_Mar23_anon.csv,353441,2,3,5,7,6.5,10,8
1_C_Mar23_anon.csv,429085,2,5,5,9.5,6,10,0
1_C_Mar23_anon.csv,267132,0,4,5,8,6.5,5,8
1_C_Mar23_anon.csv,402997,3,5,5,9,9,10,9.5
1_C_Mar23_anon.csv,331406,1,0,5,7,1.75,5,8
1_C_Mar23_anon.csv,844340,0,3,5,10,5.25,10,6.5
1_C_Mar23_anon.csv,147145,0,4,4,3.5,0,5,9.5
1_C_Mar23_anon.csv,738332,2,2,4,0.5,5.5,5,0
1_C_Mar23_anon.csv,700670,5,5,5,7.5,10,0,9.5
1_C_Mar23_anon.csv,156364,4,4,4,7,6,0,8
1_C_Mar23_anon.csv,999023,3,5,5,8,8,10,8
1_C_Mar23_anon.csv,755204,1,5,5,8,5.5,5,7
1_C_Mar23_anon.csv,237582,1,5,2,8,5,5,9.5
1_C_Mar23_anon.csv,843535,0,4,5,5,5,2.5,0
1_D_Mar23_anon.csv,992343,0,2,5,9,5,5,1.5
1_D_Mar23_anon.csv,745036,0,5,5,7.5,7.5,10,8
1_D_Mar23_anon.csv,259122,1,1,5,9,6.75,10,6.5
1_D_Mar23_anon.csv,760890,2,0,2,7,6,10,8
1_D_Mar23_anon.csv,467652,3,5,5,9.5,4,10,9.5
1_D_Mar23_anon.csv,936273,2,5,4,9,6,10,8
1_D_Mar23_anon.csv,187418,2,1,5,9.5,7,10,10
1_D_Mar23_anon.csv,323859,10,5,5,7,6.75,10,8
1_D_Mar23_anon.csv,987447,1,5,5,8,10,10,0
1_D_Mar23_anon.csv,877109,7,1,5,8,6.25,10,8
1_D_Mar23_anon.csv,555054,1,1,5,7.5,9,10,9.5
1_D_Mar23_anon.csv,796250,2,5,5,8,7.75,10,9.5
1_D_Mar23_anon.csv,411472,4,5,5,9.5,9,10,9.5
1_D_Mar23_anon.csv,499213,3,5,5,8,10,10,8
1_D_Mar23_anon.csv,179184,1,5,3,8.5,8.5,10,8
1_D_Mar23_anon.csv,335731,0,1,5,8,6.25,7.5,8
1_D_Mar23_anon.csv,939066,1,0,5,8,4.75,10,8
1_D_Mar23_anon.csv,914016,3,5,5,9.5,5,10,8
1_D_Mar23_anon.csv,394484,1,1,5,8,6.75,10,8
1_D_Mar23_anon.csv,329867,2,5,5,9,10,10,8.5
1_D_Mar23_anon.csv,377090,3,5,5,7.5,9.25,10,8.5
1_D_Mar23_anon.csv,743784,11,5,5,8,9.25,10,8
1_D_Mar23_anon.csv,450272,3,5,5,9.5,4,10,9.5
1_D_Mar23_anon.csv,649892,2,5,5,8,4.25,0,8
1_D_Mar23_anon.csv,877116,0,5,5,8,3.75,10,8
1_D_Mar23_anon.csv,242493,6,5,5,9,3.75,10,9.5
1_D_Mar23_anon.csv,158198,1,5,5,9,10,10,6.5
1_D_Mar23_anon.csv,376854,2,5,5,10,8.75,10,8
1_D_Mar23_anon.csv,515838,1,0,5,8,3,10,8
1_D_Mar23_anon.csv,644205,8,5,5,9,8.5,10,9.5
1_D_Mar23_anon.csv,687844,3,5,5,9,9.25,10,8
1_D_Mar23_anon.csv,912689,0,1,5,8.5,5.5,10,8
1_D_Mar23_anon.csv,495024,2,5,5,8,5.25,10,3
1_D_Mar23_anon.csv,556020,8,5,5,9,5.5,10,9.5
1_D_Mar23_anon.csv,783735,14,5,5,9.5,7.25,10,8
1_D_Mar23_anon.csv,682407,3,5,5,8,8.25,10,8.5
1_D_Mar23_anon.csv,504530,0,5,5,8,6.5,10,8.5
1_D_Mar23_anon.csv,884161,6,5,5,7,8.5,5,8
1_D_Mar23_anon.csv,802566,2,5,4,7,6.5,5,8
1_D_Mar23_anon.csv,313801,1,3,5,7,1.75,5,8
1_D_Mar23_anon.csv,139950,1,5,5,7,4.5,5,1.5
1_D_Mar23_anon.csv,494166,3,5,5,8.5,9,10,8
1_D_Mar23_anon.csv,676794,0,4,1,10,6.75,5,8
1_D_Mar23_anon.csv,124193,2,5,5,10,6,10,9.5
1_D_Mar23_anon.csv,769753,2,5,5,10,7.75,10,8.5
1_D_Mar23_anon.csv,846172,0,3,5,9,5.5,5,0
1_D_Mar23_anon.csv,548019,2,5,5,8,6.25,10,8
1_D_Mar23_anon.csv,375253,3,1,5,9.5,3.25,10,0
1_D_Mar23_anon.csv,603399,0,5,5,8,8.5,10,8
1_D_Mar23_anon.csv,289163,3,5,5,8,7.75,5,8
1_D_Mar23_anon.csv,861958,3,5,5,7,6.25,10,8
1_D_Mar23_anon.csv,447538,2,5,5,10,4.25,10,9.5
1_D_Mar23_anon.csv,935965,1,5,5,8,5.5,5,8
1_D_Mar23_anon.csv,761526,2,4,5,8,7,10,8
1_D_Mar23_anon.csv,411906,3,1,5,9,3.75,10,9.5
1_D_Mar23_anon.csv,938861,7,5,5,10,8,0,8
1_D_Mar23_anon.csv,670267,1,5,5,9.5,9.25,10,9.5
1_D_Mar23_anon.csv,909875,1,1,4,8,5.5,10,9.5
1_D_Mar23_anon.csv,564146,0,0,5,5,2.75,0,8
1_D_Mar23_anon.csv,480961,0,5,5,8,3.25,5,8
1_D_Mar23_anon.csv,331418,2,5,5,10,10,7.5,8.5
1_D_Mar23_anon.csv,720293,1,5,4,0.5,0,7.5,9.5
1_D_Mar23_anon.csv,357173,2,5,5,8,8,10,9.5
1_D_Mar23_anon.csv,607045,1,5,5,8,10,5,8
1_D_Mar23_anon.csv,781336,4,5,5,9.5,8.75,10,8
1_D_Mar23_anon.csv,268619,0,5,5,8,3.75,10,8
1_D_Mar23_anon.csv,175573,1,5,5,10,8.25,7.5,1.5
1_D_Mar23_anon.csv,687940,4,5,5,8,5.5,10,8
1_D_Mar23_anon.csv,832756,1,1,5,7.5,9,10,8
1_D_Mar23_anon.csv,282874,6,5,5,8,7.5,5,8
1_D_Mar23_anon.csv,720723,1,5,5,9,4,10,8
1_D_Mar23_anon.csv,128016,4,5,5,6,2.25,5,8
1_D_Mar23_anon.csv,690064,4,0,0,8,0,10,0
